Annexure II-  CNX Nifty Jr. Index : Jan 2011,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Jan. 2011,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Jan 2011
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ADANIENT,Adani Enterprises Ltd.,TRADING,1155415465,14135.35,4.69,1.09,0.27,2.82,-13.19,0.13
2,ABIRLANUVO,Aditya Birla Nuvo Ltd.,TEXTILES - SYNTHETIC,1135096630,4168.76,1.38,0.99,0.34,1.53,-10.84,0.12
3,ANDHRABANK,Andhra Bank,BANKS,4850000000,3281.77,1.09,1.15,0.35,2.57,-7.18,0.1
4,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,1330338317,3844.25,1.27,1.21,0.34,2.92,-7.89,0.11
5,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,11863.68,3.93,0.51,0.12,1.23,-10.46,0.12
6,BANKBARODA,Bank of Baroda,BANKS,3642664000,14630.76,4.85,0.78,0.26,2.11,-3.03,0.11
7,BANKINDIA,Bank of India,BANKS,5251755000,8193.4,2.72,1.18,0.34,2.61,-2.77,0.1
8,BEL,Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL,800000000,3382.02,1.12,0.54,0.16,1.36,-1.09,0.13
9,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,4620.73,1.53,1.16,0.42,1.72,-9.64,0.12
10,BIOCON,Biocon Ltd.,PHARMACEUTICALS,1000000000,2428.12,0.81,0.89,0.26,1.52,-16.95,0.09
11,CANBK,Canara Bank,BANKS,4100000000,6631.91,2.2,1.25,0.38,3.43,-8.69,0.1
12,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,5491.18,1.82,0.55,0.15,1.17,-5.27,0.13
13,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1299827940,5784.35,1.92,0.54,0.14,1.16,-4.86,0.24
14,CORPBANK,Corporation Bank,BANKS,1434400000,1510.36,0.5,0.86,0.23,2.05,-9.56,0.15
15,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1282983072,10556.07,3.5,0.78,0.19,2.29,-10.13,0.12
16,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,396000000,7108.14,2.36,0.55,0.14,1.22,-6.78,0.13
17,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,5894.14,1.95,0.69,0.14,2.96,-23.07,0.13
18,FEDERALBNK,Federal Bank Ltd.,BANKS,1712115340,6235.52,2.07,1.05,0.31,2.04,-8.32,0.13
19,GMRINFRA,GMR Infrastructure Ltd.,CONSTRUCTION,3892434782,4506.88,1.49,1.24,0.41,1.96,-14.16,0.11
20,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,9546.53,3.16,0.43,0.11,1.11,-2.26,0.18
21,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,270172103,4286.84,1.42,0.74,0.15,2.78,-15.18,0.12
22,GRASIM,Grasim Industries Ltd.,TEXTILES - SYNTHETIC,916950160,15583.52,5.17,0.56,0.09,1.52,-2.62,0.11
23,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,5944.92,1.97,0.58,0.08,2.08,-8.31,0.1
24,HDIL,Housing Development and Infrastructure Ltd.,CONSTRUCTION,4150039860,3060.72,1.01,1.87,0.52,3.38,-32.73,0.11
25,IDBI,IDBI Bank Ltd.,BANKS,9844328930,4863.94,1.61,1.42,0.53,2.33,-14.12,0.09
26,IFCI,IFCI Ltd.,FINANCIAL INSTITUTION,7378373310,3588.99,1.19,1.54,0.43,2.44,-21.1,0.09
27,IBREALEST,Indiabulls Real Estate Ltd.,CONSTRUCTION,803581478,3719.32,1.23,1.92,0.47,2.18,-13.64,0.1
28,INDHOTEL,Indian Hotels Co. Ltd.,HOTELS,723472787,4534.62,1.5,0.99,0.32,2.08,-6.94,0.1
29,IOB,Indian Overseas Bank ,BANKS,5448000000,2747.71,0.91,1.32,0.43,2.19,-11.26,0.12
30,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2231172000,11115.27,3.69,1.76,0.53,3.45,-23.07,0.09
31,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,949326000,5417.45,1.8,1.57,0.36,4.29,-7.96,0.09
32,LUPIN,Lupin Ltd.,PHARMACEUTICALS,891804100,9962.65,3.3,0.64,0.15,2.2,-12.55,0.09
33,MRPL,Mangalore Refinery & Petrochemicals Ltd.,REFINERIES,17525987770,1348.61,0.45,1.12,0.41,1.78,-8.11,0.12
34,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2099109450,4938.04,1.64,0.52,0.09,1.64,0.27,0.1
35,MUNDRAPORT,Mundra Port and Special Economic Zone Ltd.,TRAVEL AND TRANSPORT,4006788200,6336.78,2.1,1.16,0.32,2.37,-2.43,0.12
36,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,419466385,3755.53,1.25,0.51,0.17,1.52,-2.12,0.12
37,PATNI,Patni Computer Systems Ltd.,COMPUTERS - SOFTWARE,262777662,2253.3,0.75,0.53,0.06,1.25,-1.73,0.07
38,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,11477667000,2876.6,0.95,1.00,0.3,1.97,-20.98,0.1
39,PUNJLLOYD,Punj Lloyd Ltd.,CONSTRUCTION,664191490,1971.19,0.65,1.39,0.37,2.29,-15.6,0.1
