Annexure II- S&P CNX Nifty Index : Jan 2011,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Jan. 2011,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Jan 2011
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,187745266,10017,0.61,0.64,0.17,1.87,-7.7,0.08
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3057357772,10342,0.63,0.88,0.21,2.37,-11.75,0.1
3,AXISBANK,Axis Bank Ltd.,BANKS,4099005200,31820,1.94,1.25,0.47,2.42,-9.17,0.08
4,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,16851,1.03,0.65,0.16,2.2,-15.61,0.07
5,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,35055,2.14,0.80,0.43,1.89,-5.34,0.05
6,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,3615421240,7921,0.48,0.42,0.04,2.04,-7.11,0.08
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,18987650480,38923,2.37,0.69,0.12,1.69,-11.23,0.08
8,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,19003522480,14175,0.86,0.98,0.35,1.52,-2.2,0.07
9,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605842714,16854,1.03,0.54,0.13,1.54,-10.83,0.09
10,DLF,DLF Ltd.,CONSTRUCTION,3394984680,8120,0.49,1.54,0.48,2.59,-24.26,0.08
11,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,846136535,20425,1.24,0.36,0.06,1.61,-2.77,0.07
12,GAIL,GAIL (India) Ltd.,GAS,12684774000,21154,1.29,0.54,0.14,2.04,-8.56,0.08
13,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,1367347768,11677,0.71,0.85,0.24,1.8,8.06,0.08
14,HDFCBANK,HDFC Bank Ltd.,BANKS,4637730530,72650,4.43,0.97,0.45,2.24,-14.36,0.08
15,HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,15584,0.95,0.52,0.06,1.84,-17.79,0.07
16,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,1914344315,29861,1.82,1.77,0.55,2.75,-6.68,0.08
17,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2182119802,28390,1.73,0.58,0.15,1.68,-13.41,0.08
18,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,2928727680,81498,4.97,1.10,0.46,2.26,-13.71,0.09
19,ITC,I T C Ltd.,CIGARETTES,7705947280,85916,5.24,0.68,0.24,1.56,-6.98,0.08
20,ICICIBANK,ICICI Bank Ltd.,BANKS,11510622600,117593,7.17,1.50,0.61,2.34,-10.77,0.09
21,INFY,Infosys Technologies Ltd.,COMPUTERS - SOFTWARE,2870648465,150282,9.16,0.78,0.36,1.8,-9.85,0.07
22,IDFC,Infrastructure Development Finance Co. Ltd.,FINANCIAL INSTITUTION,14607653980,15644,0.95,1.32,0.47,1.79,-19.14,0.09
23,JPASSOCIAT,Jaiprakash Associates Ltd.,DIVERSIFIED,4252866364,9560,0.58,1.60,0.51,2.33,-23.4,0.08
24,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,933943010,25753,1.57,1.11,0.46,1.7,-7.68,0.09
25,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,3676349070,13528,0.82,1.22,0.44,2.11,-15.72,0.11
26,LT,Larsen & Toubro Ltd.,ENGINEERING,1215610018,87479,5.33,0.93,0.43,1.35,-17.14,0.06
27,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,2982935375,31566,1.92,1.19,0.39,2.24,-9.42,0.08
28,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1444550300,16574,1.01,0.68,0.18,1.6,-12.15,0.07
29,NTPC,NTPC Ltd.,POWER,82454644000,24163,1.47,0.56,0.24,1.3,-4.74,0.07
