Sr. No,Security Symbol,Equity Capital (Rs.),"FF MCAP^  Jul 29, 2011 (Rs. Crores)",Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost Jul. 2011,
1,ADANIENT,1099810083,13963,4.27,1.19,0.51,4.79,-18.1,0.15,0.26
2,ABIRLANUVO,1135097290,5296,1.62,0.9,0.61,1.21,5.54,0.11,0.37
3,ANDHRABANK,5595803640,3177,0.97,1.12,0.65,0.93,0.75,0.08,0.42
4,ASHOKLEY,1330338317,3332,1.02,1.23,0.59,1.92,5.14,0.09,0.35
5,ASIANPAINT,959197790,14328,4.38,0.58,0.44,1.25,-1.6,0.07,0.19
6,BANKBARODA,3915460790,14786,4.52,0.94,0.63,1.31,0.62,0.1,0.40
7,BANKINDIA,5464803700,7204,2.2,1.31,0.64,1.41,-6.69,0.07,0.41
8,BEL,800000000,3390,1.04,0.44,0.38,0.75,9.18,0.1,0.14
9,BHARATFORG,465588632,4454,1.36,1,0.63,1.78,7.29,0.11,0.40
10,BIOCON,1000000000,2553,0.78,1.12,0.6,1.66,2.49,0.08,0.36
11,CANBK,4430000000,6563,2.01,1.25,0.62,1.88,-12.58,0.09,0.38
12,COALINDIA,63163644000,24523,7.5,0.43,0.27,2.6,-1.17,0.07,0.07
13,COLPAL,135992817,6503,1.99,0.44,0.32,1.08,-0.66,0.09,0.10
14,CONCOR,1299827940,5258,1.61,0.53,0.38,1.94,5.4,0.25,0.14
15,CROMPGREAV,1282983072,6422,1.96,0.85,0.41,4.51,-34.59,0.09,0.17
16,CUMMINSIND,396000000,6219,1.9,0.54,0.41,1.23,-5.44,0.13,0.17
17,EXIDEIND,850000000,7115,2.18,0.64,0.33,2.64,-4.11,0.1,0.11
18,FEDERALBNK,1712115340,7301,2.23,1.11,0.64,1.18,-5.79,0.1,0.41
19,GMRINFRA,3892434782,3439,1.05,1.34,0.64,1.12,-6.13,0.12,0.41
20,GLAXO,847030170,9798,3,0.28,0.25,1.15,-0.22,0.14,0.06
21,GLENMARK,270331753,4617,1.41,0.87,0.39,2.26,4.16,0.08,0.15
22,HINDPETRO,3386272500,6353,1.94,0.79,0.45,1.36,-3.46,0.07,0.20
