Annexure II- S&P CNX Nifty Index : July  2011,,,,,,,,,,,,
,,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for July. 2011,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost July 2011,
,,,,(In Rs.),(Rs. Crores),%,,,%,,%,
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1877452660,9629,0.59,0.72,0.2304,1.23,6.43,0.07,
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3063349822,10652,0.65,0.97,0.2304,1.61,-3.22,0.08,
3,AXISBANK,Axis Bank Ltd.,BANKS,4116997330,34573,2.1,1.36,0.5476,1.86,3.72,0.07,
4,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,19722,1.2,0.75,0.2401,1.07,4.44,0.06,
5,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,18987650480,52650,3.2,0.76,0.2116,2.05,10.72,0.07,
6,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,29067,1.77,0.86,0.3364,1.99,-10.29,0.06,
7,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,3615421240,8500,0.52,0.79,0.2025,0.92,1.17,0.07,
8,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,19022340290,11439,0.7,0.59,0.16,1.79,-1.11,0.07,
9,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605842714,15558,0.95,0.71,0.2601,1.26,-7.39,0.07,
10,DLF,DLF Ltd.,CONSTRUCTION,3395150248,8380,0.51,1.42,0.4356,2.59,9.76,0.07,
11,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,846959090,19974,1.22,0.59,0.2116,1.55,3.53,0.08,
12,GAIL,GAIL (India) Ltd.,GAS,12684774000,20712,1.26,0.62,0.2116,1.34,4.51,0.08,
13,GRASIM,Grasim Industries Ltd.,TEXTILES - SYNTHETIC,917018380,13942,0.85,0.67,0.2401,1.37,4.78,0.08,
14,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,1376020536,11839,0.72,0.95,0.36,1.21,-1.61,0.06,
15,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,2936038650,89641,5.45,1.19,0.5041,1.26,-2.45,0.07,
16,HDFCBANK,HDFC Bank Ltd.,BANKS,4667711360,87080,5.3,1.06,0.5476,1.06,-3.24,0.07,
17,HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,17035,1.04,0.53,0.0625,1.2,-4.91,0.06,
18,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,1914419297,21647,1.32,1.42,0.4489,2.44,-6.7,0.06,
19,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2160683560,33208,2.02,0.58,0.1764,0.84,-5.72,0.05,
20,ICICIBANK,ICICI Bank Ltd.,BANKS,11518614870,119419,7.27,1.4,0.6084,1.47,-5.29,0.06,
21,IDFC,Infrastructure Development Finance Co. Ltd.,FINANCIAL INSTITUTION,14627715770,15139,0.92,1.47,0.5041,2.45,-3.93,0.07,
22,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,2870938460,133825,8.14,0.83,0.3844,1.38,-4.62,0.04,
23,ITC,I T C Ltd.,CIGARETTES,7738144280,110948,6.75,0.75,0.2916,1.26,2.66,0.06,
