Annexure II-  CNX Nifty Jr. Index : June 2011,,,,,,,,,,,,
,,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for June 2011,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost June 2011,
,,,,(In Rs.),(Rs. Crores),%,,,%,,%,
1,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,17049,5.07,1.09,0.29,2.05,11.96,0.11,
2,ABIRLANUVO,Aditya Birla Nuvo Ltd.,TEXTILES - SYNTHETIC,1135097290,5018,1.49,0.94,0.37,1.58,0.36,0.11,
3,ANDHRABANK,Andhra Bank,BANKS,5595803640,3154,0.94,1.13,0.38,1.6,-6.35,0.09,
4,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,1330338317,3169,0.94,1.29,0.36,1.66,-4.99,0.09,
5,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,14562,4.33,0.6,0.18,1.59,1.65,0.09,
6,BANKBARODA,Bank of Baroda,BANKS,3915460790,14696,4.37,0.94,0.38,1,1.09,0.09,
7,BANKINDIA,Bank of India,BANKS,5464803700,7721,2.29,1.37,0.42,1.33,-7.66,0.08,
8,BEL,Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL,800000000,3104,0.92,0.45,0.14,1.35,-3.24,0.1,
9,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,4151,1.23,1.02,0.37,1.64,-3.75,0.1,
10,BIOCON,Biocon Ltd.,PHARMACEUTICALS,1000000000,2491,0.74,1.13,0.36,1.9,0.33,0.08,
11,CANBK,Canara Bank,BANKS,4430000000,7507,2.23,1.25,0.37,0.99,-3.52,0.08,
12,COALINDIA,Coal India Ltd.,MINING,63163644000,24814,7.37,0.39,0.07,1.71,-3.82,0.07,
13,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,6546,1.94,0.43,0.10,1.88,9.93,0.09,
14,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1299827940,4989,1.48,0.49,0.13,1.57,-5.17,0.21,
15,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1282983072,9817,2.92,0.78,0.19,1.7,-1.95,0.11,
16,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,396000000,6577,1.95,0.52,0.14,1.1,-1.42,0.09,
17,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,7420,2.2,0.65,0.12,1.82,1.09,0.1,
18,FEDERALBNK,Federal Bank Ltd.,BANKS,1712115340,7750,2.3,1.12,0.38,1.48,1.98,0.1,
19,GMRINFRA,GMR Infrastructure Ltd.,CONSTRUCTION,3892434782,3664,1.09,1.4,0.42,1.75,-8.29,0.12,
20,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,9820,2.92,0.27,0.06,1.23,1.23,0.1,
21,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,270323853,4433,1.32,0.86,0.15,1.49,3.24,0.08,
22,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,6581,1.96,0.83,0.20,2.27,4.47,0.08,
23,HDIL,Housing Development and Infrastructure Ltd.,CONSTRUCTION,4150039860,3854,1.15,1.96,0.49,3.14,-5.03,0.07,
24,IDBI,IDBI Bank Ltd.,BANKS,9845532150,4681,1.39,1.44,0.56,1.4,1.34,0.07,
25,IFCI,IFCI Ltd.,FINANCIAL INSTITUTION,7378373310,3096,0.92,1.66,0.50,2.05,-5.18,0.07,
