Annexure II- S&P CNX Nifty Index : June  2011,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for June. 2011,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost June 2011
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1877452660,9047,0.53,0.71,0.21,1.34,-7.48,0.08
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3061745172,11000,0.65,0.96,0.21,1.97,-3.68,0.08
3,AXISBANK,Axis Bank Ltd.,BANKS,4109095320,33270,1.97,1.36,0.55,1.37,0.55,0.06
4,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,18883,1.12,0.74,0.21,1.54,4.66,0.07
5,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,18987650480,47551,2.81,0.73,0.18,1.38,5.55,0.05
6,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,32401,1.91,0.83,0.35,1.02,5.53,0.05
7,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,3615421240,8402,0.5,0.82,0.19,1.58,2.73,0.07
8,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,19021507420,11567,0.68,0.6,0.17,1.39,-8.01,0.06
9,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605842714,16799,0.99,0.68,0.24,1.54,1.53,0.08
10,DLF,DLF Ltd.,CONSTRUCTION,3395150248,7634,0.45,1.45,0.45,1.39,-11.93,0.07
11,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,846263660,19277,1.14,0.57,0.18,1.19,-5.2,0.07
12,GAIL,GAIL (India) Ltd.,GAS,12684774000,19818,1.17,0.64,0.20,1.42,-0.81,0.07
13,GRASIM,Grasim Industries Ltd.,TEXTILES - SYNTHETIC,916995780,13305,0.79,0.68,0.24,1.53,-8.98,0.09
14,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,1374925152,12022,0.71,0.96,0.34,1.51,-3.89,0.06
15,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,2934540290,91845,5.43,1.2,0.49,1.61,3.25,0.06
16,HDFCBANK,HDFC Bank Ltd.,BANKS,4663858460,89924,5.31,1.07,0.55,1.1,4.83,0.05
17,HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,17914,1.06,0.56,0.06,1.65,1.21,0.05
18,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,1914415169,23202,1.37,1.4,0.45,1.71,-8.51,0.06
19,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2159471968,35202,2.08,0.58,0.17,1.65,12.84,0.05
20,ICICIBANK,ICICI Bank Ltd.,BANKS,11518035530,126082,7.45,1.44,0.61,1.32,0.79,0.06
21,IDFC,Infrastructure Development Finance Co. Ltd.,FINANCIAL INSTITUTION,14618132400,15747,0.93,1.42,0.49,2,-7.74,0.06
22,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,2870757795,140303,8.29,0.83,0.37,1.1,4.48,0.04
23,ITC,I T C Ltd.,CIGARETTES,7738144280,108072,6.39,0.75,0.29,1.41,4.97,0.06
24,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,934509595,25350,1.5,0.99,0.45,1.38,0.47,0.06
25,JPASSOCIAT,Jaiprakash Associates Ltd.,CONSTRUCTION,4252866364,9148,0.54,1.78,0.49,2.15,-6.47,0.08
26,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,3686558595,16967,1,1.15,0.42,1.39,8.59,0.07
27,LT,Larsen & Toubro Ltd.,ENGINEERING,1219222048,97591,5.77,1.14,0.49,1.58,11.05,0.06
28,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,3069874195,32364,1.91,1.18,0.40,1.45,4.43,0.06
