Annexure II-  CNX Nifty Jr. Index : Mar 2011,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Mar. 2011,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Mar. 2011
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ADANIENT,Adani Enterprises Ltd.,TRADING,1155415465,16699.61,5.28,0.98,0.25,1.53,9.07,0.09
2,ABIRLANUVO,Aditya Birla Nuvo Ltd.,TEXTILES - SYNTHETIC,1135096750,4524.93,1.43,0.96,0.35,1.14,5.21,0.11
3,ANDHRABANK,Andhra Bank,BANKS,4850000000,3540.27,1.12,1.1,0.36,1.88,11.02,0.08
4,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,1330338317,3707.3,1.17,1.27,0.36,3.25,21.6,0.1
5,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,11548.17,3.65,0.5,0.14,1.41,5.21,0.09
6,BANKBARODA,Bank of Baroda,BANKS,3642665000,16235.18,5.13,0.84,0.33,1.26,10.81,0.09
7,BANKINDIA,Bank of India,BANKS,5251755000,8869.81,2.8,1.25,0.39,1.94,8.14,0.08
8,BEL,Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL,800000000,3250.52,1.03,0.46,0.15,1.06,1.44,0.11
9,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,4684.81,1.48,1.13,0.45,2.68,13.44,0.11
10,BIOCON,Biocon Ltd.,PHARMACEUTICALS,1000000000,2418.36,0.76,1.02,0.34,1.75,10.86,0.09
11,CANBK,Canara Bank,BANKS,4430000000,8955.37,2.83,1.21,0.38,1.79,1.97,0.06
12,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,5424.88,1.71,0.46,0.13,0.97,-0.88,0.1
13,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1299827940,5758.2,1.82,0.55,0.15,2.15,7.94,0.15
14,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1282983072,10336.27,3.27,0.82,0.23,1.52,11.46,0.1
15,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,396000000,6771,2.14,0.53,0.14,1.4,7.27,0.1
16,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,6585,2.08,0.66,0.13,2.05,4.9,0.09
17,FEDERALBNK,Federal Bank Ltd.,BANKS,1712115340,7166.06,2.26,1.1,0.36,1.93,20.03,0.11
18,GMRINFRA,GMR Infrastructure Ltd.,CONSTRUCTION,3892434782,4614.48,1.46,1.34,0.39,1.51,-1.34,0.11
19,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,8620.14,2.72,0.4,0.11,1.44,-6.59,0.09
20,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,270265103,3962.29,1.25,0.76,0.14,3.61,12.89,0.1
21,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,5902.7,1.86,0.67,0.11,1.9,11.32,0.07
22,HDIL,Housing Development and Infrastructure Ltd.,CONSTRUCTION,4150039860,4267,1.35,1.91,0.52,2.63,12.08,0.07
23,IDBI,IDBI Bank Ltd.,BANKS,9845180930,4889.45,1.54,1.44,0.57,1.86,8.12,0.06
24,IFCI,IFCI Ltd.,FINANCIAL INSTITUTION,7378373310,3555.2,1.12,1.59,0.48,2.33,5.2,0.07
25,IBREALEST,Indiabulls Real Estate Ltd.,CONSTRUCTION,804484478,3847.36,1.22,1.92,0.55,2.47,19.59,0.09
26,INDHOTEL,Indian Hotels Co. Ltd.,HOTELS,759472787,4237.02,1.34,0.97,0.33,1.51,7.07,0.11
27,IOB,Indian Overseas Bank ,BANKS,5448000000,3037.05,0.96,1.31,0.43,1.59,7.92,0.09
28,INDUSINDBK,IndusInd Bank Ltd.,BANKS,4657312450,9136.85,2.89,1.12,0.27,2.19,20.28,0.08
29,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2231172000,9711.85,3.07,1.73,0.54,2.65,5.29,0.06
30,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,949326000,6810.6,2.15,1.58,0.39,2.49,20.23,0.06
31,LUPIN,Lupin Ltd.,PHARMACEUTICALS,892296632,9849.82,3.11,0.8,0.26,1.85,9.3,0.08
32,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2099483150,3041.29,0.96,0.57,0.06,2.8,-3.77,0.08
33,MUNDRAPORT,Mundra Port and Special Economic Zone Ltd.,TRAVEL AND TRANSPORT,4006788200,6160.94,1.95,1.02,0.28,1.52,-0.98,0.11
34,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,419473385,3260.53,1.03,0.51,0.17,1.09,-3,0.13
35,PATNI,Patni Computer Systems Ltd.,COMPUTERS - SOFTWARE,263302660,2313.67,0.73,0.39,0.05,0.5,6.24,0.04
36,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,11477667000,2932.33,0.93,1.08,0.36,2.36,0.71,0.08
37,PUNJLLOYD,Punj Lloyd Ltd.,CONSTRUCTION,664191490,1349.39,0.43,1.61,0.44,2.36,7.84,0.09
38,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,8317.61,2.63,1.28,0.36,2.78,7.66,0.09
