Annexure II- S&P CNX Nifty Index : Mar 2011,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Mar. 2011,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Mar 2011
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,187745266,10449,0.6,0.6,0.17,1.01,10.85,0.06
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3059718172,12122,0.69,0.9,0.22,2.39,25.07,0.08
3,AXISBANK,Axis Bank Ltd.,BANKS,4100884740,36070,2.05,1.32,0.54,2.09,15.21,0.06
4,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,19790,1.13,0.68,0.20,1.59,15.29,0.06
5,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,32592,1.86,0.82,0.40,2,3.08,0.05
6,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,3615421240,7906,0.45,0.63,0.10,2.26,10.55,0.07
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,18987650480,43164,2.46,0.75,0.17,1.77,7.88,0.07
8,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,19015574220,15240,0.87,0.8,0.28,1.2,3.46,0.05
9,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605842714,16322,0.93,0.47,0.12,1.74,7.34,0.07
10,DLF,DLF Ltd.,CONSTRUCTION,3395094632,9741,0.55,1.5,0.50,2.32,26.76,0.07
11,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,846168735,20622,1.17,0.51,0.14,1.76,6.02,0.08
12,GAIL,GAIL (India) Ltd.,GAS,12684774000,20842,1.19,0.59,0.20,1.77,8.78,0.06
13,GRASIM,Grasim Industries Ltd.,TEXTILES - SYNTHETIC,916966890,15603,0.89,0.49,0.08,0.88,8.95,0.06
14,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,1369626480,11518,0.66,0.95,0.32,1.89,8.02,0.08
15,HDFCBANK,HDFC Bank Ltd.,BANKS,4647428030,83513,4.76,1,0.52,1.48,14.31,0.05
16,HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,15168,0.86,0.5,0.07,1.37,8.48,0.05
17,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,1914382231,26876,1.53,1.57,0.52,2.08,3.87,0.06
18,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2172361908,29925,1.7,0.53,0.17,1.24,1.81,0.05
19,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,2930713550,91043,5.19,1.13,0.49,1.84,11.44,0.07
20,ITC,I T C Ltd.,CIGARETTES,7721696260,96580,5.5,0.74,0.30,1.21,7.75,0.06
21,ICICIBANK,ICICI Bank Ltd.,BANKS,11514126180,128521,7.32,1.5,0.63,1.91,14.97,0.06
22,INFOSYSTCH,Infosys Technologies Ltd.,COMPUTERS - SOFTWARE,2870648465,156245,8.9,0.79,0.40,1.77,8.15,0.05
23,IDFC,Infrastructure Development Finance Co. Ltd.,FINANCIAL INSTITUTION,14609475480,16430,0.94,1.35,0.47,2.06,6.47,0.07
24,JPASSOCIAT,Jaiprakash Associates Ltd.,DIVERSIFIED,4252866364,10663,0.61,1.68,0.48,2.6,20.21,0.07
25,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,934269031,27085,1.54,1.07,0.48,1.24,6.01,0.07
26,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,3682227920,16173,0.92,1.15,0.43,1.41,13.04,0.08
27,LT,Larsen & Toubro Ltd.,ENGINEERING,1217704252,88264,5.03,1.1,0.50,2,8.11,0.06
28,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,3069700545,33210,1.89,1.14,0.39,2.4,13.74,0.06
