Annexure II-  CNX Nifty Jr. Index : May 2011,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for May 2011,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost May 2011
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ABIRLANUVO,Aditya Birla Nuvo Ltd.,TEXTILES - SYNTHETIC,1135097290,5000,1.48,0.96,0.37,2.06,3.76,0.13
2,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,15228,4.5,1.04,0.28,1.28,2.18,0.14
3,ANDHRABANK,Andhra Bank,BANKS,5595803640,3368,1,1.09,0.36,1.54,3.13,0.09
4,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,1330338317,3336,0.99,1.3,0.37,2.3,-3.49,0.09
5,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,14326,4.24,0.55,0.16,1.44,12.93,0.08
6,BANKBARODA,Bank of Baroda,BANKS,3915460790,14537,4.3,0.94,0.38,2.04,-5.26,0.09
7,BANKINDIA,Bank of India,BANKS,5464803700,8362,2.47,1.38,0.44,2.8,-1.96,0.08
8,BEL,Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL,800000000,3208,0.95,0.46,0.14,1.22,-9.27,0.12
9,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,4313,1.28,1.04,0.38,1.99,-7.99,0.13
10,BIOCON,Biocon Ltd.,PHARMACEUTICALS,1000000000,2483,0.73,1.08,0.34,1.97,-4.04,0.1
11,CANBK,Canara Bank,BANKS,4430000000,7781,2.3,1.24,0.37,2.41,-13.88,0.08
12,COALINDIA,Coal India Ltd.,MINING,63163644000,25799,7.63,0.31,0.05,2.39,7.33,0.07
13,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,5955,1.76,0.43,0.11,0.81,-1.18,0.1
14,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1299827940,5261,1.56,0.49,0.12,1.35,-4.25,0.19
