Annexure II- S&P CNX Nifty Index : May  2011,,,,,,,,,,,,
,,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for May. 2011,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost May 2011,
,,,,(In Rs.),(Rs. Crores),%,,,%,,%,
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,187745266,9778,0.59,0.67,0.20,1.86,-7.69,0.08,
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3060876172,11417,0.69,0.9,0.20,2.34,-12.29,0.09,
3,AXISBANK,Axis Bank Ltd.,BANKS,4109095320,33088,1.99,1.38,0.56,1.97,-0.32,0.07,
4,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,18043,1.08,0.71,0.20,2.13,-8.79,0.09,
5,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,18987650480,45052,2.7,0.77,0.18,1.56,-1.55,0.08,
6,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,30704,1.84,0.84,0.35,1.81,-2.87,0.05,
7,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,3615421240,8179,0.49,0.8,0.15,1.86,0.55,0.07,
8,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,19020827160,12574,0.75,0.63,0.18,1.32,-2.91,0.06,
9,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605842714,16545,0.99,0.62,0.21,1.44,5.35,0.08,
10,DLF,DLF Ltd.,CONSTRUCTION,3395150248,8668,0.52,1.5,0.48,2.4,7.25,0.08,
11,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,846263660,20333,1.22,0.51,0.14,1.75,-2.89,0.08,
12,GAIL,GAIL (India) Ltd.,GAS,12684774000,19980,1.2,0.6,0.19,1.82,-6.45,0.07,
13,GRASIM,Grasim Industries Ltd.,TEXTILES - SYNTHETIC,916995780,14619,0.88,0.62,0.22,1.56,-6.1,0.09,
14,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,1374396440,12505,0.75,0.97,0.34,1.14,-1.23,0.06,
15,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,2933773380,88928,5.34,1.18,0.50,1.64,-3.22,0.07,
16,HDFCBANK,HDFC Bank Ltd.,BANKS,4656611080,85644,5.14,1.06,0.53,1.56,4.53,0.06,
17,HEROHONDA,Hero Honda Motors Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,17700,1.06,0.53,0.06,2.69,8.46,0.06,
18,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,1914397914,25361,1.52,1.5,0.49,2.25,-8.66,0.07,
19,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2159471968,31197,1.87,0.6,0.19,1.93,6.78,0.06,
20,ICICIBANK,ICICI Bank Ltd.,BANKS,11515464390,125069,7.51,1.46,0.62,2.1,-2.54,0.07,
21,IDFC,Infrastructure Development Finance Co. Ltd.,FINANCIAL INSTITUTION,14618132400,17068,1.02,1.39,0.48,2.52,-2.13,0.06,
22,INFOSYSTCH,Infosys Technologies Ltd.,COMPUTERS - SOFTWARE,2870757795,134287,8.06,0.82,0.36,0.77,-4.15,0.05,
23,ITC,I T C Ltd.,CIGARETTES,7738144280,102960,6.18,0.71,0.27,1.47,0.52,0.07,
24,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,934509595,25232,1.51,1,0.46,1.45,-0.85,0.07,
