Annexure II-  CNX Nifty Jr. Index : Nov 2011,,,,,,,,,,,,
,,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Nov. 2011,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Nov. 2011,
,,,,(In Rs.),(Rs. Crores),%,,,%,,%,
1,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,7188,2.66,1.23,0.29,3.89,-36.93,0.16,
2,ABIRLANUVO,Aditya Birla Nuvo Ltd.,DIVERSIFIED,1135098730,4856,1.8,0.88,0.35,2.2,-0.37,0.14,
3,ANDHRABANK,Andhra Bank,BANKS,5595803640,2341,0.87,1.16,0.52,2.09,-16.16,0.12,
4,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2660676634,3215,1.19,1.15,0.31,1.95,-9.87,0.13,
5,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,13042,4.83,0.52,0.18,1.61,-8.87,0.09,
6,BANKBARODA,Bank of Baroda,BANKS,3915460790,11780,4.36,0.98,0.41,2.4,-9.21,0.12,
7,BANKINDIA,Bank of India,BANKS,5464803700,6106,2.26,1.13,0.37,2.49,-1.65,0.13,
8,BEL,Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL,800000000,2908,1.08,0.39,0.13,0.99,-3.82,0.15,
9,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,3499,1.3,1.19,0.45,1.75,-13.33,0.15,
10,BIOCON,Biocon Ltd.,PHARMACEUTICALS,1000000000,2210,0.82,1.05,0.49,1.77,-9.24,0.1,
11,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,6316,2.34,0.32,0.12,1.08,0.6,0.13,
12,CANBK,Canara Bank,BANKS,4430000000,6165,2.28,1.2,0.44,2.69,-7.67,0.11,
13,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,6673,2.47,0.39,0.11,1.47,-0.07,0.12,
14,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1299827940,4332,1.6,0.47,0.11,0.93,-8.34,0.23,
15,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1282983072,4733,1.75,1.11,0.24,3.03,-9.35,0.13,
16,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,4848,1.8,0.62,0.20,2.34,-10.32,0.16,
17,DABUR,Dabur India Ltd.,PERSONAL CARE,1742047322,5197,1.92,0.4,0.10,1.42,-5.92,0.1,
18,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,5343,1.98,0.71,0.14,1.6,-3.96,0.12,
19,FEDERALBNK,Federal Bank Ltd.,BANKS,1712115340,6130,2.27,1.2,0.48,2.13,-13.83,0.13,
20,GMRINFRA,GMR Infrastructure Ltd.,CONSTRUCTION,3892434782,2292,0.85,1.42,0.42,2.89,-25.77,0.16,
21,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,8011,2.97,0.2,0.04,1.44,-6.83,0.13,
22,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,270378803,4404,1.63,0.75,0.14,2.12,1.91,0.1,
23,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,4577,1.7,0.59,0.12,2.7,-17,0.12,
24,HDIL,Housing Development and Infrastructure Ltd.,CONSTRUCTION,4190039860,1536,0.57,2.11,0.53,3.29,-39.6,0.1,
25,IDBI,IDBI Bank Ltd.,BANKS,9845646550,3191,1.18,1.46,0.66,2.33,-20.56,0.1,
26,IFCI,IFCI Ltd.,FINANCIAL INSTITUTION,7378373310,1558,0.58,1.82,0.58,4.74,-30.05,0.13,
27,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,33063113060,7789,2.88,0.57,0.11,2.25,3.54,0.07,
28,INDHOTEL,Indian Hotels Co. Ltd.,HOTELS,759472787,3006,1.11,0.98,0.37,2.91,-14.74,0.14,
29,IOB,Indian Overseas Bank ,BANKS,6187493430,1959,0.73,1.22,0.48,1.84,-9.42,0.11,
30,INDUSINDBK,IndusInd Bank Ltd.,BANKS,4666900850,8589,3.18,1.34,0.52,1.7,-13.17,0.15,
31,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2231172000,6287,2.33,1.8,0.49,4.05,-9.23,0.09,
32,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,949326000,6729,2.49,1.38,0.42,1.98,-4.53,0.09,
33,LUPIN,Lupin Ltd.,PHARMACEUTICALS,893080006,11238,4.16,0.8,0.27,1.29,0.88,0.1,
34,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2100351200,2382,0.88,0.98,0.15,2.79,-5.5,0.16,
35,MUNDRAPORT,Mundra Port and Special Economic Zone Ltd.,SHIPPING,4006788200,5670,2.1,1.04,0.25,3.72,-23.3,0.16,
36,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,419686010,3343,1.24,0.68,0.22,1.31,-3.88,0.15,
37,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13199317050,5614,2.08,1.28,0.35,2.57,7.94,0.11,
38,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,3173,1.18,1.61,0.40,2.62,-23.9,0.09,
39,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,6011,2.23,1.5,0.48,2.81,1.55,0.11,
40,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2262216680,6623,2.45,0.82,0.18,1.55,-18.51,0.12,
41,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,6076,2.25,0.86,0.38,1.47,3.98,0.11,
42,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,1272488160,2088,0.77,1.16,0.35,2.15,-3.44,0.12,
43,TITAN,Titan Industries Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,7353,2.72,1.11,0.31,2.39,-18.25,0.1,
44,TORNTPOWER,Torrent Power Ltd.,POWER,4724483080,3385,1.25,0.71,0.18,1.39,-14.87,0.26,
45,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2740545690,11223,4.16,0.63,0.22,1.53,-0.34,0.12,
46,UNIONBANK,Union Bank of India,BANKS,5243324150,4766,1.77,1.25,0.42,1.99,-6.29,0.1,
47,UNIPHOS,United Phosphorus Ltd.,PESTICIDES AND AGROCHEMICALS,923608548,4662,1.73,1.09,0.31,2.55,-6.18,0.15,
48,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,6170,2.29,1.24,0.32,4.19,-20.31,0.12,
49,YESBANK,Yes Bank Ltd.,BANKS,3515025990,6599,2.44,1.67,0.59,2.17,-13.39,0.08,
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,964481641,6818,2.52,0.64,0.16,2.26,2.3,0.12,
,,,,,270006.41,100,,,,,,
,,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Dec-2010 to 30-Nov-2011,,,,,,,,,,,,
,,,,,,,,,,,,
* Beta measures the degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,,
,,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,,
,,,,,,,,,,,,
