Annexure II- S&P CNX Nifty Index : November  2011,,,,,,,,,,,,
,,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Nov 2011,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Nov. 2011,
,,,,(In Rs.),(Rs. Crores),%,,,%,,%,
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1877452660,10678,0.73,0.62,0.24,1.94,-4.25,0.09,
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3065254322,11171,0.76,0.8,0.22,1.69,-4.38,0.09,
3,AXISBANK,Axis Bank Ltd.,BANKS,4124227730,24538,1.67,1.37,0.55,1.89,-18.26,0.08,
4,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,22398,1.53,0.76,0.29,1.57,-3.52,0.09,
5,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,18987650480,46432,3.16,0.67,0.23,2.21,-1.45,0.08,
6,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,22335,1.52,0.89,0.36,2.76,-11.04,0.1,
7,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,3615421240,6951,0.47,0.55,0.14,2.59,-13.6,0.1,
8,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,19026954880,10983,0.75,0.79,0.30,2.24,1.06,0.1,
9,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605842714,16646,1.13,0.54,0.19,1.8,11.05,0.07,
10,COALINDIA,Coal India Ltd.,MINING,63163644000,20664,1.41,0.55,0.12,1.59,-1.46,0.06,
11,DLF,DLF Ltd.,CONSTRUCTION,3396267914,7559,0.51,1.43,0.42,3,-14.08,0.09,
12,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,847632430,19894,1.36,0.62,0.26,1.83,-5.58,0.09,
13,GAIL,GAIL (India) Ltd.,GAS,12684774000,17592,1.2,0.56,0.20,1.62,-7.39,0.1,
14,GRASIM,Grasim Industries Ltd.,TEXTILES - SYNTHETIC,917068920,14861,1.01,0.66,0.30,1.45,-5.61,0.09,
