Annexure II-  CNX Nifty Jr. Index : Oct 2011,,,,,,,,,,,,
,,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Oct. 2011,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Oct. 2011,
,,,,(In Rs.),(Rs. Crores),%,,,%,,%,
1,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,11397,3.81,1.23,0.29,1.92,-9.29,0.14,
2,ABIRLANUVO,Aditya Birla Nuvo Ltd.,DIVERSIFIED,1135097290,4874,1.63,0.88,0.38,1.57,-1.42,0.14,
3,ANDHRABANK,Andhra Bank,BANKS,5595803640,2792,0.93,1.1,0.50,1.92,-4,0.1,
4,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2660676634,3567,1.19,1.14,0.32,1.92,4.79,0.12,
5,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,14351,4.8,0.51,0.18,1.69,0.06,0.1,
6,BANKBARODA,Bank of Baroda,BANKS,3915460790,12976,4.34,0.99,0.46,1.64,1.16,0.11,
7,BANKINDIA,Bank of India,BANKS,5464803700,6209,2.07,1.23,0.44,1.81,5.55,0.11,
8,BEL,Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL,800000000,3024,1.01,0.36,0.12,0.98,2.08,0.14,
9,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,4037,1.35,1.11,0.42,2.54,11.62,0.15,
10,BIOCON,Biocon Ltd.,PHARMACEUTICALS,1000000000,2432,0.81,1.04,0.49,1.07,4.01,0.12,
11,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,6279,2.1,0.3,0.10,0.59,-1.6,0.08,
12,CANBK,Canara Bank,BANKS,4430000000,6677,2.23,1.2,0.42,1.75,5.15,0.11,
13,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,6678,2.23,0.46,0.13,0.92,1.97,0.1,
14,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1299827940,4726,1.58,0.55,0.14,2.14,1.63,0.25,
15,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1282983072,5290,1.77,0.94,0.19,3.72,-8.46,0.12,
16,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,5405,1.81,0.58,0.21,1.72,-3.95,0.15,
17,DABUR,Dabur India Ltd.,PERSONAL CARE,1741725396,5515,1.84,0.39,0.08,1.4,-1.65,0.1,
18,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,5564,1.86,0.66,0.13,3.17,-6.48,0.1,
19,FEDERALBNK,Federal Bank Ltd.,BANKS,1712115340,7114,2.38,1.16,0.46,2.31,12.85,0.14,
20,GMRINFRA,GMR Infrastructure Ltd.,CONSTRUCTION,3892434782,3090,1.03,1.36,0.42,2.22,2.59,0.13,
21,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,8598,2.87,0.22,0.05,0.91,-1.6,0.13,
22,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,270378803,4321,1.44,0.76,0.14,1.61,-4.29,0.12,
23,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,5515,1.84,0.59,0.14,1.5,-9.11,0.08,
24,HDIL,Housing Development and Infrastructure Ltd.,CONSTRUCTION,4190039860,2568,0.86,2.05,0.55,2.8,1.84,0.07,
25,IDBI,IDBI Bank Ltd.,BANKS,9845646550,4017,1.34,1.45,0.66,2.73,14.09,0.1,
26,IFCI,IFCI Ltd.,FINANCIAL INSTITUTION,7378373310,2227,0.74,1.76,0.62,2.44,7.33,0.11,
27,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,33060092020,7788,2.6,0.48,0.08,2.03,-3.96,0.09,
28,INDHOTEL,Indian Hotels Co. Ltd.,HOTELS,759472787,3526,1.18,0.9,0.36,1.06,-2.03,0.1,
29,IOB,Indian Overseas Bank ,BANKS,6187493430,2163,0.72,1.32,0.50,2.28,10.58,0.08,
30,INDUSINDBK,IndusInd Bank Ltd.,BANKS,4665624950,10225,3.42,1.3,0.45,1.95,9.32,0.13,
31,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2231172000,6927,2.31,1.68,0.49,3.34,10.39,0.09,
32,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,949326000,7049,2.36,1.54,0.42,2.62,10.61,0.09,
33,LUPIN,Lupin Ltd.,PHARMACEUTICALS,893014734,11135,3.72,0.76,0.25,1.36,-0.87,0.09,
34,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2100342490,2520,0.84,0.95,0.14,2.58,-0.01,0.15,
35,MUNDRAPORT,Mundra Port and Special Economic Zone Ltd.,SHIPPING,4006788200,7392,2.47,1.01,0.28,2.51,-0.24,0.14,
36,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,419682010,3474,1.16,0.66,0.21,1.64,11.22,0.11,
37,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13199317050,5201,1.74,1.33,0.40,3,-0.03,0.09,
38,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,4170,1.39,1.55,0.40,2.75,17.45,0.09,
39,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,5919,1.98,1.5,0.48,3,3.82,0.1,
40,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2262216680,8149,2.72,0.87,0.18,2.34,0.18,0.11,
41,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,5844,1.95,0.91,0.44,2.07,5.27,0.13,
42,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,1271927760,2152,0.72,1.17,0.37,2.43,1.98,0.11,
43,TITAN,Titan Industries Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,9007,3.01,1.14,0.34,2.53,4,0.08,
44,TORNTPOWER,Torrent Power Ltd.,POWER,4724483080,3977,1.33,0.59,0.13,1.82,5.05,0.22,
45,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2740531890,11261,3.76,0.56,0.18,1.33,0.96,0.11,
46,UNIONBANK,Union Bank of India,BANKS,5243324150,5085,1.7,1.22,0.42,3.56,-7.68,0.13,
47,UNIPHOS,United Phosphorus Ltd.,PESTICIDES AND AGROCHEMICALS,923608548,4969,1.66,1.04,0.31,2.64,6.39,0.11,
48,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,7742,2.59,1.15,0.35,2.68,10.33,0.1,
49,YESBANK,Yes Bank Ltd.,BANKS,3510458890,7581,2.53,1.61,0.58,3.42,15.32,0.07,
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,968766963,6757,2.26,0.63,0.17,1.44,3.7,0.1,
,,,,,299254.68,100,,,,,0.11,
,,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Nov-2010 to 31-Oct-2011,,,,,,,,,,,,
,,,,,,,,,,,,
* Beta measures the degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,,
,,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,,
,,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Oct-2011 to 31-Oct-2011,,,,,,,,,,,,
,,,,,,,,,,,,
* Last day of trading was 31-Oct-2011,,,,,,,,,,,,
,,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,,
,,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is the weightage average impact cost,,,,,,,,,,,,
