Annexure II- S&P CNX Nifty Index : October  2011,,,,,,,,,,,,
,,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Oct  2011,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Oct. 2011,
,,,,(In Rs.),(Rs. Crores),%,,,%,,%,
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1877452660,11152,0.69,0.58,0.21,1.48,8.59,0.08,
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3064636122,11673,0.72,0.78,0.20,1.85,4.16,0.1,
3,AXISBANK,Axis Bank Ltd.,BANKS,4123262950,30045,1.86,1.39,0.56,2.84,17.28,0.08,
4,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,23215,1.43,0.76,0.29,1.8,13.85,0.08,
5,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,25108,1.55,0.85,0.36,2.09,-0.66,0.08,
6,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,3615421240,8045,0.5,0.53,0.14,1.88,-8.38,0.08,
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,18987650480,47177,2.92,0.65,0.21,2.02,2.85,0.08,
8,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,19025589760,10859,0.67,0.77,0.28,1.77,10.22,0.08,
9,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605842714,14990,0.93,0.6,0.23,1.02,3.89,0.09,
10,COALINDIA,Coal India Ltd.,MINING,63163644000,20970,1.3,0.5,0.10,2.2,-1.43,0.07,
11,DLF,DLF Ltd.,CONSTRUCTION,3396010254,8787,0.54,1.44,0.42,3.77,20.62,0.08,
12,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,847379160,21061,1.3,0.59,0.26,1.51,14.42,0.08,
13,GAIL,GAIL (India) Ltd.,GAS,12684774000,18996,1.17,0.54,0.19,1.4,1.12,0.08,
14,GRASIM,Grasim Industries Ltd.,TEXTILES - SYNTHETIC,917047050,15744,0.97,0.67,0.29,2.01,8.18,0.09,
15,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,1379595064,10905,0.67,1.16,0.45,2.99,10.72,0.08,
16,HDFCBANK,HDFC Bank Ltd.,BANKS,4674069860,87861,5.43,1.01,0.56,1.71,7.44,0.09,
17,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,20816,1.29,0.46,0.06,1.23,11.31,0.05,
18,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,1914486146,17485,1.08,1.43,0.49,3.76,9.68,0.07,
19,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2160959717,38549,2.38,0.46,0.14,2.18,12.46,0.06,
20,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,2944431920,91392,5.65,1.08,0.53,2.01,8.57,0.08,
21,ITC,I T C Ltd.,CIGARETTES,7773036720,114016,7.05,0.7,0.35,1.33,9.67,0.06,
22,ICICIBANK,ICICI Bank Ltd.,BANKS,11521670440,107284,6.63,1.4,0.67,3.06,10.97,0.07,
23,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,2871015410,138731,8.57,0.99,0.46,2.27,16.22,0.05,
24,IDFC,Infrastructure Development Finance Co. Ltd.,FINANCIAL INSTITUTION,14633270000,15659,0.97,1.43,0.53,2.51,21,0.08,
25,JPASSOCIAT,Jaiprakash Associates Ltd.,CONSTRUCTION,4252866364,8755,0.54,1.82,0.53,2.85,10.41,0.08,
26,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,934509595,21872,1.35,1.21,0.53,3.89,18.57,0.08,
27,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,3693237360,18940,1.17,1.15,0.50,2.25,14.82,0.1,
28,LT,Larsen & Toubro Ltd.,ENGINEERING,1222322194,75832,4.69,1.12,0.50,2.5,7.12,0.07,
29,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,3069874195,39922,2.47,1.1,0.42,1.83,6.78,0.07,
30,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1444550300,14887,0.92,0.68,0.25,2.03,4.41,0.07,
31,NTPC,NTPC Ltd.,POWER,82454644000,22910,1.42,0.74,0.35,1.61,9.07,0.07,
32,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,42777450600,37455,2.31,0.55,0.16,1.88,3.58,0.07,
33,POWERGRID,Power Grid Corporation of India Ltd.,POWER,46297253530,14844,0.92,0.55,0.29,1.13,7.7,0.06,
34,PNB,Punjab National Bank,BANKS,3168121570,12990,0.8,0.87,0.38,1.77,4.47,0.08,
35,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2107534630,7667,0.47,0.71,0.21,1.32,-2.21,0.08,
36,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,5296,0.33,1.44,0.31,2.08,10.83,0.09,
37,RELIANCE,Reliance Industries Ltd.,REFINERIES,32744011380,148021,9.15,1.1,0.58,2.38,11.34,0.07,
38,RELINFRA,Reliance Infrastructure Ltd.,POWER,2644657590,6374,0.39,1.29,0.28,2.64,22.88,0.08,
39,RPOWER,Reliance Power Ltd.,POWER,28051264660,5245,0.32,1.13,0.36,1.63,22.36,0.08,
40,SESAGOA,Sesa Goa Ltd.,MINING,869101423,8086,0.5,0.98,0.27,2.68,6.72,0.08,
41,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,680589800,7273,0.45,0.56,0.16,1.46,3.43,0.09,
42,SBIN,State Bank of India,BANKS,6349989910,49143,3.04,1.18,0.50,2.46,2.4,0.06,
43,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41304005450,6572,0.41,1.2,0.45,2.75,11.75,0.07,
44,STER,Sterlite Industries (India) Ltd.,METALS,3361568684,17945,1.11,1.4,0.53,3.73,17.1,0.09,
45,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,1035581955,18955,1.17,0.64,0.21,1.78,9.2,0.07,
46,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1957220996,56617,3.5,1.04,0.45,2.46,6.95,0.07,
47,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5383224830,34807,2.15,1.62,0.53,3.95,29.2,0.08,
48,TATAPOWER,Tata Power Co. Ltd.,POWER,2373072360,16256,1,0.63,0.25,1.87,3.82,0.08,
49,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,9592144500,32138,1.99,1.22,0.56,2.81,22.34,0.06,
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,4914961164,18653,1.15,0.95,0.46,2.39,11.02,0.09,
,,,,,1617975,100,,,,,0.07,
,,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Nov-2010 to 31-Oct-2011,,,,,,,,,,,,
,,,,,,,,,,,,
* Beta measures the degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,,
,,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,,
,,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 03Oct-2011 to 31-Oct-2011,,,,,,,,,,,,
,,,,,,,,,,,,
* Last day of trading was 31-Oct-2011,,,,,,,,,,,,
,,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,,
,,,,,,,,,,,,
* Impact Cost for S&P CNX Nifty is the weightage average impact cost,,,,,,,,,,,,
