Annexure II-  CNX Nifty Jr. Index : Sept. 2011,,,,,,,,,,,,
,,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Sept. 2011,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Sept. 2011,
,,,,(In Rs.),(Rs. Crores),%,,,%,,%,
1,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,12564.3514,4.265162643,1.19400268,0.27,2.897381295,-0.491075645,0.18,
2,ABIRLANUVO,Aditya Birla Nuvo Ltd.,DIVERSIFIED,1135097290,4944.3405,1.678432553,0.883011559,0.38,1.829552874,-0.430658526,0.12,
3,ANDHRABANK,Andhra Bank,BANKS,5595803640,2908.1143,0.9872042,1.118674045,0.47,1.946401762,-4.953917051,0.11,
4,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2660676634,3404.0657,1.155562543,1.147451931,0.32,2.4632656,5.030181087,0.13,
5,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,14341.8438,4.868559822,0.476127359,0.15,0.867783317,-3.910470017,0.09,
6,BANKBARODA,Bank of Baroda,BANKS,3915460790,12826.958,4.354308499,0.990225179,0.45,2.166735999,3.53116936,0.14,
7,BANKINDIA,Bank of India,BANKS,5464803700,5882.4301,1.996881519,1.27078878,0.43,2.019779829,1.989647363,0.11,
8,BEL,Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL,800000000,2962.4085,1.005635203,0.390980246,0.12,1.599642236,-0.486507525,0.14,
9,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,3617.1344,1.227891996,1.071894911,0.41,1.797529111,-3.525813995,0.15,
10,BIOCON,Biocon Ltd.,PHARMACEUTICALS,1000000000,2337.9253,0.79364476,1.053316412,0.38,1.462679391,1.994258952,0.11,
11,CANBK,Canara Bank,BANKS,4430000000,6349.9131,2.155575826,1.217761121,0.40,1.876658231,4.029518566,0.11,
