Annexure II- S&P CNX Nifty Index : September 2011,,,,,,,,,,,,
,,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for September. 2011,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost September. 2011,
,,,,(In Rs.),(Rs. Crores),%,,,%,,%,
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1877452660,10251,0.69,0.61,0.21,1.64,9.55,0.08,
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3064320922,11191,0.75,0.83,0.21,2.9,11.91,0.09,
3,AXISBANK,Axis Bank Ltd.,BANKS,4122168120,26399,1.78,1.39,0.58,2.75,-5.02,0.09,
4,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,20612,1.39,0.79,0.30,1.92,-2.39,0.09,
5,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,18987650480,45516,3.07,0.71,0.24,1.78,-6.59,0.08,
6,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,25908,1.75,0.83,0.36,1.69,-7.28,0.08,
7,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,3615421240,8370,0.56,0.65,0.20,1.33,-3.97,0.1,
8,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,19025248700,9919,0.67,0.75,0.26,2.83,-2.35,0.1,
9,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605842714,14277,0.96,0.62,0.22,1.59,0.23,0.1,
10,DLF,DLF Ltd.,CONSTRUCTION,3395150248,7941,0.54,1.38,0.40,3.36,11.26,0.08,
11,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,847379160,18696,1.26,0.57,0.23,1.12,-0.86,0.09,
12,GAIL,GAIL (India) Ltd.,GAS,12684774000,18441,1.24,0.56,0.20,1.97,-0.01,0.1,
13,GRASIM,Grasim Industries Ltd.,TEXTILES - SYNTHETIC,917041050,14864,1,0.63,0.26,1.83,7.17,0.11,
14,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,1378754272,10048,0.68,1.12,0.44,3.01,-0.44,0.09,
15,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,2941829390,84955,5.73,1.11,0.53,1.9,-3.28,0.08,
16,HDFCBANK,HDFC Bank Ltd.,BANKS,4671514320,83807,5.65,1.05,0.59,1.84,-0.91,0.09,
17,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,18530,1.25,0.44,0.05,1.99,-5.36,0.06,
18,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,1914436177,16906,1.14,1.39,0.48,2.88,-12.72,0.09,
19,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2160683560,34934,2.36,0.48,0.15,1.83,6.3,0.07,
20,ICICIBANK,ICICI Bank Ltd.,BANKS,11520686680,100852,6.8,1.34,0.64,2.24,0.25,0.08,
21,IDFC,Infrastructure Development Finance Co. Ltd.,FINANCIAL INSTITUTION,14630078390,13092,0.88,1.43,0.53,2.21,-2.76,0.09,
22,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,2870938460,122119,8.23,0.97,0.45,2.4,8.11,0.07,
23,ITC,I T C Ltd.,CIGARETTES,7763602780,105783,7.13,0.71,0.32,1.52,-1,0.07,
24,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,934509595,19673,1.33,1.09,0.53,2.19,-2.86,0.1,
25,JPASSOCIAT,Jaiprakash Associates Ltd.,CONSTRUCTION,4252866364,8223,0.55,1.86,0.52,4.23,18.58,0.1,
26,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,3691507150,16984,1.15,1.15,0.48,2.09,3.84,0.1,
27,LT,Larsen & Toubro Ltd.,ENGINEERING,1222322194,72851,4.91,1.13,0.52,1.78,-15.62,0.08,
28,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,3069874195,37126,2.5,1.14,0.42,1.88,9.02,0.08,
29,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1444550300,14327,0.97,0.79,0.31,2.07,-0.78,0.09,
30,NTPC,NTPC Ltd.,POWER,82454644000,21427,1.44,0.73,0.32,2.02,-0.97,0.09,
31,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,42777450600,35897,2.42,0.53,0.14,1.8,1.06,0.07,
32,PNB,Punjab National Bank,BANKS,3168121570,12681,0.85,0.92,0.42,1.72,2.52,0.09,
33,POWERGRID,Power Grid Corporation of India Ltd.,POWER,46297253530,13938,0.94,0.56,0.27,1.52,-1.75,0.07,
34,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2107534630,7847,0.53,0.8,0.24,1.63,8.77,0.07,
35,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,4759,0.32,1.42,0.29,3.82,-9.81,0.11,
36,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,3550,0.24,1.46,0.37,4.25,-17.97,0.09,
37,RELIANCE,Reliance Industries Ltd.,REFINERIES,32742743160,136344,9.19,1.06,0.55,2.64,3.29,0.08,
38,RELINFRA,Reliance Infrastructure Ltd.,POWER,2652452620,5142,0.35,1.23,0.25,3.35,-14.42,0.09,
39,RPOWER,Reliance Power Ltd.,POWER,28051264660,4215,0.28,1.13,0.35,2.73,-9.55,0.1,
40,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41304005450,6188,0.42,1.2,0.41,3.13,-2.09,0.1,
41,SBIN,State Bank of India,BANKS,6349989910,49265,3.32,1.21,0.53,2.29,-3.18,0.06,
42,SESAGOA,Sesa Goa Ltd.,MINING,869101423,7821,0.53,1.02,0.27,1.98,-14.31,0.09,
43,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,680589800,7127,0.48,0.57,0.15,1.93,-5.39,0.1,
44,STER,Sterlite Industries (India) Ltd.,METALS,3361568684,16021,1.08,1.3,0.49,3.27,-11.62,0.11,
45,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,1035581955,17379,1.17,0.65,0.22,1.5,-5.92,0.1,
46,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5383224830,27370,1.85,1.49,0.49,3.67,5.11,0.1,
47,TATAPOWER,Tata Power Co. Ltd.,POWER,2373072360,16159,1.09,0.64,0.25,1.95,-4.43,0.13,
48,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,9592144500,27648,1.86,1.18,0.55,2.27,-11.35,0.07,
49,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1957220996,52633,3.55,1.08,0.46,2.17,-0.49,0.08,
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,4913653012,17336,1.17,0.93,0.42,2.29,1.66,0.09,
,,,,,1483344,100,,,,,0.08,
,,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Oct-2010 to 30-Sep-2011,,,,,,,,,,,,
,,,,,,,,,,,,
