Annexure II-  CNX Nifty Jr. Index : Apr 2012,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Apr. 2012,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Apr. 2012
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ABIRLANUVO,Aditya Birla Nuvo Ltd.,FINANCE,1135152420,5020,1.70,1.61,0.49,1.91,-1.84,0.10
2,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,6700,2.27,1.91,0.56,3.53,-7.84,0.11
3,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4006788200,5762,1.95,0.48,0.04,2.67,-1.31,0.13
4,ANDHRABANK,Andhra Bank,BANKS,5595803640,2738,0.93,1.43,0.48,2.15,-2.22,0.10
5,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2660676634,4200,1.42,1.05,0.16,2.40,6.10,0.11
6,BANKINDIA,Bank of India,BANKS,5464803700,6596,2.23,1.70,0.46,2.54,-2.52,0.10
7,BEL,Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL,800000000,2841,0.96,0.45,0.15,1.41,-3.50,0.09
8,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,4319,1.46,0.39,0.04,2.19,0.03,0.11
9,BIOCON,Biocon Ltd.,PHARMACEUTICALS,1000000000,1655,0.56,0.73,0.10,2.03,-0.27,0.08
10,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,7860,2.66,0.68,0.12,1.21,5.55,0.11
11,CANBK,Canara Bank,BANKS,4430000000,6243,2.11,1.57,0.38,2.39,-8.24,0.10
12,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,7390,2.50,1.15,0.26,1.39,-0.83,0.13
13,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1299827940,4289,1.45,0.79,0.25,1.72,-6.38,0.20
14,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1282983072,4915,1.66,1.74,0.35,3.03,-4.85,0.09
15,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,6553,2.22,0.04,0.00,1.71,-2.61,0.12
16,DABUR,Dabur India Ltd.,PERSONAL CARE,1742100854,6100,2.07,0.76,0.21,1.46,4.92,0.11
17,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,265468580,5437,1.84,0.54,0.10,1.34,11.77,0.10
18,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,5935,2.01,0.89,0.13,2.12,-13.34,0.09
19,FEDERALBNK,Federal Bank Ltd.,BANKS,1712115340,7190,2.43,1.23,0.58,2.10,-1.54,0.13
20,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,8959,3.03,0.22,0.02,1.14,-7.45,0.17
21,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,270535503,4540,1.54,-0.06,0.00,2.02,4.90,0.09
22,GMRINFRA,GMR Infrastructure Ltd.,CONSTRUCTION,3892434782,2964,1.00,1.29,0.17,2.98,-14.17,0.13
23,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,6709,2.27,-0.46,0.06,1.42,1.28,0.19
24,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,4991,1.69,1.30,0.25,2.14,-0.71,0.09
25,IDBI,IDBI Bank Ltd.,BANKS,9845703710,3486,1.18,1.12,0.25,2.30,-3.01,0.09
26,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,33088451100,6256,2.12,0.64,0.05,2.24,-20.55,0.09
27,INDHOTEL,Indian Hotels Co. Ltd.,HOTELS,759472787,3122,1.06,1.56,0.73,1.96,-2.83,0.12
28,INDUSINDBK,IndusInd Bank Ltd.,BANKS,4675100010,11499,3.89,1.62,0.47,2.29,3.12,0.12
29,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2231172000,7348,2.49,1.69,0.35,3.23,-3.90,0.07
30,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,7833,2.65,1.30,0.40,2.10,-1.25,0.08
31,LUPIN,Lupin Ltd.,PHARMACEUTICALS,893283362,13093,4.43,-0.06,0.00,1.64,4.32,0.09
32,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,7087,2.40,1.16,0.05,3.22,28.94,0.09
33,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2100932640,2709,0.92,1.11,0.27,2.51,-8.84,0.13
34,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,419761885,4313,1.46,1.11,0.26,2.10,-0.01,0.10
35,PETRONET,Petronet LNG Ltd.,GAS,7500000440,4156,1.41,1.31,0.22,2.03,-17.55,0.09
36,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13199317050,5902,2.00,1.97,0.41,3.06,-7.80,0.10
37,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,4978,1.69,2.74,0.64,3.29,-10.71,0.09
38,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,6836,2.31,2.43,0.54,2.95,1.51,0.10
39,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,3710,1.26,2.13,0.45,3.27,-16.07,0.07
40,RPOWER,Reliance Power Ltd.,POWER,28051264660,5880,1.99,2.48,0.51,2.74,-8.62,0.10
41,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2262216680,7415,2.51,0.70,0.16,2.58,-4.67,0.11
42,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,5904,2.00,0.88,0.20,1.50,-3.00,0.11
43,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,1274865410,2604,0.88,0.65,0.12,2.13,-2.64,0.10
44,TITAN,Titan Industries Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,9627,3.26,1.01,0.15,2.51,1.95,0.08
45,TORNTPOWER,Torrent Power Ltd.,POWER,4724483080,3447,1.17,1.59,0.49,1.90,1.04,0.16
46,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2740653010,13923,4.71,0.26,0.03,1.56,-5.92,0.09
47,UNIONBANK,Union Bank of India,BANKS,5243324150,5048,1.71,0.66,0.10,2.61,-4.90,0.09
