Annexure II- S&P CNX Nifty Index : April  2012,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for April 2012,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost April 2012
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1877452660,11545,0.70,0.76,0.32,2.31,-9.00,0.08
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3070109922,11369,0.69,0.79,0.24,1.86,-12.49,0.08
3,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,15970,0.98,0.24,0.04,1.35,8.78,0.07
4,AXISBANK,Axis Bank Ltd.,BANKS,4132039520,28566,1.74,1.48,0.59,1.85,-3.42,0.06
5,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,21800,1.33,0.75,0.28,1.37,-3.24,0.08
6,BANKBARODA,Bank of Baroda,BANKS,4111233830,14462,0.88,0.94,0.36,1.16,-3.30,0.08
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,18987650480,37148,2.27,0.81,0.27,1.38,-8.11,0.07
8,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,17756,1.08,1.17,0.40,2.16,-12.60,0.06
9,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,3615421240,8666,0.53,0.49,0.11,1.68,-4.23,0.09
10,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,19073961080,12620,0.77,0.92,0.31,2.12,3.40,0.06
11,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605842714,15832,0.97,0.45,0.15,1.00,2.26,0.06
12,COALINDIA,Coal India Ltd.,MINING,63163644000,22256,1.36,0.66,0.17,1.65,2.46,0.06
13,DLF,DLF Ltd.,CONSTRUCTION,3396767446,6797,0.42,1.56,0.45,1.76,-7.31,0.07
14,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,847801730,22238,1.36,0.44,0.16,1.48,-0.10,0.07
15,GAIL,GAIL (India) Ltd.,GAS,12684774000,14843,0.91,0.58,0.21,1.75,-12.17,0.08
16,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,917097420,16133,0.99,0.66,0.29,1.24,-2.38,0.08
17,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,1384677064,12698,0.78,1.01,0.38,1.77,5.96,0.07
18,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,2953940020,99489,6.08,0.95,0.55,0.87,0.04,0.06
19,HDFCBANK,HDFC Bank Ltd.,BANKS,4693376540,97771,5.97,0.93,0.56,0.99,4.36,0.08
20,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,21386,1.31,0.53,0.12,1.75,9.04,0.07
21,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,1914542308,15531,0.95,1.60,0.51,2.54,-6.68,0.08
22,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2161512492,42863,2.62,0.34,0.09,0.97,1.84,0.06
23,ICICIBANK,ICICI Bank Ltd.,BANKS,11524728030,101688,6.21,1.53,0.72,1.44,-0.88,0.07
24,IDFC,Infrastructure Development Finance Co. Ltd.,FINANCIAL INSTITUTION,15123627680,14775,0.90,1.57,0.56,1.97,-10.41,0.07
25,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,2871150005,118708,7.25,0.93,0.38,3.12,-14.10,0.05
26,ITC,I T C Ltd.,CIGARETTES,7818424300,132532,8.09,0.49,0.22,1.16,8.20,0.07
27,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,934833818,19516,1.19,1.35,0.48,2.33,-7.55,0.08
28,JPASSOCIAT,Jaiprakash Associates Ltd.,CONSTRUCTION,4252866364,8452,0.52,1.92,0.55,2.70,-8.51,0.08
29,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,3699503330,21630,1.32,1.15,0.51,1.70,6.87,0.09
30,LT,Larsen & Toubro Ltd.,ENGINEERING,1224797798,65996,4.03,1.25,0.51,1.62,-6.28,0.07
31,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,3069874195,32549,1.99,0.96,0.36,1.29,1.41,0.07
32,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1444550300,18148,1.11,0.64,0.18,1.44,1.58,0.07
33,NTPC,NTPC Ltd.,POWER,82454644000,20769,1.27,0.76,0.34,1.31,-0.15,0.07
34,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,42777450600,47783,2.92,0.56,0.17,1.36,0.63,0.08
35,PNB,Punjab National Bank,BANKS,3168121570,11312,0.69,0.96,0.37,1.31,-8.09,0.08
36,POWERGRID,Power Grid Corporation of India Ltd.,POWER,46297253530,15750,0.96,0.62,0.31,1.11,2.87,0.07
