Annexure II-  CNX Nifty Jr. Index : Aug 2012,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for August 2012,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Aug 2012
,,,,(In Rs.),(Rs. Crores),%,,,%,%,%
1,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,3434.02,1.2,1.82,0.4,2.81,-13.88,0.09
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4006788200,5128.49,1.79,0.98,0.2,2.28,-5.56,0.1
3,ABIRLANUVO,Aditya Birla Nuvo Ltd.,FINANCE,1135254410,4032.04,1.41,0.89,0.33,1.33,-5.19,0.08
4,ANDHRABANK,Andhra Bank,BANKS,5595803640,2119.7,0.74,1.34,0.49,1.35,-11.26,0.08
5,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2660676634,2686.73,0.94,1.1,0.32,1.4,-7.62,0.12
6,BANKINDIA,Bank of India,BANKS,5737803700,4763.79,1.67,1.53,0.54,1.32,-14.3,0.06
7,BEL,Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL,800000000,2396.42,0.84,0.53,0.17,1.9,6.79,0.09
8,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,3762.95,1.32,1.05,0.39,1.59,-7.09,0.08
9,BIOCON,Biocon Ltd.,PHARMACEUTICALS,1000000000,1858.61,0.65,0.82,0.27,0.96,9.03,0.08
10,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,7701.51,2.7,0.36,0.12,0.69,-4.85,0.09
11,CANBK,Canara Bank,BANKS,4430000000,4548.83,1.59,1.49,0.57,1.4,-13.13,0.07
12,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,8044.69,2.82,0.29,0.07,0.84,4.23,0.07
13,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1299827940,4493.37,1.57,0.38,0.08,1.06,-0.87,0.21
14,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1282983072,4035.89,1.41,1.44,0.38,1.62,-7.1,0.09
15,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,6248.06,2.19,0.73,0.21,1.9,7.63,0.1
16,DABUR,Dabur India Ltd.,PERSONAL CARE,1742778683,6691.73,2.34,0.33,0.08,1.53,2.72,0.07
17,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,265468580,7240.07,2.53,0.44,0.14,1.63,3.94,0.07
18,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,6146.61,2.15,0.68,0.17,1.33,4.32,0.08
19,FEDERALBNK,Federal Bank Ltd.,BANKS,1712115340,6958.89,2.44,1.13,0.5,1.45,-1.89,0.09
20,GMRINFRA,GMR Infrastructure Ltd.,CONSTRUCTION,3892434782,2023.82,0.71,1.9,0.45,2.12,-21.72,0.15
21,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,7066.88,2.47,0.18,0.02,1.01,11.74,0.13
22,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,8774.75,3.07,0.22,0.06,0.61,-0.47,0.15
23,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,270615453,6174.44,2.16,0.26,0.03,1.65,14.83,0.07
24,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,4930.92,1.73,0.54,0.1,1.54,-13.34,0.07
25,IDBI,IDBI Bank Ltd.,BANKS,12783580810,2882.53,1.01,1.51,0.61,1.15,-4.6,0.08
26,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,33097508840,5963.87,2.09,0.71,0.15,1.82,-6.63,0.08
27,INDHOTEL,Indian Hotels Co. Ltd.,HOTELS,807472787,2976,1.04,1.03,0.37,1.44,-0.25,0.11
28,INDUSINDBK,IndusInd Bank Ltd.,BANKS,4688435290,11048.21,3.87,1.3,0.53,1.12,-5.27,0.09
29,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2231172000,7266.95,2.54,1.93,0.53,1.82,3.83,0.06
30,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,7232.31,2.53,1.08,0.43,1.19,-8.38,0.07
31,LUPIN,Lupin Ltd.,PHARMACEUTICALS,893829706,14072.05,4.92,0.35,0.07,1.38,-1.3,0.08
32,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2101020970,2822.84,0.99,0.75,0.18,1.59,-3.29,0.1
33,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,419921140,4908.26,1.72,0.69,0.17,1.98,16.47,0.09
34,PETRONET,Petronet LNG Ltd.,GAS,7500000440,4566,1.6,0.61,0.14,1.07,3.96,0.09
35,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13199317050,5560.33,1.95,1.76,0.51,2.48,-7.42,0.09
36,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,3602.57,1.26,1.91,0.5,2.68,-4.25,0.05
37,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,3197.19,1.12,1.78,0.53,2.19,-14.08,0.09
38,RPOWER,Reliance Power Ltd.,POWER,28051264660,4185.13,1.46,1.55,0.42,2.38,-16.49,0.08
39,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,6186.57,2.17,1.83,0.54,2.43,0.13,0.07
40,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2263005680,7731.96,2.71,0.99,0.27,1.48,9.88,0.1
41,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,5354.97,1.87,0.67,0.31,1.2,-0.33,0.07
42,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,1275993460,2977.38,1.04,0.79,0.19,2.51,11.99,0.07
