Annexure II- S&P CNX Nifty Index : August 2012,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for August 2012,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost August 2012,,
,,,,(In Rs.),(Rs. Crores),%,,,%,,%,,
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1877452660,12210.41902,0.74,0.8,0.32,0.93,-1.19,0.05,,
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3078254772,14051.70493,0.85,0.8,0.23,1.47,2.69,0.05,,
3,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,16486.20228,1,0.35,0.08,1.06,-0.04,0.05,,
4,AXISBANK,Axis Bank Ltd.,BANKS,4143680480,25768.28549,1.57,1.56,0.6,1.55,-5.01,0.04,,
5,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,21702.78242,1.32,0.65,0.2,1.32,0.8,0.05,,
6,BANKBARODA,Bank of Baroda,BANKS,4111233830,10631.92726,0.65,1,0.34,1.29,-3.7,0.05,,
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,18987650480,29646.8976,1.8,0.85,0.24,2.21,-17.41,0.05,,
8,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,16847.78567,1.02,1.34,0.44,1.41,-1.11,0.05,,
9,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,7230842480,8653.417876,0.53,0.48,0.09,1.82,-7.83,0.06,,
10,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,19079103880,14838.42495,0.9,0.86,0.24,1.36,1.9,0.04,,
11,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605842714,19102.39271,1.16,0.36,0.1,1.17,11.18,0.04,,
