Annexure II-  CNX Nifty Jr. Index : December 2012,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Dec 2012,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Dec 2012
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ABIRLANUVO,Aditya Birla Nuvo Ltd.,DIVERSIFIED,1135271210,5933.93,1.73,1,0.27,1.4,2.84,0.1
2,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,5980.88,1.74,1.73,0.24,2.65,13.18,0.09
3,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4006788200,6086.55,1.77,0.87,0.12,2.39,3.73,0.13
4,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,6003.09,1.75,0.32,0.03,2.66,-3.86,0.06
5,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2660676634,3514.93,1.02,1.07,0.23,2.28,-5.11,0.11
6,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,6008.22,1.75,0.52,0.11,1.45,13.93,0.13
7,BANKINDIA,Bank of India,BANKS,5737803700,6400.23,1.86,1.65,0.43,1.54,22.22,0.08
8,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,3399.41,0.99,0.93,0.22,1.56,-5.07,0.07
9,BIOCON,Biocon Ltd.,PHARMACEUTICALS,1000000000,2034.57,0.59,0.84,0.18,1.92,0.1,0.07
10,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,8612.12,2.51,0.44,0.13,0.79,4.36,0.11
11,CANBK,Canara Bank,BANKS,4430000000,7105.67,2.07,1.55,0.38,1.81,6.96,0.07
12,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,10442.6,3.04,0.18,0.02,1.41,8.75,0.07
13,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1299827940,4414.2,1.29,0.31,0.04,1.15,-0.97,0.12
14,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1282983072,4335.13,1.26,1.38,0.27,2.07,1.36,0.08
15,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,7054.88,2.05,0.65,0.12,1.11,7.02,0.12
16,DABUR,Dabur India Ltd.,PERSONAL CARE,1742921211,7040.3,2.05,0.38,0.07,1.04,0.66,0.08
17,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,265468580,7014.28,2.04,0.47,0.09,1.49,-6.79,0.07
18,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,6628.61,1.93,0.49,0.07,1.41,1.62,0.07
19,FEDERALBNK,Federal Bank Ltd.,BANKS,1712115340,9214.6,2.68,0.97,0.32,1.64,11.71,0.08
20,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,9059.31,2.64,0.13,0.02,0.7,5.75,0.1
21,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,270724953,7394.03,2.15,0.14,0.01,1.97,21.88,0.08
22,GMRINFRA,GMR Infrastructure Ltd.,CONSTRUCTION,3892434782,2137.91,0.62,2.23,0.38,2.33,4.03,0.16
23,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,340326031,7689.71,2.24,0.19,0.01,1.63,-1.93,0.09
24,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,9093.52,2.65,0.14,0.01,3.17,3.07,0.06
25,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,4815.86,1.4,0.42,0.05,1.32,1.38,0.06
26,IDBI,IDBI Bank Ltd.,BANKS,12783696610,3826.9,1.11,1.59,0.51,1.88,3.05,0.08
27,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,33113377960,8305.3,2.42,0.63,0.09,1.78,6.96,0.08
28,INDHOTEL,Indian Hotels Co. Ltd.,HOTELS,807472787,3180.28,0.93,1.09,0.29,1.65,0.72,0.11
29,INDUSINDBK,IndusInd Bank Ltd.,BANKS,5219145040,16837.06,4.9,1.16,0.35,1.6,0.07,0.1
30,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2231172000,8507.27,2.48,1.81,0.45,1.57,9.32,0.07
31,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,8776.07,2.56,1.19,0.39,1.25,9.65,0.07
32,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,17278.56,5.03,1.04,0.06,5.87,-4.88,0.06
33,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2101068570,2821.49,0.82,0.45,0.06,1.34,-0.97,0.08
34,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,420032445,5438.91,1.58,0.58,0.08,1.37,13.19,0.08
35,PETRONET,Petronet LNG Ltd.,GAS,7500000440,4714.5,1.37,0.4,0.05,1.25,-3.26,0.07
36,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13200125140,7067.31,2.06,1.69,0.35,1.72,5.85,0.08
37,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,4901.92,1.43,1.9,0.43,2.33,3.36,0.09
38,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,8038.94,2.34,1.86,0.41,1.85,6.31,0.1
39,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,5404.98,1.57,2.16,0.51,1.8,13.17,0.06
40,RPOWER,Reliance Power Ltd.,POWER,28051264660,5127.06,1.49,1.94,0.45,1.67,-3.96,0.07
41,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41305252890,5310.61,1.55,1.47,0.45,1.36,12.19,0.08
42,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2268549360,9267.14,2.7,0.86,0.17,1.34,13,0.09
43,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,6217.32,1.81,0.62,0.19,1.53,8.19,0.09
44,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,1277569510,5159.34,1.5,0.69,0.12,1.4,5.93,0.07
45,TITAN,Titan Industries Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,11851.09,3.45,1.05,0.21,2.14,-8.77,0.07
46,TORNTPOWER,Torrent Power Ltd.,POWER,4724483080,3213.41,0.94,0.57,0.07,1.85,20.49,0.13
47,UNIONBANK,Union Bank of India,BANKS,5505490350,6176.11,1.8,1.37,0.27,2.72,13.06,0.09
48,UNIPHOS,United Phosphorus Ltd.,PESTICIDES AND AGROCHEMICALS,915122164,4284.86,1.25,0.8,0.13,1.95,10.53,0.09
49,YESBANK,Yes Bank Ltd.,BANKS,3566476990,12263.28,3.57,1.49,0.44,1.31,4.93,0.06
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,955116027,11937.84,3.48,0.58,0.07,2.22,13.06,0.09
,,,,,343322.08,100,,,,,0.09
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Jan-2012 to 31-Dec-2012,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Dec-2012 to 31-Dec-2012,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-Dec-2012,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is the weightage average impact cost,,,,,,,,,,,
