Annexure II- S&P CNX Nifty Index : December 2012,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for December 2012,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost December 2012
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1877452660,"13,364.74",0.71,0.82,0.25,1.14,3.49,0.06
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3082278572,"15,273.18",0.81,0.83,0.19,1.38,-3.41,0.06
3,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,"20,071.94",1.07,0.45,0.09,1.12,2.36,0.05
4,AXISBANK,Axis Bank Ltd.,BANKS,4269072250,"36,549.31",1.95,1.77,0.59,1.11,2.78,0.04
5,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,"28,599.98",1.53,0.64,0.14,1.23,10.37,0.05
6,BANKBARODA,Bank of Baroda,BANKS,4111233830,"14,579.46",0.78,1.43,0.46,1.26,13.62,0.06
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,18987650480,"37,937.98",2.02,0.89,0.18,1.83,-5.91,0.07
8,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,"18,032.86",0.96,1.64,0.39,1.64,-2.60,0.06
9,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,7230842480,"9,209.04",0.49,0.49,0.08,1.46,2.55,0.06
10,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,19098294110,"18,832.68",1.00,0.73,0.15,1.20,-3.32,0.04
11,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605842714,"21,020.50",1.12,0.50,0.11,1.01,-0.10,0.05
12,COALINDIA,Coal India Ltd.,MINING,63163644000,"22,410.46",1.20,0.61,0.15,0.63,-3.21,0.05
13,DLF,DLF Ltd.,CONSTRUCTION,3397198972,"8,388.51",0.45,1.75,0.45,1.77,9.91,0.06
14,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,849169975,"23,130.99",1.23,0.19,0.03,0.82,0.57,0.06
15,GAIL,GAIL (India) Ltd.,GAS,12684774000,"16,024.61",0.86,0.71,0.18,0.95,0.96,0.06
16,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,917460020,"20,130.48",1.07,0.75,0.27,0.90,-5.68,0.06
17,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,1388741840,"16,249.34",0.87,0.66,0.17,1.11,-5.76,0.05
18,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,3081119280,"127,689.29",6.81,0.84,0.36,1.20,-1.74,0.07
19,HDFCBANK,HDFC Bank Ltd.,BANKS,4731229780,"123,606.82",6.60,0.92,0.48,0.88,-3.60,0.06
20,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,"18,137.06",0.97,0.73,0.17,0.82,4.05,0.05
