Annexure II-  CNX Nifty Jr. Index : Feb 2012,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Feb. 2012,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Feb. 2012
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ABIRLANUVO,Aditya Birla Nuvo Ltd.,FINANCE,1135139840,4764,1.54,0.85,0.56,2.25,7.53,0.12
2,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,8937,2.88,1.53,0.55,4.56,-9.89,0.15
3,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4006788200,6702,2.16,1.07,0.50,2.62,1.64,0.14
4,ANDHRABANK,Andhra Bank,BANKS,5595803640,3076,0.99,1.25,0.74,3.25,28.46,0.12
5,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2660676634,3691,1.19,1.09,0.53,3.08,3.85,0.13
6,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,14357,4.63,0.40,0.34,1.20,5.85,0.10
7,BANKBARODA,Bank of Baroda,BANKS,3915460790,13535,4.37,1.12,0.69,2.55,6.72,0.12
8,BANKINDIA,Bank of India,BANKS,5464803700,6946,2.24,1.37,0.68,4.25,8.01,0.10
9,BEL,Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL,800000000,3124,1.01,0.44,0.38,2.00,15.13,0.15
10,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,4160,1.34,1.26,0.69,2.54,5.94,0.14
11,BIOCON,Biocon Ltd.,PHARMACEUTICALS,1000000000,1913,0.62,0.94,0.57,2.30,3.96,0.10
12,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,6997,2.26,0.34,0.36,1.58,6.64,0.10
13,CANBK,Canara Bank,BANKS,4430000000,7306,2.36,1.34,0.72,3.11,8.68,0.10
14,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,6987,2.25,0.29,0.25,1.22,4.51,0.10
15,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1299827940,4669,1.51,0.45,0.30,1.59,-0.01,0.19
16,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1282983072,5332,1.72,1.34,0.55,3.26,6.90,0.12
17,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,6329,2.04,0.68,0.48,2.55,10.98,0.15
18,DABUR,Dabur India Ltd.,PERSONAL CARE,1742093979,5674,1.83,0.28,0.23,1.57,10.46,0.09
19,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,6204,2.00,0.68,0.39,2.02,1.92,0.12
20,FEDERALBNK,Federal Bank Ltd.,BANKS,1712115340,6943,2.24,1.23,0.70,2.24,1.67,0.13
21,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,8670,2.80,0.21,0.22,1.03,6.95,0.14
22,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,270421403,4317,1.39,0.56,0.30,1.37,4.61,0.12
23,GMRINFRA,GMR Infrastructure Ltd.,CONSTRUCTION,3892434782,3175,1.02,1.46,0.64,4.49,-2.56,0.14
24,HDIL,Housing Development and Infrastructure Ltd.,CONSTRUCTION,4190039860,2914,0.94,2.29,0.74,5.77,43.75,0.11
25,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,5192,1.67,0.60,0.35,2.08,6.25,0.10
26,IDBI,IDBI Bank Ltd.,BANKS,9845703710,3711,1.20,1.42,0.79,3.10,6.61,0.10
27,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,33077481030,7528,2.43,0.64,0.35,2.02,-0.89,0.09
28,IFCI,IFCI Ltd.,FINANCIAL INSTITUTION,7378373310,2960,0.95,1.85,0.69,5.42,52.61,0.14
29,INDHOTEL,Indian Hotels Co. Ltd.,HOTELS,759472787,3498,1.13,0.95,0.60,2.82,5.40,0.15
30,INDUSINDBK,IndusInd Bank Ltd.,BANKS,4670501690,10814,3.49,1.37,0.73,2.71,6.97,0.13
31,IOB,Indian Overseas Bank ,BANKS,6187493430,2154,0.69,1.10,0.65,2.74,16.50,0.10
32,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2231172000,8570,2.76,1.78,0.69,3.49,15.60,0.09
33,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,949326000,7844,2.53,1.13,0.64,2.33,3.75,0.10
34,LUPIN,Lupin Ltd.,PHARMACEUTICALS,893244112,11397,3.68,0.48,0.35,1.85,1.23,0.10
35,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,5193,1.68,1.18,0.50,4.16,-14.30,0.11
36,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2100364950,3178,1.03,1.00,0.49,1.29,14.82,0.13
37,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,419742385,4355,1.40,0.67,0.40,4.16,33.31,0.13
38,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13199317050,6904,2.23,1.59,0.66,4.00,17.16,0.11
39,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,7072,2.28,1.66,0.72,4.15,13.23,0.13
40,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,4552,1.47,1.70,0.66,4.46,12.27,0.11
41,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2262216680,7088,2.29,0.99,0.47,2.47,-6.08,0.12
42,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,6364,2.05,0.76,0.60,1.79,6.18,0.10
43,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,1273475610,2226,0.72,0.93,0.52,1.69,-7.90,0.11
44,TITAN,Titan Industries Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,9437,3.04,1.04,0.52,3.31,12.51,0.09
45,TORNTPOWER,Torrent Power Ltd.,POWER,4724483080,3732,1.20,0.67,0.42,2.44,6.69,0.26
46,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2740609820,13742,4.43,0.67,0.52,1.97,15.78,0.12
47,UNIONBANK,Union Bank of India,BANKS,5243324150,5249,1.69,1.38,0.66,3.39,2.17,0.11
48,UNIPHOS,United Phosphorus Ltd.,PESTICIDES AND AGROCHEMICALS,923608548,5230,1.69,0.94,0.50,2.63,5.59,0.12
49,YESBANK,Yes Bank Ltd.,BANKS,3522732440,8402,2.71,1.67,0.78,3.33,4.54,0.08
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,961689920,6907,2.23,0.66,0.44,2.82,-0.59,0.12
,,,,,310024.51,100.00,,,,,0.13
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Mar-2011 to 29-Feb-2012,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Feb-2012 to 29-Feb-2012,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 29-Feb-2012,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is the weightage average impact cost,,,,,,,,,,,
