Annexure II-  CNX Nifty Jr. Index : July 2012,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for July 2012,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost July 2012
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,4314.11,1.49,1.68,0.37,3.04,-18.66,0.09
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4006788200,5430.56,1.87,0.97,0.21,1.91,-0.58,0.11
3,ABIRLANUVO,Aditya Birla Nuvo Ltd.,FINANCE,1135152420,4252.59,1.47,0.92,0.34,1.3,-2.67,0.09
4,ANDHRABANK,Andhra Bank,BANKS,5595803640,2388.78,0.82,1.32,0.5,1.37,-14.15,0.09
5,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2660676634,2908.45,1,1,0.26,2.34,-10.44,0.12
6,BANKINDIA,Bank of India,BANKS,5737803700,5558.69,1.92,1.51,0.54,1.57,-14.16,0.07
7,BEL,Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL,800000000,2244.06,0.77,0.5,0.16,1.72,-13.31,0.1
8,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,4050.29,1.4,1.1,0.41,1.59,0.07,0.09
9,BIOCON,Biocon Ltd.,PHARMACEUTICALS,1000000000,1702.72,0.59,0.82,0.27,1.59,1.35,0.07
10,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,8093.99,2.79,0.39,0.14,0.98,-1.84,0.11
11,CANBK,Canara Bank,BANKS,4430000000,5236.66,1.81,1.46,0.57,1.76,-11.26,0.07
12,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,7718.17,2.66,0.31,0.08,1.04,-3.26,0.08
13,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1299827940,4532.96,1.56,0.38,0.08,1.44,2.7,0.24
14,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1282983072,4344.48,1.5,1.44,0.38,2.77,-4.17,0.08
15,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,5805.27,2,0.7,0.22,1.37,-4.91,0.1
16,DABUR,Dabur India Ltd.,PERSONAL CARE,1742100854,6506.16,2.25,0.3,0.07,1.09,4.15,0.08
17,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,265468580,6965.38,2.4,0.48,0.18,1.34,6.98,0.08
18,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,5891.84,2.03,0.7,0.18,1.32,-6.07,0.1
19,FEDERALBNK,Federal Bank Ltd.,BANKS,1712115340,7093.29,2.45,1.16,0.5,1.1,-7.64,0.1
20,GMRINFRA,GMR Infrastructure Ltd.,CONSTRUCTION,3892434782,2585.43,0.89,1.81,0.44,3.56,-7.37,0.12
21,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,6324.57,2.18,0.2,0.03,0.77,-3.73,0.12
22,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,8816.54,3.04,0.24,0.07,0.77,4.49,0.14
23,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,270615453,5375.51,1.86,0.32,0.05,1.41,5.76,0.07
24,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,5689.97,1.96,0.52,0.09,1.81,2.54,0.07
25,IDBI,IDBI Bank Ltd.,BANKS,12783580810,3316.22,1.14,1.52,0.63,1.73,-5.78,0.08
26,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,33095263340,6381.36,2.2,0.64,0.13,2.24,5.47,0.08
27,INDHOTEL,Indian Hotels Co. Ltd.,HOTELS,807472787,2983.56,1.03,1,0.38,1.55,-4.21,0.11
