Annexure II-  CNX Nifty Jr. Index : June 2012,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for June 2012,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost June 2012
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,5303.81,1.82,1.7,0.34,2.8,-14.64,0.09
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4006788200,5462.12,1.87,0.99,0.22,1.5,-1.86,0.12
3,ABIRLANUVO,Aditya Birla Nuvo Ltd.,FINANCE,1135152420,4369.27,1.5,0.89,0.32,1.65,7.46,0.11
4,ANDHRABANK,Andhra Bank,BANKS,5595803640,2782.4,0.95,1.3,0.51,2.42,8.92,0.08
5,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2660676634,3247.56,1.11,0.95,0.24,1.55,-0.4,0.11
6,BANKINDIA,Bank of India,BANKS,5737803700,6475.8,2.22,1.47,0.52,1.47,1.82,0.1
7,BEL,Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL,800000000,2588.56,0.89,0.53,0.2,1.53,7.72,0.09
8,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,4047.59,1.39,1.09,0.4,1.6,-3.98,0.09
9,BIOCON,Biocon Ltd.,PHARMACEUTICALS,1000000000,1680.1,0.58,0.81,0.27,1.53,7.78,0.08
10,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,8246.06,2.83,0.35,0.12,1.28,4.96,0.11
11,CANBK,Canara Bank,BANKS,4430000000,5900.89,2.02,1.45,0.57,2.01,2.62,0.08
12,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,7978.05,2.73,0.31,0.08,1.54,-0.57,0.08
13,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1299827940,4413.96,1.51,0.39,0.08,1.26,4.37,0.27
14,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1282983072,4533.37,1.55,1.46,0.35,2.19,8.17,0.09
15,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,6104.76,2.09,0.7,0.23,1.49,4.93,0.12
16,DABUR,Dabur India Ltd.,PERSONAL CARE,1742100854,6247.11,2.14,0.35,0.09,1.7,9.83,0.09
17,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,265468580,6510.95,2.23,0.48,0.18,1.74,9.82,0.07
18,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,6272.85,2.15,0.71,0.17,1.62,15.51,0.1
19,FEDERALBNK,Federal Bank Ltd.,BANKS,1712115340,7679.69,2.63,1.16,0.5,1.12,6.7,0.1
20,GMRINFRA,GMR Infrastructure Ltd.,CONSTRUCTION,3892434782,2791.16,0.96,1.71,0.43,3.63,21.84,0.15
21,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,6569.93,2.25,0.21,0.03,1.37,-2.51,0.17
22,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,8437.75,2.89,0.24,0.07,1.21,0.46,0.17
23,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,270573653,5082.15,1.74,0.33,0.05,1.69,1.79,0.1
24,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,5549.25,1.9,0.51,0.09,2.17,15.41,0.08
25,IDBI,IDBI Bank Ltd.,BANKS,12783580810,3519.72,1.21,1.48,0.62,2.02,9.95,0.08
26,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,33095263340,6050.12,2.07,0.65,0.13,1.25,-0.26,0.09
27,INDHOTEL,Indian Hotels Co. Ltd.,HOTELS,759472787,3114.71,1.07,0.98,0.37,1.82,9.88,0.12
28,INDUSINDBK,IndusInd Bank Ltd.,BANKS,4686409450,11835.7,4.06,1.32,0.54,1.74,14.02,0.12
29,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2231172000,7143.98,2.45,1.89,0.5,2.2,8.11,0.07
30,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,8132.96,2.79,1.05,0.41,1.65,13.9,0.08
31,LUPIN,Lupin Ltd.,PHARMACEUTICALS,893614648,12737.32,4.36,0.38,0.08,1.39,-0.84,0.08
32,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2100998960,2715.59,0.93,0.88,0.21,1.74,-1.33,0.12
33,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,419868785,4184.36,1.43,0.69,0.18,1.55,1.35,0.1
34,PETRONET,Petronet LNG Ltd.,GAS,7500000440,4293,1.47,0.57,0.11,2.84,11.88,0.11
35,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13199317050,6200.3,2.12,1.8,0.52,2.73,20.05,0.09
36,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,4037.96,1.38,1.9,0.5,2.87,16.25,0.07
37,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,4212.07,1.44,1.8,0.48,2.15,-1.63,0.1
38,RPOWER,Reliance Power Ltd.,POWER,28051264660,5868.52,2.01,1.5,0.43,2.71,14.16,0.1
39,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,6288.21,2.15,1.8,0.56,2.62,16.52,0.1
40,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2263005680,6520.18,2.23,1.04,0.29,1.67,0.56,0.14
41,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,5462.11,1.87,0.64,0.3,1.13,1.02,0.09
42,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,1275127460,2635.6,0.9,0.87,0.24,1.36,5.16,0.09
43,TITAN,Titan Industries Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,9310.83,3.19,1.12,0.33,1.9,0.31,0.09
44,TORNTPOWER,Torrent Power Ltd.,POWER,4724483080,3076.85,1.05,0.68,0.2,1.41,-8.5,0.16
45,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2740707410,14818.94,5.08,0.65,0.27,1.7,6.51,0.11
46,UNIONBANK,Union Bank of India,BANKS,5505490350,4707.21,1.61,1.37,0.44,2.24,3.69,0.1
47,UNIPHOS,United Phosphorus Ltd.,PESTICIDES AND AGROCHEMICALS,923608548,4205.61,1.44,0.84,0.19,1.67,13.68,0.1
48,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,6245.76,2.14,1.37,0.24,2.86,21.76,0.08
49,YESBANK,Yes Bank Ltd.,BANKS,3538591740,8303.34,2.85,1.61,0.61,1.94,2.9,0.08
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,958770077,7931.05,2.72,0.71,0.21,2.1,11.09,0.09
,,,,,291827.15,100,,,,,0.1
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Jul-2011 to 29-Jun-2012,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Jun-2012 to 29-Jun-2012,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 29-Jun-2012,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is the weightage average impact cost,,,,,,,,,,,
