Annexure II-  CNX Nifty Jr. Index : Mar 2012,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Mar. 2012,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Mar. 2012
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,7270.08,2.34,1.58,0.32,3.51,-18.65,0.12
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4006788200,5838.58,1.88,1.04,0.23,2.73,-12.88,0.16
3,ABIRLANUVO,Aditya Birla Nuvo Ltd.,FINANCE,1135152090,5114.52,1.65,0.84,0.31,1.64,7.35,0.11
4,ANDHRABANK,Andhra Bank,BANKS,5595803640,2800.03,0.90,1.28,0.56,2.85,-8.98,0.12
5,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2660676634,3958.37,1.28,0.96,0.25,1.96,7.24,0.11
6,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,14680.77,4.73,0.39,0.11,1.77,2.25,0.1
7,BANKBARODA,Bank of Baroda,BANKS,3915460790,13396.54,4.32,1.14,0.49,2.14,-1.03,0.1
8,BANKINDIA,Bank of India,BANKS,5464803700,6766.89,2.18,1.41,0.49,2.84,-2.58,0.13
9,BEL,Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL,800000000,2944.55,0.95,0.49,0.18,1.44,-5.75,0.1
10,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,4317.22,1.39,1.14,0.43,2.25,3.78,0.11
11,BIOCON,Biocon Ltd.,PHARMACEUTICALS,1000000000,1659.44,0.53,0.88,0.30,2.15,-13.25,0.08
12,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,7446.36,2.40,0.36,0.14,2.02,6.43,0.12
13,CANBK,Canara Bank,BANKS,4430000000,6803.94,2.19,1.40,0.56,2.84,-6.87,0.11
14,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,7451.62,2.40,0.33,0.08,1.31,6.65,0.14
15,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1299827940,4581.66,1.48,0.41,0.08,1.87,-1.86,0.19
