Annexure II-  CNX Nifty Jr. Index : May 2012,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for May 2012,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost May 2012
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ABIRLANUVO,Aditya Birla Nuvo Ltd.,FINANCE,1135152420,4066.058,1.471621466,0.887224921,0.318153005,2.267100084,-19.00884383,0.11
2,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,6213.6125,2.248882218,1.676254648,0.335597429,2.586287486,-7.261078484,0.11
3,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4006788200,5565.8152,2.014426042,1.013567534,0.22547092,2.311556964,-3.403755869,0.13
4,ANDHRABANK,Andhra Bank,BANKS,5595803640,2554.4527,0.924528727,1.315905643,0.536244976,2.55600975,-6.69527897,0.1
5,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2660676634,3260.5993,1.180103166,0.961870397,0.246715699,2.051819961,-22.36024845,0.11
6,BANKINDIA,Bank of India,BANKS,5737803700,6360.1135,2.301905076,1.454493965,0.505563434,2.781114661,-3.578500707,0.12
7,BEL,Bharat Electronics Ltd.,ELECTRONICS - INDUSTRIAL,800000000,2403.0827,0.86974364,0.517321048,0.195408624,1.564459088,-15.4269598,0.14
8,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,4215.534,1.52572106,1.119780271,0.415445862,1.578825242,-2.38950492,0.12
9,BIOCON,Biocon Ltd.,PHARMACEUTICALS,1000000000,1558.8827,0.564203768,0.832456863,0.272258784,1.272163889,-7.46800923,0.08
10,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,7856.7107,2.843565959,0.355637038,0.129991568,1.154552231,-0.041448152,0.12
11,CANBK,Canara Bank,BANKS,4430000000,5750.0283,2.081097976,1.422118156,0.560875841,2.017394324,-7.901969766,0.09
12,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,8023.6986,2.904003606,0.316756717,0.07642764,1.285053802,8.580188467,0.1
13,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1299827940,4229.2232,1.530675569,0.395263351,0.077568925,1.82737853,-1.398366708,0.28
14,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1282983072,4191.1209,1.516885269,1.431702667,0.334395341,2.476773527,-14.7260274,0.11
15,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,5818.1686,2.105759879,0.728200401,0.245200515,2.487667891,-11.21359726,0.12
16,DABUR,Dabur India Ltd.,PERSONAL CARE,1742100854,5688.1172,2.058690597,0.297169782,0.066785935,1.40377601,-6.750111757,0.1
17,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,265468580,5928.8604,2.145822374,0.469869112,0.179492479,1.95430481,9.028264424,0.09
18,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,5430.5029,1.965452691,0.711129928,0.167641105,1.917925325,-8.507347254,0.11
19,FEDERALBNK,Federal Bank Ltd.,BANKS,1712115340,7197.7329,2.605063243,1.197678324,0.513595382,1.260604713,0.107155614,0.11
20,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,8398.8901,3.039796028,0.229224281,0.062593162,1.09807103,-6.252186283,0.18
21,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,270535503,4991.8685,1.806698487,0.338119672,0.047283073,2.65043218,9.906023725,0.1
22,GMRINFRA,GMR Infrastructure Ltd.,CONSTRUCTION,3892434782,2290.7491,0.829086931,1.606712828,0.414180447,3.113101447,-22.70168856,0.16
23,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,6739.2892,2.439139493,0.224157787,0.037770461,1.800908839,0.452488688,0.15
24,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,4808.4131,1.740300786,0.595332728,0.127361313,1.111435951,-3.64902969,0.1
25,IDBI,IDBI Bank Ltd.,BANKS,12783146400,3201.1754,1.158595975,1.458684493,0.610757933,1.930969316,-16.34662728,0.1
26,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,33093557940,6065.7672,2.19537282,0.623294307,0.113521562,2.328690944,-3.184713376,0.1
27,INDHOTEL,Indian Hotels Co. Ltd.,HOTELS,759472787,2834.7667,1.025982297,1.014670706,0.392840543,1.98767711,-9.208400646,0.14
28,INDUSINDBK,IndusInd Bank Ltd.,BANKS,4676562810,10358.123,3.748897864,1.317028451,0.537621387,1.555765733,-10.03919204,0.12
29,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2231172000,6607.9473,2.391603142,1.880196475,0.496181269,3.291332986,-9.317755661,0.09
30,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,7140.4374,2.58432638,1.050075994,0.40617744,1.660863421,-8.84445299,0.1
31,LUPIN,Lupin Ltd.,PHARMACEUTICALS,893549548,12844.2769,4.648707322,0.404182982,0.093966042,1.776434662,-1.937002172,0.12
32,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,5129.6522,1.856566308,1.301208543,0.230121558,3.268998976,-27.86486659,0.09
33,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2100998960,2752.2903,0.996131753,0.911415292,0.219876963,1.551543992,1.543460601,0.15
34,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,419868785,4128.6963,1.494292039,0.674299789,0.170010107,1.78770153,-4.446649745,0.11
35,PETRONET,Petronet LNG Ltd.,GAS,7500000440,3837.0002,1.388718965,0.587863498,0.123531484,2.363810761,-7.686755684,0.1
36,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13199317050,5164.8963,1.869322145,1.767399598,0.507255791,2.06782654,-12.48898031,0.11
37,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,4281.7202,1.549675719,1.809148103,0.466601852,2.386891581,-13.99067288,0.11
38,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,5396.447,1.953126897,1.753712031,0.54603664,1.67314417,-21.05515588,0.12
39,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,3473.5825,1.257187814,1.856650873,0.482681592,2.730023475,-6.376195537,0.08
40,RPOWER,Reliance Power Ltd.,POWER,28051264660,5140.7903,1.860597501,1.459854195,0.417565017,2.908610046,-12.56422233,0.11
41,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2263005680,6483.8847,2.346701376,1.005495166,0.270438081,2.492202727,-7.971014493,0.12
42,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,5406.7851,1.956868548,0.670766638,0.312772858,1.388813888,-8.446096654,0.13
43,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,1275127460,2506.297,0.907099816,0.870831024,0.239968175,2.595549326,-4.018525116,0.11
44,TITAN,Titan Industries Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,9281.6531,3.359292941,1.049598146,0.264223274,2.209485783,-4.420600858,0.09
45,TORNTPOWER,Torrent Power Ltd.,POWER,4724483080,3362.5556,1.217004037,0.706718692,0.204745835,1.886876562,-2.428256071,0.24
46,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2740653010,13913.3019,5.035617724,0.671477642,0.282842238,1.584235379,-0.073689382,0.11
47,UNIONBANK,Union Bank of India,BANKS,5505490350,4539.5014,1.642974031,1.353263775,0.430518306,2.111786735,-10.0780379,0.11
48,UNIPHOS,United Phosphorus Ltd.,PESTICIDES AND AGROCHEMICALS,923608548,3699.5301,1.338964645,0.868267647,0.201560455,2.575059008,-4.772141015,0.11
49,YESBANK,Yes Bank Ltd.,BANKS,3536815740,8065.6515,2.919187548,1.596388007,0.588658273,2.185188265,-5.676293966,0.07
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,958770077,7139.5642,2.584010344,0.689823514,0.195053647,1.156132696,4.631828979,0.1
,,,,,276297.8181,100,,,,,0.11
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Jun-2011 to 31-May-2012,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-May-2012 to 31-May-2012,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-May-2012,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is the weightage average impact cost,,,,,,,,,,,
