Annexure II- S&P CNX Nifty Index : May  2012,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for May 2012,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost May 2012
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1877452660,10647,0.69,0.74,0.31,1.42,-7.78,0.08
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3071313922,11420,0.74,0.77,0.23,1.97,0.36,0.09
3,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,18211,1.18,0.26,0.05,1.57,14.03,0.06
4,AXISBANK,Axis Bank Ltd.,BANKS,4132039520,25124,1.63,1.49,0.57,2.21,-12.29,0.06
5,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,20283,1.32,0.70,0.24,1.77,-6.96,0.09
6,BANKBARODA,Bank of Baroda,BANKS,4111233830,12938,0.84,0.96,0.35,2.45,-10.54,0.08
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,18987650480,36197,2.35,0.84,0.27,1.84,-2.56,0.08
8,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,16757,1.09,1.21,0.40,2.62,-5.63,0.07
9,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,3615421240,9015,0.59,0.45,0.09,1.88,4.03,0.06
10,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,19077069630,12334,0.80,0.96,0.32,2.17,-3.23,0.07
11,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605842714,15725,1.02,0.43,0.14,1.27,-0.67,0.07
12,COALINDIA,Coal India Ltd.,MINING,63163644000,20313,1.32,0.67,0.18,1.48,-8.73,0.06
13,DLF,DLF Ltd.,CONSTRUCTION,3396778098,6712,0.44,1.55,0.44,2.22,-1.28,0.06
14,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,847801730,21263,1.38,0.40,0.15,0.93,-4.39,0.08
15,GAIL,GAIL (India) Ltd.,GAS,12684774000,14428,0.94,0.56,0.20,1.65,-2.80,0.09
16,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,917097420,14638,0.95,0.67,0.29,1.66,-10.08,0.09
17,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,1385272920,12648,0.82,1.02,0.37,1.48,-1.56,0.07
18,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,2953947620,96690,6.29,0.95,0.55,1.49,-2.81,0.06
19,HDFCBANK,HDFC Bank Ltd.,BANKS,4696344140,91349,5.94,0.92,0.55,1.41,-6.69,0.09
20,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,17464,1.14,0.55,0.14,2.05,-18.34,0.06
21,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,1914542308,15004,0.98,1.58,0.50,1.94,-3.40,0.09
22,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2161512492,43907,2.86,0.28,0.06,0.96,2.49,0.06
23,ICICIBANK,ICICI Bank Ltd.,BANKS,11525142530,90271,5.87,1.53,0.71,1.96,-11.23,0.08
24,IDFC,Infrastructure Development Finance Co. Ltd.,FINANCIAL INSTITUTION,15124664500,15431,1.00,1.56,0.54,2.42,3.64,0.1
25,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,2871150005,117130,7.62,0.96,0.39,1.24,-1.33,0.06
26,ITC,I T C Ltd.,CIGARETTES,7818424300,123972,8.06,0.50,0.21,2.00,-6.58,0.08
27,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,934833818,16915,1.10,1.39,0.49,2.09,-12.63,0.1
28,JPASSOCIAT,Jaiprakash Associates Ltd.,CONSTRUCTION,4252866364,7037,0.46,1.90,0.52,2.93,-16.86,0.09
29,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,3703875760,20976,1.36,1.18,0.52,2.08,-3.31,0.09
30,LT,Larsen & Toubro Ltd.,ENGINEERING,1224797798,63085,4.10,1.27,0.51,2.46,-4.42,0.09
31,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,3069874195,29945,1.95,0.93,0.36,1.48,-8.09,0.07
