Annexure II-  CNX Nifty Jr. Index : November 2012,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for June. 2011,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost November. 2012
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,5712,1.74,1.66,0.26,2.12,11.33,0.08
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4006788200,5963,1.82,0.78,0.12,2.49,2.28,0.11
3,ABIRLANUVO,Aditya Birla Nuvo Ltd.,DIVERSIFIED,1135254410,5943,1.81,0.94,0.26,1.4,17.23,0.08
4,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,6218,1.89,0.38,0.03,3.67,5.01,0.09
5,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2660676634,3619,1.1,1.02,0.21,2.71,21.11,0.11
6,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,5289,1.61,0.45,0.1,0.89,-1.1,0.16
7,BANKINDIA,Bank of India,BANKS,5737803700,5227,1.59,1.6,0.45,1.43,1.5,0.07
8,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,3597,1.1,0.98,0.28,1.41,-2.25,0.07
9,BIOCON,Biocon Ltd.,PHARMACEUTICALS,1000000000,2086,0.64,0.87,0.19,2.42,7.91,0.06
10,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,8182,2.49,0.42,0.13,0.64,2.48,0.12
11,CANBK,Canara Bank,BANKS,4430000000,6612,2.01,1.46,0.38,2.12,15.88,0.07
12,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,9758,2.97,0.22,0.03,1.44,12.09,0.07
13,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1299827940,4444,1.35,0.3,0.04,1.35,-7.47,0.18
14,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1282983072,4316,1.31,1.33,0.27,2.36,-8.48,0.08
15,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,6624,2.02,0.57,0.11,1.23,-0.71,0.11
16,DABUR,Dabur India Ltd.,PERSONAL CARE,1742921211,7048,2.15,0.35,0.07,1.28,2.98,0.08
17,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,265468580,7437,2.26,0.41,0.08,1.28,-1.19,0.09
18,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,6750,2.06,0.45,0.06,1.13,0.39,0.08
19,FEDERALBNK,Federal Bank Ltd.,BANKS,1712115340,8275,2.52,0.97,0.35,1.2,-0.58,0.1
20,GMRINFRA,GMR Infrastructure Ltd.,CONSTRUCTION,3892434782,2166,0.66,2.06,0.37,2.34,-7.23,0.15
21,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,8895,2.71,0.12,0,4.41,21.53,0.42
22,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,8449,2.57,0.17,0.03,0.64,2.25,0.1
23,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,270714603,6194,1.89,0.19,0.01,1.59,1.25,0.08
24,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,340326031,7763,2.36,0.17,0.01,1.93,2.07,0.09
25,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,4790,1.46,0.58,0.09,1.37,-3.93,0.07
26,IDBI,IDBI Bank Ltd.,BANKS,12783681060,3729,1.14,1.49,0.51,1.99,16.54,0.08
27,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,33109838200,7760,2.36,0.63,0.09,1.97,13.38,0.08
28,INDHOTEL,Indian Hotels Co. Ltd.,HOTELS,807472787,3349,1.02,0.96,0.26,1.28,-0.56,0.11
29,INDUSINDBK,IndusInd Bank Ltd.,BANKS,4696461650,14795,4.5,1.21,0.39,1.65,14.46,0.08
30,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2231172000,7883,2.4,1.86,0.49,1.36,0.59,0.06
31,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,8040,2.45,1.13,0.4,1.35,9.32,0.06
32,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2101042170,2955,0.9,0.39,0.05,1.08,0.28,0.11
33,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,420032445,4789,1.46,0.53,0.08,1.01,0.32,0.08
34,PETRONET,Petronet LNG Ltd.,GAS,7500000440,4901,1.49,0.38,0.05,1.53,-3.42,0.08
35,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13200068830,6732,2.05,1.72,0.38,1.71,3.83,0.09
36,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,4771,1.45,2.1,0.53,1.64,11,0.06
37,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,4743,1.44,1.89,0.46,2.69,32.41,0.09
38,RPOWER,Reliance Power Ltd.,POWER,28051264660,5344,1.63,1.8,0.44,1.85,5.14,0.08
39,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,7680,2.34,1.78,0.41,1.93,7.1,0.1
40,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2268549360,8246,2.51,0.86,0.18,1.27,7.21,0.09
41,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41305252890,4777,1.45,1.44,0.46,1.17,0.69,0.07
42,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,5872,1.79,0.59,0.22,1.16,3.4,0.06
43,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,1276411810,4932,1.5,0.65,0.12,1.31,-7.21,0.07
44,TITAN,Titan Industries Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,12753,3.88,1.1,0.25,2.42,20.21,0.07
45,TORNTPOWER,Torrent Power Ltd.,POWER,4724483080,2706,0.82,0.52,0.08,1.58,4.49,0.14
46,UNIONBANK,Union Bank of India,BANKS,5505490350,5356,1.63,1.37,0.29,3.24,24.02,0.09
47,UNIPHOS,United Phosphorus Ltd.,PESTICIDES AND AGROCHEMICALS,915122164,4124,1.26,0.66,0.11,1.83,3.24,0.07
48,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,18215,5.55,1.04,0.06,7.7,69.78,0.07
49,YESBANK,Yes Bank Ltd.,BANKS,3561108740,11805,3.59,1.47,0.47,1.09,7.45,0.05
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,955116027,10829,3.3,0.54,0.08,2.25,3.12,0.09
,,,,,328443,100,,,,,0.09
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Dec-2011 to 30-Nov-2012,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
