Annexure II-  CNX Nifty Jr. Index : October 2012,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Sep 2012,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Oct 2012
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ABIRLANUVO,Aditya Birla Nuvo Ltd.,DIVERSIFIED,1135254410,4921.46,1.64,1.53,0.43,1.73,1.21,0.1
2,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,4746.57,1.58,2.74,0.36,3.38,7.06,0.09
3,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4006788200,5737.14,1.92,2.07,0.48,2.22,-0.2,0.12
4,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,6090,2.03,0.49,0.03,2.04,6.66,0.1
5,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2660676634,3058.44,1.02,0.75,0.39,0.88,-2.7,0.12
6,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,5332.22,1.78,1.14,0.33,1.47,9.35,0.12
7,BANKINDIA,Bank of India,BANKS,5737803700,5159.37,1.72,1.4,0.46,1.52,-11.15,0.09
8,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,3663.13,1.22,0.93,0.23,1.43,-11.13,0.08
9,BIOCON,Biocon Ltd.,PHARMACEUTICALS,1000000000,1878.77,0.63,1.17,0.22,1.85,-3.38,0.08
10,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,8052.36,2.69,0.1,0.01,0.83,1.92,0.09
11,CANBK,Canara Bank,BANKS,4430000000,5732.87,1.91,1.39,0.26,2.01,-7.08,0.07
12,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,8566.79,2.86,-0.31,0.04,1.13,6.51,0.1
