Annexure II-  CNX Nifty Jr. Index : September 2012,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for September 2012,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost September 2012
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,4433.58,1.46,1.83,0.37,2.88,29.11,0.09
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4006788200,5748.41,1.89,0.97,0.19,1.81,12.09,0.1
3,ABIRLANUVO,Aditya Birla Nuvo Ltd.,FINANCE,1135254410,4862.43,1.6,0.96,0.33,2.44,20.59,0.08
4,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,5709.74,1.88,0.42,0.04,1.45,16.35,0.13
5,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2660676634,3143.22,1.04,1.13,0.32,1.92,16.99,0.13
6,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,4876.23,1.61,0.42,0.11,1.47,3.76,0.15
7,BANKINDIA,Bank of India,BANKS,5737803700,5806.86,1.91,1.63,0.55,2.42,21.9,0.09
8,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,4121.78,1.36,1.08,0.39,2,9.54,0.08
9,BIOCON,Biocon Ltd.,PHARMACEUTICALS,1000000000,1944.58,0.64,0.83,0.24,1.62,4.63,0.08
10,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,7900.74,2.6,0.37,0.13,0.89,2.59,0.1
11,CANBK,Canara Bank,BANKS,4430000000,6169.73,2.03,1.61,0.56,2.95,35.63,0.07
12,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,8043.02,2.65,0.2,0.03,1.03,-0.02,0.08
13,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1299827940,4585.98,1.51,0.36,0.07,0.96,2.06,0.18
14,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1282983072,4716.65,1.55,1.49,0.37,2.64,16.87,0.1
15,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,6862.68,2.26,0.74,0.2,2.11,9.84,0.11
16,DABUR,Dabur India Ltd.,PERSONAL CARE,1742921211,6989.89,2.3,0.33,0.08,1.27,4.45,0.07
17,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,265468580,6875.83,2.27,0.41,0.11,1.5,-5.03,0.1
18,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,7037.16,2.32,0.66,0.15,1.79,14.49,0.1
19,FEDERALBNK,Federal Bank Ltd.,BANKS,1712115340,7652.3,2.52,1.15,0.5,1.87,9.96,0.09
20,GMRINFRA,GMR Infrastructure Ltd.,CONSTRUCTION,3892434782,2757.74,0.91,1.99,0.42,4.08,36.26,0.14
21,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,7174.81,2.36,0.13,0.01,1.52,1.53,0.12
22,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,8277.92,2.73,0.19,0.04,1.59,-5.66,0.11
23,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,270692303,5896.06,1.94,0.25,0.02,1.69,-4.54,0.08
24,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,340326031,7085.2,2.33,0.16,0.01,1.1,-3.37,0.12
25,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,5097.3,1.68,0.53,0.09,1.91,3.37,0.08
26,IDBI,IDBI Bank Ltd.,BANKS,12783681060,3435.38,1.13,1.57,0.62,1.72,19.18,0.08
27,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,33104691560,6816.19,2.25,0.72,0.15,1.32,14.27,0.08
28,INDHOTEL,Indian Hotels Co. Ltd.,HOTELS,807472787,3394.66,1.12,1.08,0.38,1.59,14.07,0.1
29,INDUSINDBK,IndusInd Bank Ltd.,BANKS,4694003330,12415.38,4.09,1.29,0.52,1.43,12.24,0.1
30,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2231172000,7929.54,2.61,1.96,0.55,1.98,9.12,0.07
31,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,8488.4,2.8,1.09,0.41,1.97,17.37,0.08
32,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2101042170,2953.51,0.97,0.66,0.14,1.59,4.63,0.12
33,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,419970645,4965.03,1.64,0.62,0.13,1.17,1.14,0.09
34,PETRONET,Petronet LNG Ltd.,GAS,7500000440,4738.5,1.56,0.53,0.11,1.48,3.78,0.08
35,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13200068830,6554.48,2.16,1.79,0.48,3.34,17.87,0.08
36,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,4860.31,1.6,1.93,0.52,2.78,34.91,0.06
37,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,4298.3,1.42,1.78,0.51,3.05,34.44,0.11
38,RPOWER,Reliance Power Ltd.,POWER,28051264660,5393.44,1.78,1.59,0.42,2.19,28.87,0.09
39,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,7155.37,2.36,1.91,0.55,3.08,15.66,0.09
40,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2263540680,7547.49,2.49,0.96,0.26,1.26,-2.41,0.09
41,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41305252890,5005.97,1.65,1.36,0.4,2.69,9.27,0.08
42,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,5635.1,1.86,0.65,0.28,1.03,5.23,0.08
