Annexure II- S&P CNX Nifty Index : September 2012,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for September 2012,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost September 2012
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1877452660,13717.94152,0.76,0.8,0.35,1.35,12.35,0.06
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3079938872,15326.48298,0.85,0.8,0.24,1.71,9.01,0.06
3,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,17817.97696,0.99,0.35,0.1,1,8.08,0.07
4,AXISBANK,Axis Bank Ltd.,BANKS,4144422760,29520.08077,1.64,1.56,0.59,3.02,14.54,0.06
5,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,24559.89494,1.36,0.65,0.17,1.18,13.16,0.07
6,BANKBARODA,Bank of Baroda,BANKS,4111233830,13424.31205,0.75,1,0.36,2.41,26.26,0.06
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,18987650480,31758.55113,1.76,0.85,0.23,2.05,7.12,0.06
8,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,19510.24934,1.08,1.34,0.42,3.33,15.8,0.06
9,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,7230842480,9011.338848,0.5,0.48,0.07,1.38,4.14,0.06
10,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,19087293440,14451.90158,0.8,0.86,0.22,1.97,-2.65,0.05
11,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605842714,19287.60651,1.07,0.36,0.09,1.7,0.97,0.05
12,COALINDIA,Coal India Ltd.,MINING,63163644000,22672.59001,1.26,0.65,0.17,1.54,2.13,0.06
13,DLF,DLF Ltd.,CONSTRUCTION,3397134518,8482.247214,0.47,1.67,0.51,2.63,19.58,0.06
14,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,849039565,20799.38143,1.15,0.32,0.06,1.5,-1.9,0.05
15,GAIL,GAIL (India) Ltd.,GAS,12684774000,17192.48197,0.95,0.62,0.2,1.56,7.8,0.07
16,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,917406560,21046.68594,1.17,0.7,0.31,1.26,10.85,0.07
