Annexure II-  CNX Nifty Jr. Index : April 2013,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Mar 2013,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Apr 2013
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ABIRLANUVO,Aditya Birla Nuvo Ltd.,DIVERSIFIED,1202131870,5678.7715,1.68,1.19,0.35,1.62,7.47,0.11
2,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,5308.8194,1.57,2.03,0.39,2.08,7.86,0.1
3,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4006788200,6537.4095,1.93,1.37,0.27,2.21,4.54,0.1
4,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,6360.1755,1.88,0.38,0.03,0.78,-0.56,0.1
5,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2660676634,2973.6666,0.88,1.17,0.3,0.92,4.35,0.12
6,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795759305,4428.5004,1.31,0.77,0.11,1.17,-3.84,0.1
7,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,5458.9527,1.61,0.43,0.08,1.08,-2.49,0.17
8,BANKINDIA,Bank of India,BANKS,5959023270,6356.3061,1.88,1.72,0.5,2.32,8.3,0.09
9,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,3114.0993,0.92,0.98,0.23,1.92,11.47,0.11
10,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,8052.2699,2.38,0.22,0.04,0.88,-0.95,0.11
11,CANBK,Canara Bank,BANKS,4430000000,5930.9232,1.75,1.69,0.43,2.89,7.99,0.08
12,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,9805.2249,2.9,0.27,0.03,1.49,18.51,0.09
13,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1299827940,5396.1703,1.6,0.33,0.04,1.8,9.13,0.17
14,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1282983072,3448.651,1.02,1.48,0.33,2.13,-1.71,0.08
15,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,6942.8199,2.05,0.62,0.11,1.58,2.43,0.14
16,DABUR,Dabur India Ltd.,PERSONAL CARE,1742935011,8072.7731,2.39,0.56,0.13,1.33,7.92,0.08
17,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,265468580,6826.6049,2.02,0.67,0.14,1.61,8.85,0.1
18,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,6091.5278,1.8,0.63,0.09,2.29,2.51,0.09
19,FEDERALBNK,Federal Bank Ltd.,BANKS,1712115340,7814.9505,2.31,0.8,0.22,2.42,-5.03,0.09
20,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,9453.1389,2.79,0.12,0.01,0.99,2.59,0.1
21,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,270853653,6817.8261,2.02,0.41,0.03,2.07,5.23,0.09
22,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,340326031,8874.91,2.62,0.19,0.01,2.54,6.13,0.11
23,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,9615.3311,2.84,0.23,0.01,2.38,-4.22,0.12
24,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,5082.3991,1.5,0.54,0.06,1.73,7.64,0.08
25,IDBI,IDBI Bank Ltd.,BANKS,12783771110,3030.3038,0.9,1.6,0.6,1.38,9.97,0.08
26,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,33135050650,10639.3023,3.14,0.73,0.11,2.47,16.55,0.07
27,INDHOTEL,Indian Hotels Co. Ltd.,HOTELS,807472787,2870.0727,0.85,1.17,0.33,1.66,6.26,0.14
28,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2231172000,7178.9812,2.12,1.76,0.46,2.58,4.52,0.08
29,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,7339.243,2.17,1.26,0.36,2.27,8.34,0.08
