Annexure II- CNX Nifty Jr. Index : August 2013,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for August 2013,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost August 2013
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ABIRLANUVO,Aditya Birla Nuvo Ltd.,DIVERSIFIED,1202401950,6156,2.02,1.2,0.35,4.01,-2.51,0.12
2,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,3891,1.28,1.61,0.29,3.95,-19.14,0.17
3,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4140103240,6518,2.14,0.8,0.09,4.82,0.56,0.14
4,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,6592,2.17,0.63,0.07,3.57,-7.85,0.11
5,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2660676634,1565,0.51,0.89,0.16,3.1,-11.44,0.21
6,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795759305,3522,1.16,0.65,0.12,2.06,0.08,0.2
7,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,4939,1.62,0.31,0.04,2.46,-1.63,0.26
8,BANKINDIA,Bank of India,BANKS,5959023270,3044,1,1.73,0.43,4.18,-22.96,0.14
9,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,3250,1.07,0.96,0.18,4.66,18.23,0.13
10,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,7467,2.45,0.21,0.04,1.29,-8.36,0.16
11,CANBK,Canara Bank,BANKS,4430000000,2900,0.95,1.75,0.38,3.82,-25.96,0.11
12,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,8018,2.63,0.42,0.07,1.75,-12.54,0.11
13,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1299827940,4999,1.64,0.38,0.06,1.99,4.88,0.33
14,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1282983072,3033,1,1.11,0.18,2.47,-3.68,0.12
15,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,5343,1.76,0.49,0.1,2.06,-8.08,0.15
16,DABUR,Dabur India Ltd.,PERSONAL CARE,1743631861,8920,2.93,0.5,0.1,2.68,1.05,0.11
17,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,265468580,6315,2.07,0.49,0.09,2.01,6.14,0.11
18,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,5750,1.89,0.65,0.11,2.59,1.75,0.13
19,FEDERALBNK,Federal Bank Ltd.,BANKS,1712231650,4386,1.44,1.04,0.26,3.53,-26.74,0.17
20,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,9823,3.23,-0.03,0,1.74,-0.73,0.22
21,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,270939453,7213,2.37,0.26,0.02,2.33,-10.69,0.1
22,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,340354891,10112,3.32,0.57,0.08,2.34,1.55,0.15
23,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,4710,1.55,0.49,0.03,2.31,-12.97,0.13
24,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,2777,0.91,1.02,0.21,3.33,-20.74,0.16
25,IDBI,IDBI Bank Ltd.,BANKS,13327225110,2067,0.68,1.37,0.47,2.87,-15.75,0.12
26,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,33161662720,12870,4.23,0.6,0.07,2.84,-5.36,0.11
27,INDHOTEL,Indian Hotels Co. Ltd.,HOTELS,807472787,2270,0.75,0.99,0.24,3.25,1.69,0.18
28,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2417220440,6435,2.11,1.28,0.27,4.33,-4.32,0.12
29,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,4997,1.64,1.56,0.44,3.59,0.12,0.1
30,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,19148,6.29,0.77,0.04,3.44,-7.71,0.1
31,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2101270990,3090,1.01,0.5,0.05,2.04,4.98,0.14
32,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,420392780,6237,2.05,0.28,0.03,1.19,0.26,0.11
33,PETRONET,Petronet LNG Ltd.,GAS,7500000440,3642,1.2,0.72,0.19,2.71,4.88,0.12
34,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13200368310,3785,1.24,1.61,0.32,4.7,0.93,0.12
35,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,8172,2.68,1.95,0.26,4.45,-11.75,0.12
36,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,5536,1.82,1.53,0.33,3.66,6.53,0.12
37,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,3518,1.16,1.92,0.5,3.52,-8.99,0.1
38,RPOWER,Reliance Power Ltd.,POWER,28051264660,4751,1.56,1.66,0.42,3.62,-7.26,0.12
39,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41305252890,3821,1.26,1.25,0.31,4.01,10.91,0.15
40,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,712239770,3852,1.27,0.86,0.17,2.7,-15.46,0.15
41,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2268639360,8729,2.87,0.77,0.13,3.55,-18.02,0.14
42,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,4349,1.43,0.62,0.19,1.98,-4.12,0.11
43,TATAGLOBAL,Tata Global Beverages Ltd.,TEA AND COFFEE,618398570,5570,1.83,0.75,0.12,2.74,-12.96,0.1
44,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,2323136550,20289,6.67,0.44,0.06,2.49,10.33,0.08
45,TITAN,Titan Industries Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,9363,3.08,1.1,0.17,4.37,-14.71,0.13
46,UBL,United Breweries Ltd.,BREW/DISTILLERIES,264405149,4763,1.56,0.7,0.04,4.23,3.67,0.17
47,UNIONBANK,Union Bank of India,BANKS,5967942090,2559,0.84,1.85,0.36,4.17,-23.52,0.14
48,UNIPHOS,United Phosphorus Ltd.,PESTICIDES AND AGROCHEMICALS,885208548,4200,1.38,0.86,0.14,3.35,4.75,0.14
49,YESBANK,Yes Bank Ltd.,BANKS,3597209350,6509,2.14,1.67,0.37,5.62,-24.89,0.12
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,959834520,12640,4.15,0.63,0.08,2.9,-6.31,0.11
,,,,Total,304406,100,,,,,0.13
,,,,,,,,,,,
* Beta & R2 are calculated for the period 31-Aug-2012 to 30-Aug-2013,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Aug-2013 to 30-Aug-2013,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 30-Aug-2013,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is the weightage average impact cost,,,,,,,,,,,
