Annexure II-  CNX Nifty Index : August  2013,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for August 2013,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost August 2013
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1877452660,8997,0.52,0.84,0.29,2.46,-17.85,0.09
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3089310522,13108,0.75,0.88,0.19,2.44,2.45,0.1
3,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,19064,1.09,0.75,0.22,2.99,-17.07,0.1
4,AXISBANK,Axis Bank Ltd.,BANKS,4689608080,25810,1.48,1.45,0.43,3.7,-19.49,0.09
5,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,24653,1.41,0.79,0.23,2.42,-5.05,0.09
6,BANKBARODA,Bank of Baroda,BANKS,4212563030,8656,0.5,1.51,0.41,3.57,-17.95,0.1
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,19987000510,35594,2.04,1.03,0.2,2.89,-13.18,0.09
8,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,9402,0.54,1.54,0.29,6.36,-24.83,0.11
9,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,7230842480,7055,0.4,1.2,0.28,4.14,-15.68,0.11
10,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,19104418890,18968,1.09,0.68,0.18,2.62,8.66,0.07
11,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605842714,21158,1.21,0.59,0.14,2.08,4.16,0.08
12,COALINDIA,Coal India Ltd.,MINING,63163644000,15879,0.91,0.66,0.18,2.65,-10.71,0.08
13,DLF,DLF Ltd.,CONSTRUCTION,3560941084,5778,0.33,1.75,0.35,4.92,-13.35,0.11
14,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,850342595,29040,1.67,0.52,0.13,2,0.51,0.07
15,GAIL,GAIL (India) Ltd.,GAS,12684774000,13271,0.76,0.84,0.24,2.34,-1.91,0.1
16,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,917968060,14366,0.82,0.74,0.31,1.81,-14.61,0.1
17,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,1393739714,27609,1.58,0.44,0.07,2.26,10.98,0.07
18,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,3108262850,111688,6.41,1.24,0.43,3.55,-10.22,0.09
19,HDFCBANK,HDFC Bank Ltd.,BANKS,4778716280,109652,6.29,1.13,0.52,2.91,-2.58,0.09
20,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,19529,1.12,0.56,0.13,1.93,12.48,0.07
21,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,1914583068,13512,0.78,1.51,0.37,4.15,16.59,0.09
22,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2162472310,44672,2.56,0.54,0.07,1.93,3.09,0.11
23,ICICIBANK,ICICI Bank Ltd.,BANKS,11539563280,92749,5.32,1.38,0.57,2.43,-11.58,0.07
24,IDFC,IDFC Ltd.,FINANCIAL INSTITUTION,15153283410,9957,0.57,1.77,0.44,4.74,-26.48,0.1
25,INDUSINDBK,IndusInd Bank Ltd.,BANKS,5237973950,15131,0.87,1.41,0.39,3.63,-7.92,0.12
26,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,2871180830,149749,8.59,0.52,0.05,1.28,4.59,0.05
27,ITC,I T C Ltd.,CIGARETTES,7907940880,169569,9.73,0.79,0.27,2.08,-9.66,0.09
28,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,934833818,8477,0.49,1.43,0.24,4.61,11.04,0.12
29,JPASSOCIAT,Jaiprakash Associates Ltd.,CONSTRUCTION,4438167118,4031,0.23,2.29,0.45,5.95,-8.44,0.14
30,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,3837400920,24991,1.43,1.14,0.45,2.48,1.11,0.12
31,LT,Larsen & Toubro Ltd.,ENGINEERING,1849405842,58910,3.38,1.42,0.54,2.26,-14.47,0.07
32,LUPIN,Lupin Ltd.,PHARMACEUTICALS,895620124,18964,1.09,0.53,0.11,2.64,-8.6,0.07
33,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,3079461920,36009,2.07,0.96,0.31,2.04,-14.06,0.08
34,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1510400300,16451,0.94,0.78,0.2,1.8,-6.24,0.08
35,NMDC,NMDC Ltd.,MINING,3964716000,9434,0.54,1.15,0.33,3.53,21.55,0.11
36,NTPC,NTPC Ltd.,POWER,82454644000,26983,1.55,0.77,0.24,2.54,0.15,0.09
37,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,42777450600,44085,2.53,1.17,0.33,3.42,-14.29,0.11
38,PNB,Punjab National Bank,BANKS,3534733960,6401,0.37,1.44,0.41,2.69,-24.6,0.11
39,POWERGRID,Power Grid Corporation of India Ltd.,POWER,46297253530,13824,0.79,0.62,0.15,2.93,-3.41,0.08
40,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2115647545,6297,0.36,1.16,0.13,8.71,42.36,0.12
41,RELIANCE,Reliance Industries Ltd.,REFINERIES,32295520000,140212,8.05,1.17,0.48,2.42,-2.09,0.09
42,RELINFRA,Reliance Infrastructure Ltd.,POWER,2629900000,4633,0.27,2.04,0.5,4.2,0.23,0.11
43,SBIN,State Bank of India,BANKS,6840339710,39157,2.25,1.14,0.4,1.99,-11.09,0.06
44,SESAGOA,Sesa Goa Ltd.,MINING,869101423,7361,0.42,1.56,0.3,6.52,47.63,0.13
45,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2071163910,39205,2.25,0.61,0.13,2.94,-7.8,0.11
46,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5473411434,53765,3.08,1.09,0.24,3.22,3.01,0.09
47,TATAPOWER,Tata Power Co. Ltd.,POWER,2373072360,12155,0.7,1.07,0.27,4.53,-13.86,0.12
48,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,9712152290,18268,1.05,1.36,0.38,4.31,27.03,0.08
49,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1957220996,103627,5.95,0.44,0.09,2.03,11.99,0.06
50,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2741914930,14978,0.86,0.72,0.19,2.18,-19.7,0.09
,,,,,1742833,100,,,,,0.08
,,,,,,,,,,,
* Beta & R2 are calculated for the period 31-Aug-2012 to 30-Aug-2013,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Aug-2013 to 30-Aug-2013,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 30-Aug-2013,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty is the weightage average impact cost,,,,,,,,,,,
