Annexure II- CNX Nifty Jr. Index : December 2013,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Dec. 2013,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Dec. 2013
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,7217.5037,1.883906202,1.483876602,0.290682461,2.319776039,-0.24700741,0.09
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4140103240,8042.1505,2.099154754,0.800286945,0.115146023,2.162909691,-1.614434948,0.09
3,ABIRLANUVO,Aditya Birla Nuvo Ltd.,DIVERSIFIED,1300801590,6736.7408,1.758417911,1.120761302,0.402664829,1.499446805,-0.472529233,0.1
4,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,7215.6198,1.883414468,0.543724972,0.075446361,1.715417286,13.46361348,0.07
5,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795759305,4433.2875,1.157172641,0.57186286,0.145536759,1.619780436,1.406335336,0.13
6,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,5450.3608,1.422648182,0.2455543,0.036783324,0.983642673,3.261438288,0.19
7,BANKINDIA,Bank of India,BANKS,6422630130,5089.6415,1.328493561,1.897954834,0.400558633,2.335154874,9.578632282,0.07
8,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,4067.0483,1.061577221,0.849991858,0.183564211,1.843975643,10.01006036,0.08
9,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,9111.1492,2.378183816,0.184455508,0.029826832,2.245000269,15.78708283,0.12
10,CANBK,Canara Bank,BANKS,4430000000,4036.1738,1.053518387,1.783120602,0.430155762,2.984464335,13.62721417,0.07
11,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,9018.2481,2.353934856,0.479989293,0.116159821,1.15420843,7.153602534,0.08
12,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1949741910,5253.7806,1.371336998,0.362327578,0.072314109,1.281192443,0.343666231,0.2
13,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1259400382,4662.1432,1.216908346,1.241104164,0.280976312,2.148678961,3.042433947,0.09
14,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,6508.1721,1.698757118,0.411943845,0.092341123,2.104457481,11.12012987,0.1
15,DABUR,Dabur India Ltd.,PERSONAL CARE,1743813073,9319.4102,2.432543911,0.49733936,0.111827926,1.050749745,2.837307576,0.06
16,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,265468580,7759.506,2.025379146,0.474537842,0.102770524,1.539494611,5.9923631,0.07
17,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,5650.8446,1.47497828,0.686119771,0.168243037,1.567823266,6.996957844,0.07
18,FEDERALBNK,Federal Bank Ltd.,BANKS,1712263900,7195.789,1.878238251,1.309059541,0.337930572,2.149820378,6.594800254,0.09
19,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,5143.7222,1.342609655,0.677686365,0.083489015,1.156220948,-0.211238329,0.08
20,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,12528.5533,3.270191502,0.054961823,0.001015302,4.130067622,20.13863846,0.07
21,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,271015553,7478.4355,1.952014382,0.400290626,0.054726158,1.085283358,3.48938645,0.07
22,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,340378310,10712.3847,2.796136839,0.528942241,0.089796751,1.64603483,-3.100818978,0.1
