Annexure II-  CNX Nifty Index : December  2013,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for December 2013,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost December 2013
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,"1,881,915,760.00","10,371.02",0.501554093,0.874914462,0.347619203,1.502064012,1.107970089,0.06
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,"3,090,587,622.00","13,968.93",0.675552701,0.912834696,0.255442059,1.810160002,-1.456703534,0.07
3,ASIANPAINT,Asian Paints Ltd.,PAINTS,"959,197,790.00","22,189.83",1.073124251,0.848553226,0.285611819,0.843293257,-2.710215427,0.06
4,AXISBANK,Axis Bank Ltd.,BANKS,"4,692,199,520.00","40,281.72",1.948068189,1.662324785,0.504413323,1.766702663,12.42268264,0.05
5,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,"2,893,670,200.00","25,643.61",1.240153199,0.805379351,0.303264623,1.568965351,-3.221150194,0.06
6,BANKBARODA,Bank of Baroda,BANKS,"4,212,563,030.00","12,126.25",0.586438605,1.516243227,0.393487021,1.678635187,0.147378219,0.06
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,"19,987,000,510.00","39,300.61",1.900620464,1.140670548,0.310131953,1.456985913,0.993883792,0.05
8,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,"4,895,200,000.00","13,975.96",0.67589268,1.391363516,0.282902342,2.399137768,13.1435881,0.06
9,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,"7,230,842,480.00","8,990.66",0.434798386,1.217748553,0.306668278,1.429007448,2.323529412,0.06
10,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,"19,106,879,650.00","19,156.59",0.926433891,0.470814098,0.111461351,1.213302926,-0.015441631,0.04
11,CIPLA,Cipla Ltd.,PHARMACEUTICALS,"1,605,842,714.00","20,338.00",0.983567798,0.493864333,0.14482257,1.158639614,2.440894569,0.05
12,COALINDIA,Coal India Ltd.,MINING,"63,163,644,000.00","18,317.46",0.885852257,0.59013483,0.140735648,1.603914361,6.637249494,0.05
13,DLF,DLF Ltd.,CONSTRUCTION,"3,561,976,864.00","7,435.75",0.359600918,1.780183057,0.385573195,2.517729404,9.59894806,0.06
14,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,"850,498,675.00","32,108.81",1.552817023,0.514940993,0.162115469,0.960571619,2.004185448,0.06
15,GAIL,GAIL (India) Ltd.,GAS,"12,684,774,000.00","15,375.54",0.743577771,0.663868799,0.190862023,1.343511607,1.13753878,0.07
16,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,"918,073,130.00","17,258.37",0.834633639,0.829840232,0.378388332,1.340196324,2.077575347,0.06
17,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,"1,397,430,450.00","33,663.60",1.628008598,0.396631711,0.059728649,1.356204498,16.25690608,0.05
18,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,"3,117,513,870.00","123,866.62",5.990325304,1.300372349,0.528435171,1.649225149,-3.538480214,0.06
19,HDFCBANK,HDFC Bank Ltd.,BANKS,"4,786,714,050.00","123,159.80",5.956142914,1.259330277,0.592210632,1.656270999,0.688038712,0.06
20,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,"399,375,000.00","24,898.42",1.204114901,0.717117895,0.220278806,1.772084889,1.088677269,0.06
21,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,"2,064,583,068.00","15,769.35",0.762622804,1.2276968,0.306994182,1.581475553,-0.081499593,0.06
22,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,"2,162,616,295.00","40,378.67",1.952756491,0.656627149,0.136541824,0.921241626,-4.052122741,0.05
