Annexure II-  CNX Nifty Jr. Index : February 2013,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Feb 2013,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Feb 2013
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,5249.1834,1.61,1.91,0.36,2.76,-13.76,0.1
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4006788200,6251.1161,1.92,1.04,0.18,2.17,-7.9,0.11
3,ABIRLANUVO,Aditya Birla Nuvo Ltd.,DIVERSIFIED,1135318420,5440.2177,1.67,1.15,0.35,1.79,-11.56,0.09
4,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,6304.5182,1.94,0.39,0.04,1.34,2.28,0.08
5,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2660676634,2901.9334,0.89,1.12,0.28,1.72,-9,0.11
6,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,5860.9329,1.8,0.36,0.06,0.85,-1.48,0.16
7,BANKINDIA,Bank of India,BANKS,5737803700,5933.7424,1.82,1.7,0.54,2.06,-9.92,0.08
8,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,2886.1232,0.89,0.86,0.21,1.95,-6.88,0.09
9,BIOCON,Biocon Ltd.,PHARMACEUTICALS,1000000000,1940.9927,0.6,0.92,0.23,1.6,-2.24,0.07
10,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,7929.0612,2.44,0.39,0.1,0.58,-5.38,0.08
11,CANBK,Canara Bank,BANKS,4430000000,5943.0782,1.83,1.64,0.47,2.06,-13.61,0.07
12,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,8477.493,2.6,0.34,0.05,1.01,-5.77,0.08
13,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1299827940,4980.6373,1.53,0.3,0.04,1.34,11.05,0.15
14,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1282983072,3394.4152,1.04,1.52,0.34,1.85,-15.15,0.09
15,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,6478.29,1.99,0.63,0.13,1.47,-2.62,0.1
16,DABUR,Dabur India Ltd.,PERSONAL CARE,1742935011,6903.9142,2.12,0.46,0.11,0.93,-4.75,0.07
17,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,265468580,6414.7285,1.97,0.57,0.12,1.35,-3.83,0.09
18,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,5742.6536,1.76,0.53,0.07,1.7,1.87,0.08
19,FEDERALBNK,Federal Bank Ltd.,BANKS,1712115340,8445.0089,2.59,0.87,0.31,0.83,-2.43,0.07
20,GMRINFRA,GMR Infrastructure Ltd.,CONSTRUCTION,3892434782,1948.4631,0.6,2.16,0.39,2.79,-6.37,0.15
21,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,9474.3018,2.91,0.19,0.01,1.17,5.1,0.13
22,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,8820.715,2.71,0.13,0.01,0.67,3.03,0.14
23,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,270796953,7020.0092,2.16,0.36,0.03,1.35,-0.17,0.06
24,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,340326031,7792.0141,2.39,0.1,0,1.9,1.83,0.1
25,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,4796.8246,1.47,0.61,0.08,2.07,-11.84,0.09
26,IDBI,IDBI Bank Ltd.,BANKS,12783696610,3019.9849,0.93,1.66,0.61,1.83,-18.26,0.08
27,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,33128254780,9423.1664,2.9,0.63,0.09,1.62,4.12,0.07
28,INDHOTEL,Indian Hotels Co. Ltd.,HOTELS,807472787,2723.7948,0.84,1.27,0.41,1.86,-12.62,0.1
29,INDUSINDBK,IndusInd Bank Ltd.,BANKS,5221628900,17186.3942,5.28,1.15,0.45,1.23,-5.46,0.09
30,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2231172000,7551.8489,2.32,1.82,0.53,1.86,-16.23,0.07
31,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,7000.3697,2.15,1.19,0.39,2.32,-17.44,0.07
32,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2101118370,2780.194,0.85,0.55,0.08,2.06,1.56,0.11
33,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,420130870,4652.2311,1.43,0.71,0.17,1.72,-11.95,0.09
34,PETRONET,Petronet LNG Ltd.,GAS,7500000440,4218.0002,1.3,0.51,0.07,1.86,-7.35,0.07
35,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13200125140,6989.3232,2.15,1.8,0.45,2.11,-4.57,0.07
36,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,4063.3086,1.25,2.19,0.57,2.66,-24.08,0.06
37,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,4049.5587,1.24,2.26,0.52,3.58,-26.18,0.09
38,RPOWER,Reliance Power Ltd.,POWER,28051264660,5042.2148,1.55,1.93,0.49,2.24,-22.06,0.09
39,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,7481.5869,2.3,1.97,0.52,2.2,-5.49,0.09
40,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2268549360,11711.4225,3.6,0.94,0.25,2.05,-11.92,0.09
41,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41305252890,4153.581,1.28,1.37,0.4,1.93,-18.13,0.08
42,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,5747.5083,1.77,0.65,0.2,1.47,-8.55,0.09
43,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,1278973130,7055.4271,2.17,0.46,0.05,1.57,5.22,0.06
44,TITAN,Titan Industries Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,10873.7462,3.34,0.99,0.21,1.75,-6.6,0.09
45,TORNTPOWER,Torrent Power Ltd.,POWER,4724483080,2716.0335,0.83,0.76,0.13,1.44,-2.82,0.15
46,UNIONBANK,Union Bank of India,BANKS,5505490350,4777.0008,1.47,1.75,0.43,2.21,-16.8,0.08
47,UNIPHOS,United Phosphorus Ltd.,PESTICIDES AND AGROCHEMICALS,915122164,3769.0811,1.16,0.84,0.14,2.39,-13,0.1
48,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,16810.5562,5.17,1.67,0.15,1.72,1.98,0.05
49,YESBANK,Yes Bank Ltd.,BANKS,3580727390,12540.9385,3.85,1.36,0.43,1.93,-9.6,0.05
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,953957720,11777.4939,3.62,0.78,0.12,1.3,-5.26,0.09
,,,,,325445.1334,100,,,,,0.09
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Mar-2012 to 28-Feb-2013,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Feb-2013 to 28-Feb-2013,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was Feb-feb-2013,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is the weightage average impact cost,,,,,,,,,,,
