Annexure II- CNX Nifty Index : February 2013,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for February 2013,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost February 2013
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1877452660,11875,0.65,0.75,0.2,1.54,-3.82,0.05
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3084368872,14594,0.8,0.94,0.2,2.02,-6.06,0.06
3,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,19346,1.07,0.6,0.14,1.1,-5.09,0.06
4,AXISBANK,Axis Bank Ltd.,BANKS,4669935780,42301,2.33,1.58,0.52,1.68,-10.7,0.05
5,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,26495,1.46,0.68,0.17,1.59,-2.67,0.06
6,BANKBARODA,Bank of Baroda,BANKS,4111233830,11705,0.65,1.44,0.41,2.15,-19.83,0.06
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,18987650480,38632,2.13,0.86,0.15,2.15,-4.92,0.07
8,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,15892,0.88,1.56,0.38,1.69,-11.7,0.06
9,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,7230842480,9612,0.53,0.62,0.1,1.8,-9.38,0.07
10,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,19101073890,17611,0.97,0.73,0.14,1.11,-7.84,0.04
11,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605842714,18260,1.01,0.56,0.11,1.79,-11.6,0.06
12,COALINDIA,Coal India Ltd.,MINING,63163644000,19568,1.08,0.54,0.14,1.36,-12.32,0.05
13,DLF,DLF Ltd.,CONSTRUCTION,3397341672,10092,0.56,1.66,0.37,2.52,-0.09,0.06
14,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,849169975,22192,1.22,0.18,0.02,1.25,-8.37,0.04
15,GAIL,GAIL (India) Ltd.,GAS,12684774000,14938,0.82,0.77,0.17,1.16,-2.83,0.06
16,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,917550170,18777,1.03,0.85,0.31,0.96,-1.66,0.06
17,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,1389123640,19028,1.05,0.71,0.17,1.62,5.15,0.05
18,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,3082936170,116789,6.44,0.91,0.35,1.48,-3.67,0.06
19,HDFCBANK,HDFC Bank Ltd.,BANKS,4744537650,114320,6.3,0.95,0.47,1.06,-2.75,0.05
20,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,15912,0.88,0.68,0.17,0.96,-8.49,0.05
21,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,1914583068,12721,0.7,1.53,0.43,1.76,-14.89,0.06
22,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2161961418,45479,2.51,0.39,0.06,1.34,-6.52,0.05
23,ICICIBANK,ICICI Bank Ltd.,BANKS,11531316610,119972,6.61,1.69,0.72,1.54,-12.66,0.06
24,IDFC,IDFC Ltd.,FINANCIAL INSTITUTION,15144256360,18454,1.02,1.79,0.5,2.31,-12.02,0.05
25,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,2871180830,140161,7.73,0.75,0.12,1.03,4.21,0.03
26,ITC,I T C Ltd.,CIGARETTES,7882061180,161191,8.88,0.57,0.13,0.74,-4.18,0.05
27,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,934833818,13365,0.74,1.67,0.38,1.56,-16.97,0.06
28,JPASSOCIAT,Jaiprakash Associates Ltd.,CONSTRUCTION,4309757498,8081,0.45,2.09,0.42,2.69,-20.01,0.06
29,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,3723824960,24801,1.37,1.02,0.33,0.98,-3.05,0.06
30,LT,Larsen & Toubro Ltd.,ENGINEERING,1229847806,73932,4.07,1.55,0.55,1.54,-11.29,0.04
31,LUPIN,Lupin Ltd.,PHARMACEUTICALS,894930852,13912,0.77,0.24,0.02,1.2,-3.2,0.05
32,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,3069903780,40069,2.21,0.77,0.23,1.33,-1.75,0.06
33,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1444550300,17917,0.99,0.77,0.14,1.65,-14.37,0.05
34,NTPC,NTPC Ltd.,POWER,82454644000,19287,1.06,0.69,0.2,1.13,-3.95,0.04
35,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,42777450600,55462,3.06,0.87,0.21,1.95,-7.73,0.07
