Annexure II-  CNX Nifty Jr. Index : January 2013,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Jan 2013,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Jan 2013
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
3,ABIRLANUVO,Aditya Birla Nuvo Ltd.,DIVERSIFIED,1135298990,6150.71,1.8,1.04,0.32,1.23,3.65,0.08
1,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,5511.4,1.61,1.92,0.38,2.36,-7.85,0.09
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4006788200,6787.63,1.99,0.94,0.17,2.6,11.52,0.1
4,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,6164.34,1.81,0.38,0.04,1.39,2.69,0.06
5,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2660676634,3188.87,0.93,1.15,0.3,1.36,-9.28,0.11
6,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,5949,1.74,0.4,0.08,1.44,-0.99,0.13
7,BANKINDIA,Bank of India,BANKS,5737803700,6586.83,1.93,1.78,0.56,2.64,2.92,0.08
8,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,3099.26,0.91,0.92,0.26,1.39,-8.83,0.07
9,BIOCON,Biocon Ltd.,PHARMACEUTICALS,1000000000,1983.49,0.58,0.9,0.24,1.84,-2.51,0.07
10,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,8379.82,2.45,0.41,0.11,1.02,-2.7,0.08
11,CANBK,Canara Bank,BANKS,4430000000,6879.73,2.02,1.63,0.51,1.78,-3.18,0.07
12,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,8996.59,2.64,0.19,0.02,1.39,-13.85,0.07
13,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1299827940,4484.97,1.31,0.25,0.03,0.92,1.6,0.14
14,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1282983072,4000.36,1.17,1.48,0.35,1.93,-7.72,0.08
15,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,6652.83,1.95,0.69,0.16,1.45,-5.7,0.13
16,DABUR,Dabur India Ltd.,PERSONAL CARE,1742921211,7247.84,2.12,0.4,0.09,1.01,2.95,0.06
17,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,265468580,6670.05,1.95,0.49,0.1,1.12,-4.91,0.08
18,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,5637.07,1.65,0.58,0.09,2.38,-14.96,0.07
19,FEDERALBNK,Federal Bank Ltd.,BANKS,1712115340,8655.6,2.54,0.92,0.35,1.16,-6.07,0.07
22,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,8561.02,2.51,0.16,0.02,0.78,-5.5,0.12
23,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,270738053,7029.95,2.06,0.3,0.02,2.27,-4.93,0.07
20,GMRINFRA,GMR Infrastructure Ltd.,CONSTRUCTION,3892434782,2082.67,0.61,2.18,0.43,2.31,-2.58,0.15
24,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,340326031,7581.1,2.22,0.1,0,1.18,-1.41,0.09
21,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,9014.76,2.64,0.18,0.01,0.6,-0.87,0.05
