Annexure II- S&P CNX Nifty Index : January 2013,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for January 2013,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost January 2013
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,"1,877,452,660.00","12,346.66",0.64,0.81,0.22,1.04,-7.62,0.05
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,"3,082,895,372.00","15,504.35",0.81,0.93,0.21,1.59,1.49,0.05
3,ASIANPAINT,Asian Paints Ltd.,PAINTS,"959,197,790.00","20,382.58",1.06,0.52,0.11,0.99,1.55,0.05
4,AXISBANK,Axis Bank Ltd.,BANKS,"4,271,556,330.00","40,576.61",2.12,1.69,0.55,1.37,10.95,0.04
5,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,"2,893,670,200.00","27,204.30",1.42,0.69,0.18,1.4,-4.88,0.05
6,BANKBARODA,Bank of Baroda,BANKS,"4,111,233,830.00","14,601.34",0.76,1.47,0.44,1.92,0.15,0.06
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,"18,987,650,480.00","40,629.89",2.12,0.84,0.15,1.93,7.1,0.06
8,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,"4,895,200,000.00","17,997.31",0.94,1.66,0.41,1.6,-0.2,0.05
9,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,"7,230,842,480.00","10,607.12",0.55,0.49,0.07,2.66,15.18,0.07
10,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,"19,099,176,730.00","19,081.44",1,0.69,0.12,1.27,1.32,0.04
11,CIPLA,Cipla Ltd.,PHARMACEUTICALS,"1,605,842,714.00","20,655.14",1.08,0.48,0.09,1.33,-1.74,0.05
12,COALINDIA,Coal India Ltd.,MINING,"63,163,644,000.00","22,318.87",1.17,0.55,0.14,0.91,-0.41,0.04
13,DLF,DLF Ltd.,CONSTRUCTION,"3,397,239,492.00","10,098.34",0.53,1.8,0.44,2.25,20.38,0.05
14,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,"849,169,975.00","24,220.06",1.26,0.16,0.02,0.95,4.71,0.05
15,GAIL,GAIL (India) Ltd.,GAS,"12,684,774,000.00","15,373.29",0.8,0.82,0.2,1.93,-4.06,0.06
16,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,"917,550,170.00","19,093.28",1,0.82,0.31,1,-5.16,0.06
17,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,"1,389,123,640.00","18,074.38",0.94,0.68,0.16,1.78,11.2,0.05
18,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,"3,081,968,770.00","121,206.13",6.33,0.88,0.36,1.22,-5.1,0.06
19,HDFCBANK,HDFC Bank Ltd.,BANKS,"4,736,130,930.00","117,252.73",6.12,0.96,0.49,1,-5.24,0.06
20,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,"399,375,000.00","17,387.95",0.91,0.76,0.18,1.02,-4.13,0.05
21,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,"1,914,579,068.00","14,946.10",0.78,1.54,0.4,1.78,-10.96,0.06
22,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,"2,161,961,418.00","48,650.11",2.54,0.36,0.06,1.69,-9.7,0.05
23,ICICIBANK,ICICI Bank Ltd.,BANKS,"11,530,458,940.00","137,345.06",7.17,1.66,0.71,1.17,4.65,0.05
24,IDFC,IDFC Ltd.,FINANCIAL INSTITUTION,"15,143,734,970.00","20,971.19",1.09,1.85,0.51,1.73,-0.93,0.05
25,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,"2,871,180,830.00","134,495.88",7.02,0.78,0.14,3.52,20.3,0.04
26,ITC,I T C Ltd.,CIGARETTES,"7,878,278,630.00","167,929.20",8.77,0.46,0.09,1.28,7.27,0.04
27,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,"934,833,818.00","16,096.67",0.84,1.67,0.38,1.82,-6.17,0.06
28,JPASSOCIAT,Jaiprakash Associates Ltd.,CONSTRUCTION,"4,309,757,498.00","9,983.80",0.52,2.22,0.47,2.4,-10.27,0.06
29,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,"3,720,965,525.00","25,459.69",1.33,1.05,0.35,1.06,4.66,0.05
30,LT,Larsen & Toubro Ltd.,ENGINEERING,"1,229,847,806.00","83,319.21",4.35,1.56,0.56,1.23,-4.06,0.05
31,LUPIN,Lupin Ltd.,PHARMACEUTICALS,"894,828,400.00","14,360.07",0.75,0.23,0.02,0.87,-1.56,0.05
