Annexure II- CNX Nifty Jr. Index : July 2013,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for July 2013,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost July 2013
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,4812,1.48,1.8,0.31,2.16,-15.07,0.11
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4140103240,5835,1.8,0.9,0.11,1.96,-16.67,0.09
3,ABIRLANUVO,Aditya Birla Nuvo Ltd.,DIVERSIFIED,1202318670,6312,1.95,1.01,0.27,2.20,9.34,0.1
4,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,7153,2.21,0.73,0.08,1.89,-10.94,0.08
5,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2660676634,1767,0.54,0.88,0.15,2.90,-32.59,0.16
6,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795759305,3519,1.09,0.78,0.12,2.00,-8.23,0.11
7,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,5021,1.55,0.25,0.02,1.16,1.7,0.19
8,BANKINDIA,Bank of India,BANKS,5959023270,3951,1.22,1.63,0.37,3.39,-20.52,0.09
9,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,2749,0.85,0.98,0.22,1.81,-8.07,0.12
10,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,8148,2.51,0.18,0.03,0.99,-0.48,0.11
11,CANBK,Canara Bank,BANKS,4430000000,3917,1.21,1.73,0.34,4.03,-24.04,0.09
12,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,9169,2.83,0.38,0.05,1.92,1.4,0.08
13,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1299827940,4766,1.47,0.39,0.05,1.56,-7.9,0.17
14,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1282983072,3149,0.97,1.24,0.19,2.31,-3.66,0.1
15,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,5813,1.79,0.46,0.07,1.75,-6.1,0.13
16,DABUR,Dabur India Ltd.,PERSONAL CARE,1742935011,8816,2.72,0.4,0.06,1.82,3.86,0.08
17,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,265468580,5949,1.83,0.49,0.07,1.47,-5.49,0.09
18,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,5651,1.74,0.53,0.06,1.92,1.78,0.08
19,FEDERALBNK,Federal Bank Ltd.,BANKS,1712231650,5987,1.85,0.95,0.23,2.41,-14.56,0.09
20,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,5412,1.67,0.4,0.02,2.90,-9.6,0.1
21,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,9895,3.05,-0.12,0.01,2.14,1.45,0.16
22,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,270917653,8075,2.49,0.34,0.02,1.49,5.17,0.09
23,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,340326925,9906,3.05,0.57,0.07,2.30,-2.6,0.13
24,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,3504,1.08,0.9,0.15,3.23,-16.38,0.08
25,IDBI,IDBI Bank Ltd.,BANKS,13327218810,2235,0.69,1.41,0.46,2.51,-8.12,0.09
26,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,33155711360,13580,4.19,0.47,0.04,2.83,19.4,0.07
27,INDHOTEL,Indian Hotels Co. Ltd.,HOTELS,807472787,2232,0.69,0.93,0.2,1.99,-7.81,0.14
