Annexure II-  CNX Nifty Index : July  2013,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for July 2013,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost July 2013
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1877452660,10951,0.6,0.8,0.26,1.39,-4.02,0.07
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3087526572,12777,0.7,0.95,0.19,3,-10.36,0.07
3,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,22988,1.26,0.62,0.16,1.67,9.48,0.1
4,AXISBANK,Axis Bank Ltd.,BANKS,4687524600,32067,1.75,1.45,0.43,2.65,-21.93,0.07
5,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,25964,1.42,0.71,0.17,1.46,0.56,0.06
6,BANKBARODA,Bank of Baroda,BANKS,4212563030,10549,0.58,1.52,0.4,3.12,-2.19,0.07
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,19987000510,41063,2.25,0.93,0.13,2.39,18.08,0.07
8,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,12506,0.68,1.39,0.31,3.07,-9.15,0.07
9,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,7230842480,8367,0.46,1.03,0.22,2.74,-11.77,0.07
10,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,19102863440,17454,0.95,0.68,0.16,1.64,1.78,0.06
11,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605842714,20313,1.11,0.57,0.11,1.06,2.13,0.06
12,COALINDIA,Coal India Ltd.,MINING,63163644000,17784,0.97,0.58,0.14,1.71,-6.94,0.05
13,DLF,DLF Ltd.,CONSTRUCTION,3559481648,5711,0.31,1.95,0.41,2.99,-17.35,0.07
14,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,849961280,28865,1.58,0.46,0.09,1.85,2.81,0.05
15,GAIL,GAIL (India) Ltd.,GAS,12684774000,13529,0.74,0.87,0.22,1.78,-3.86,0.08
16,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,917930940,16822,0.92,0.7,0.27,1.05,-4.1,0.08
17,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,1393294770,24827,1.36,0.45,0.06,1.66,20.82,0.04
18,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,3108262850,124400,6.81,1.17,0.39,1.81,-8.94,0.06
19,HDFCBANK,HDFC Bank Ltd.,BANKS,4776284460,112373,6.15,1.08,0.51,1.81,-8.92,0.07
20,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,17362,0.95,0.57,0.11,1.65,9.4,0.07
21,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,1914583068,11589,0.63,1.54,0.37,2.85,-9.72,0.08
22,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2162472310,43335,2.37,0.47,0.05,2.75,4.68,0.06
23,ICICIBANK,ICICI Bank Ltd.,BANKS,11538249440,104888,5.74,1.48,0.57,1.75,-15.1,0.05
24,IDFC,IDFC Ltd.,FINANCIAL INSTITUTION,15149912770,13540,0.74,1.73,0.42,3.29,-14.55,0.07
25,INDUSINDBK,IndusInd Bank Ltd.,BANKS,5232504550,16402,0.9,1.38,0.36,3.13,-17.11,0.07
26,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,2871180830,143182,7.83,0.6,0.05,2.45,18.84,0.04
27,ITC,I T C Ltd.,CIGARETTES,7901833110,187551,10.26,0.67,0.18,1.88,5.35,0.06
28,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,934833818,7644,0.42,1.54,0.27,2.37,-8.12,0.09
29,JPASSOCIAT,Jaiprakash Associates Ltd.,CONSTRUCTION,4438167118,4433,0.24,2.39,0.48,3.92,-32.56,0.09
30,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,3836256035,25349,1.39,1.12,0.38,2.41,-9.67,0.07
31,LT,Larsen & Toubro Ltd.,ENGINEERING,1848682620,68838,3.77,1.46,0.5,2.36,-9.74,0.07
32,LUPIN,Lupin Ltd.,PHARMACEUTICALS,895485174,20737,1.13,0.43,0.06,1.69,11.48,0.05
33,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,3079461920,41995,2.3,0.96,0.27,1.68,-6.1,0.05
34,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1510400300,17546,0.96,0.77,0.16,1.66,-13.75,0.06
