Annexure II- CNX Nifty Jr. Index : June 2013,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Jun. 2013,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Jun. 2013
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,5665,1.74,1.81,0.29,2.9,-2.67,0.11
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4006788200,6776,2.08,0.89,0.11,2.34,-1.15,0.1
3,ABIRLANUVO,Aditya Birla Nuvo Ltd.,DIVERSIFIED,1202131870,5772,1.77,0.96,0.26,1.6,0.58,0.08
4,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,8032,2.47,0.75,0.09,2.16,4.54,0.08
5,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2660676634,2622,0.81,1.02,0.21,1.89,-15.37,0.14
6,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795759305,3835,1.18,0.77,0.11,1.98,-3.08,0.08
7,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,4937,1.52,0.28,0.03,1.49,-13.09,0.16
8,BANKINDIA,Bank of India,BANKS,5959023270,4971,1.53,1.46,0.34,2.15,-19.24,0.09
9,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,2991,0.92,0.99,0.22,1.81,-5.42,0.1
10,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,8188,2.52,0.29,0.07,0.93,-1.1,0.12
11,CANBK,Canara Bank,BANKS,4430000000,5157,1.58,1.57,0.34,2.3,-12.48,0.09
12,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,9042,2.78,0.31,0.03,1.42,-6.42,0.09
13,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1299827940,5175,1.59,0.33,0.04,1.44,-5.75,0.19
14,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1282983072,3269,1,1.38,0.22,2.54,-6.87,0.09
15,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,6191,1.9,0.45,0.07,1.47,0.53,0.14
16,DABUR,Dabur India Ltd.,PERSONAL CARE,1742935011,8488,2.61,0.37,0.05,1.38,-0.61,0.09
17,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,265468580,6295,1.93,0.5,0.08,1.56,1.38,0.08
18,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,5552,1.71,0.44,0.04,1.81,-12.32,0.09
19,FEDERALBNK,Federal Bank Ltd.,BANKS,1712231650,7007,2.15,0.91,0.24,1.58,-9.13,0.1
20,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,5987,1.84,0.34,0.01,2.54,-11.13,0.09
21,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,9754,3,-0.15,0.01,1.29,-6.55,0.14
22,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,270905853,7678,2.36,0.3,0.02,1.96,-7.08,0.1
23,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,340326925,10170,3.13,0.44,0.04,1.85,-5.35,0.11
24,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,4190,1.29,0.77,0.13,1.85,-10.15,0.08
25,IDBI,IDBI Bank Ltd.,BANKS,13327218810,2433,0.75,1.35,0.44,1.74,-11.16,0.08
26,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,33152779340,11373,3.49,0.56,0.06,1.98,7.97,0.08
27,INDHOTEL,Indian Hotels Co. Ltd.,HOTELS,807472787,2421,0.74,0.97,0.22,1.77,-6.43,0.14
28,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2231172000,6725,2.07,1.21,0.24,2.1,-3.76,0.07
29,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,7674,2.36,1.39,0.38,1.92,-0.45,0.07
30,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2101249970,2731,0.84,0.51,0.05,2,-23.66,0.12
31,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,420341315,5673,1.74,0.36,0.03,1.69,3.09,0.11
32,PETRONET,Petronet LNG Ltd.,GAS,7500000440,3744,1.15,0.69,0.18,1.4,-12.42,0.08
33,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13200150110,5000,1.54,1.54,0.31,2.38,-21.28,0.08
34,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,3795,1.17,2.07,0.5,2.5,3.15,0.07
35,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,7864,2.42,2.14,0.28,3.49,11.42,0.08
36,RPOWER,Reliance Power Ltd.,POWER,28051264660,4533,1.39,1.82,0.44,2.35,-6.17,0.09
37,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,6582,2.02,1.64,0.33,2.43,-9.2,0.09
38,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2268639360,11928,3.67,0.74,0.12,1.8,-13.14,0.11
39,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,710989492,4912,1.51,0.98,0.21,1.83,-7.36,0.09
40,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41305252890,4193,1.29,1.29,0.33,1.92,-9.7,0.09
41,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,4945,1.52,0.6,0.16,1.3,-6.68,0.08
42,TATAGLOBAL,Tata Global Beverages Ltd.,TEA AND COFFEE,618398570,5386,1.66,0.85,0.13,2.02,-7.88,0.09
43,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,1284027270,7157,2.2,0.35,0.03,1.73,9.54,0.07
44,TITAN,Titan Industries Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,9315,2.86,0.94,0.12,2.3,-23.86,0.09
45,UNIONBANK,Union Bank of India,BANKS,5967942090,4684,1.44,1.68,0.31,2.58,-15.31,0.1
46,UBL,United Breweries Ltd.,BREW/DISTILLERIES,264405149,4822,1.48,0.51,0.02,3.49,-5.34,0.11
47,UNIPHOS,United Phosphorus Ltd.,PESTICIDES AND AGROCHEMICALS,885208548,4274,1.31,0.85,0.13,2.01,-12.42,0.08
48,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,20378,6.26,0.41,0.01,3.55,-10.22,0.07
49,YESBANK,Yes Bank Ltd.,BANKS,3592933390,12306,3.78,1.36,0.41,1.82,-5.38,0.08
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,959406420,12825,3.94,0.52,0.04,2.1,4.4,0.12
,,,,Total,325413,100,,,,,0.09
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Jul-2012 to 28-Jun-2013,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Jul-2013 to 28-Jun-2013,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 28-Jun-2013,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Jr. is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Jr. is the weightage average impact cost,,,,,,,,,,,
