Annexure II- CNX Nifty Index : June 2013,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for June 2013,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost June 2013
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1877452660,11409,0.61,0.81,0.27,1.27,0.32,0.06
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3086229372,14247,0.76,0.83,0.17,1.92,2.47,0.07
3,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,20998,1.12,0.65,0.18,1.63,-4.66,0.05
4,AXISBANK,Axis Bank Ltd.,BANKS,4686100260,41063,2.18,1.42,0.45,2.15,-7.36,0.06
5,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,25819,1.37,0.75,0.17,1.95,5.68,0.05
6,BANKBARODA,Bank of Baroda,BANKS,4212563030,10785,0.57,1.37,0.36,2.31,-11.89,0.06
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,18987650480,34844,1.85,0.96,0.15,2.61,-3.38,0.06
8,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,13767,0.73,1.42,0.36,2.37,-13.11,0.07
9,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,7230842480,9483,0.5,0.95,0.2,2.2,-2.63,0.06
10,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,19102766990,17149,0.91,0.71,0.18,1.66,1.56,0.06
11,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605842714,19889,1.06,0.58,0.11,0.9,5.78,0.05
12,COALINDIA,Coal India Ltd.,MINING,63163644000,19110,1.02,0.57,0.14,1.63,-6.82,0.05
13,DLF,DLF Ltd.,CONSTRUCTION,3559481648,6911,0.37,1.88,0.39,2.92,-6.91,0.07
14,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,849182375,28050,1.49,0.31,0.05,1.41,6.06,0.05
15,GAIL,GAIL (India) Ltd.,GAS,12684774000,14073,0.75,0.9,0.23,1.88,2.37,0.07
16,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,917812680,17539,0.93,0.74,0.27,1,-3.3,0.07
17,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,1392990360,20544,1.09,0.52,0.09,1.57,4.18,0.05
18,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,3095414810,136051,7.24,1.13,0.38,1.95,-1.25,0.07
19,HDFCBANK,HDFC Bank Ltd.,BANKS,4762297860,123023,6.55,1.02,0.49,1.85,-4.43,0.08
20,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,15870,0.84,0.55,0.11,1.62,-4.22,0.07
21,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,1914583068,12837,0.68,1.51,0.38,3.35,-2.54,0.08
22,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2162472310,60096,3.2,0.39,0.04,0.37,-1.24,0.02
23,ICICIBANK,ICICI Bank Ltd.,BANKS,11538249440,123546,6.57,1.53,0.62,1.81,-7.25,0.06
24,IDFC,IDFC Ltd.,FINANCIAL INSTITUTION,15148009280,15844,0.84,1.67,0.44,2.08,-11.44,0.06
25,INDUSINDBK,IndusInd Bank Ltd.,BANKS,5230008380,19780,1.05,1.29,0.39,2.48,-9.64,0.07
