Annexure II-  CNX Nifty Jr. Index : March 2013,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Mar 2013,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Mar 2013
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,4921.79,1.54,1.76,0.26,3.07,-6.24,0.12
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4006788200,6253.37,1.96,0.94,0.12,3.03,0.04,0.11
3,ABIRLANUVO,Aditya Birla Nuvo Ltd.,DIVERSIFIED,1135319240,5283.7,1.66,1.2,0.31,1.5,-2.88,0.11
4,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,6396.01,2.01,0.35,0.03,1.75,1.45,0.11
5,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2660676634,2849.76,0.89,1.07,0.21,2.08,-1.8,0.12
6,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,5598.26,1.76,0.41,0.06,0.86,-4.48,0.14
7,BANKINDIA,Bank of India,BANKS,5737803700,5651.05,1.77,1.4,0.3,2.5,-4.76,0.09
8,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,2793.72,0.88,0.93,0.19,2.44,-3.2,0.12
9,BIOCON,Biocon Ltd.,PHARMACEUTICALS,1000000000,1943.12,0.61,0.7,0.12,1.41,0.11,0.07
10,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,8129.87,2.55,0.34,0.07,1.15,2.53,0.1
11,CANBK,Canara Bank,BANKS,4430000000,5491.91,1.72,1.45,0.3,2.75,-7.59,0.08
12,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,8273.92,2.6,0.2,0.01,1.64,-2.4,0.08
13,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1299827940,4944.89,1.55,0.31,0.04,1.11,-0.72,0.19
14,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1282983072,3508.5,1.1,1.35,0.24,2.02,3.36,0.1
15,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,6777.79,2.13,0.55,0.08,1.49,4.62,0.11
16,DABUR,Dabur India Ltd.,PERSONAL CARE,1742935011,7480.15,2.35,0.5,0.09,1.69,8.35,0.08
17,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,265468580,6271.83,1.97,0.56,0.08,1.64,-2.23,0.1
18,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,5942.34,1.86,0.45,0.04,1.46,3.48,0.1
19,FEDERALBNK,Federal Bank Ltd.,BANKS,1712115340,8229.28,2.58,0.78,0.22,1.13,-2.55,0.1
20,GMRINFRA,GMR Infrastructure Ltd.,CONSTRUCTION,3892434782,2384.52,0.75,2.07,0.3,3.07,22.38,0.14
21,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,10038.66,3.15,0.07,0,1.27,5.96,0.14
22,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,9214.75,2.89,0.06,0,0.58,4.47,0.1
23,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,270844153,6478.88,2.03,0.1,0,1.47,-7.72,0.08
24,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,340326031,8362.21,2.62,0.21,0.01,2.37,7.32,0.12
25,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,4721.5,1.48,0.51,0.05,1.71,-1.57,0.08
26,IDBI,IDBI Bank Ltd.,BANKS,12783771110,2755.6,0.86,1.53,0.48,1.66,-8.75,0.08
27,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,33135050650,9128.56,2.86,0.57,0.06,1.63,-3.15,0.07
28,INDHOTEL,Indian Hotels Co. Ltd.,HOTELS,807472787,2701.1,0.85,1.09,0.26,1.89,-0.83,0.13
29,INDUSINDBK,IndusInd Bank Ltd.,BANKS,5223709400,16888.6,5.3,1.08,0.34,1.82,-1.77,0.08
30,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2231172000,6868.43,2.15,1.63,0.35,3.51,-9.05,0.08
31,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1.01E+09,6774.45,2.13,1.39,0.41,2.46,-3.23,0.07
32,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2101247090,2874.69,0.9,0.33,0.03,1.69,3.39,0.12
33,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,420276640,4237.36,1.33,0.67,0.12,1.83,-8.95,0.09
34,PETRONET,Petronet LNG Ltd.,GAS,7500000440,4065,1.28,0.47,0.05,1.62,-3.63,0.09
35,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13200150110,6269.41,1.97,1.57,0.29,3.01,-10.3,0.09
36,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,3522.59,1.1,2.29,0.54,2.8,-13.31,0.08
37,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,3668.15,1.15,2.2,0.38,3.65,-9.42,0.1
38,RPOWER,Reliance Power Ltd.,POWER,28051264660,4312.88,1.35,2.1,0.5,2.6,-14.46,0.09
39,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,6834.08,2.14,1.72,0.34,3.31,-8.65,0.1
40,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2268549360,11691.22,3.67,0.79,0.15,1.84,-0.17,0.12
41,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41305252890,3664.41,1.15,1.35,0.35,1.91,-11.78,0.08
42,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,5648.28,1.77,0.54,0.11,0.98,-1.73,0.08
43,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,1279643380,7115.88,2.23,0.58,0.07,1.66,0.8,0.07
44,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,10686.2,3.35,0.78,0.1,2.68,-1.72,0.08
45,TORNTPOWER,Torrent Power Ltd.,POWER,4724483080,2294.22,0.72,0.51,0.04,1.72,-15.53,0.19
46,UNIPHOS,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,915122164,3821.16,1.2,0.81,0.11,2.05,1.38,0.08
47,UNIONBANK,Union Bank of India,BANKS,5505490350,4907.57,1.54,1.46,0.24,2.57,2.73,0.09
48,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,17350.02,5.44,0.88,0.04,2.32,3.21,0.06
49,YESBANK,Yes Bank Ltd.,BANKS,3580727390,11395.78,3.57,1.28,0.36,1.67,-9.13,0.07
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,953957720,11369.6,3.57,0.59,0.06,2.2,-3.46,0.1
,,,,,318787.03,,,,,,0.09
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-April-2012 to 28-March-2013,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-March-2013 to 28-March-2013,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 28-March-2013,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Junior is the weightage average impact cost,,,,,,,,,,,
