Annexure II- CNX Nifty Index : March 2013,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for April 2013,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost March 2013
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1877452660,10817.21,0.59,0.78,0.18,1.83,-8.91,0.06
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3084368872,13271.88,0.73,0.94,0.17,2.29,-9.06,0.07
3,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,22266.81,1.22,0.65,0.15,1.4,15.1,0.06
4,AXISBANK,Axis Bank Ltd.,BANKS,4673810270,40967.9,2.25,1.52,0.46,1.18,-3.23,0.06
5,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,24165.8,1.33,0.63,0.12,1.93,-8.79,0.07
6,BANKBARODA,Bank of Baroda,BANKS,4111233830,11364.73,0.62,1.49,0.38,2.09,-2.91,0.06
7,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,13983.86,0.77,1.5,0.33,1.56,-12.01,0.06
8,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,7230842480,9760.78,0.54,0.67,0.1,1.83,1.55,0.07
9,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,18987650480,34905.09,1.91,0.77,0.1,2.55,-9.65,0.06
10,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,19101774990,16104.8,0.88,0.7,0.12,1.64,-8.56,0.05
11,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605842714,19269.85,1.06,0.53,0.09,1.38,5.53,0.07
12,COALINDIA,Coal India Ltd.,MINING,63163644000,19523.88,1.07,0.58,0.14,1.67,-0.23,0.05
13,DLF,DLF Ltd.,CONSTRUCTION,3397341672,8539.92,0.47,1.68,0.33,3.26,-15.38,0.06
