Annexure II-  CNX Nifty Jr. Index : May 2013,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Apr 2013,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost May 2013
,,,,(In Rs.),(Rs. Crores),%,,,%,%,%
1,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,5481.16,1.59,2.08,0.39,2.6,-2.93,0.11
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4006788200,6855.26,1.98,1.34,0.25,2.68,4.86,0.09
3,ABIRLANUVO,Aditya Birla Nuvo Ltd.,DIVERSIFIED,1202131870,5739.16,1.66,1.1,0.34,1.06,1.06,0.09
4,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,7682.99,2.22,0.57,0.06,3.68,20.8,0.09
5,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILES - 4 WHEELERS,2660676634,3097.57,0.9,1.11,0.28,1.79,4.17,0.11
6,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795759305,3957.25,1.15,0.74,0.1,1.88,-10.64,0.1
7,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,5680.5,1.64,0.36,0.06,1.12,4.06,0.17
8,BANKINDIA,Bank of India,BANKS,5959023270,6154.84,1.78,1.64,0.48,1.88,-12.27,0.09
9,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,3161.99,0.92,1.11,0.28,2.17,1.54,0.09
10,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,8278.69,2.4,0.2,0.03,0.56,2.81,0.1
11,CANBK,Canara Bank,BANKS,4430000000,5891.6,1.71,1.73,0.43,2.35,-0.66,0.07
12,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,9662.62,2.8,0.3,0.03,1.54,-1.45,0.08
13,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1299827940,5490.94,1.59,0.34,0.05,1.4,1.76,0.2
14,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1282983072,3510.37,1.02,1.54,0.32,3.47,1.79,0.08
15,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,6158.42,1.78,0.58,0.11,1.25,-11.3,0.11
16,DABUR,Dabur India Ltd.,PERSONAL CARE,1742935011,8539.77,2.47,0.54,0.11,1.91,5.78,0.08
17,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,265468580,6208.95,1.8,0.75,0.16,1.98,-9.05,0.08
18,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,6332.53,1.83,0.61,0.09,1.28,3.96,0.08
19,FEDERALBNK,Federal Bank Ltd.,BANKS,1712185560,7710.83,2.23,0.87,0.24,1.54,-1.34,0.08
20,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,6736.51,1.95,0.34,0.02,3.57,44.57,0.11
21,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,10438.23,3.02,0.07,0,2.21,10.42,0.11
22,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,270896453,8262.86,2.39,0.49,0.05,1.67,21.14,0.07
23,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,340326925,10744.45,3.11,0.27,0.02,1.43,4.78,0.13
