Annexure II- CNX Nifty Jr. Index : November 2013,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Nov. 2013,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Nov. 2013
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,7235,1.98,1.47,0.27,3.69,26.73,0.11
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4140103240,8174,2.23,0.83,0.12,2.59,8.56,0.09
3,ABIRLANUVO,Aditya Birla Nuvo Ltd.,DIVERSIFIED,1202601590,6769,1.85,1.11,0.39,1.88,1.69,0.1
4,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,6359,1.74,0.54,0.08,1.33,-8.22,0.08
5,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795759305,4372,1.19,0.55,0.13,1.2,14.78,0.12
6,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,5278,1.44,0.24,0.03,0.95,4.2,0.13
7,BANKINDIA,Bank of India,BANKS,5959023270,4645,1.27,1.88,0.39,3.93,3.45,0.09
8,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,3697,1.01,0.85,0.18,1.7,-0.38,0.07
9,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,7869,2.15,0.15,0.03,0.74,-1.14,0.11
10,CANBK,Canara Bank,BANKS,4430000000,3552,0.97,1.73,0.42,3.17,-3.81,0.08
11,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,8416,2.3,0.49,0.11,0.77,1.93,0.06
12,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1949741910,5236,1.43,0.35,0.07,1.33,-3.9,0.27
13,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1259400382,4524,1.24,1.23,0.27,3.03,18.28,0.11
14,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,5857,1.6,0.38,0.09,1.41,9.16,0.12
15,DABUR,Dabur India Ltd.,PERSONAL CARE,1743813073,9062,2.47,0.52,0.12,1.72,-7.28,0.07
16,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,265468580,7321,2,0.49,0.1,2.32,18.49,0.08
17,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,5281,1.44,0.66,0.15,1.46,-7.81,0.07
18,FEDERALBNK,Federal Bank Ltd.,BANKS,1712263900,6751,1.84,1.28,0.32,2.15,-3.96,0.1
19,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,5155,1.41,0.67,0.08,1.32,-4.61,0.11
20,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,10428,2.85,0.07,0,1.27,2.65,0.12
21,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,271005353,7226,1.97,0.39,0.05,2.05,-8.47,0.08
22,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,340378310,11055,3.02,0.53,0.09,1.84,1.58,0.1
23,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,3559,0.97,1.09,0.25,3,6.75,0.09
24,IDBI,IDBI Bank Ltd.,BANKS,13327232410,2444,0.67,1.29,0.48,2,-4.28,0.09
25,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,33172197990,14145,3.86,0.69,0.12,1.76,1.56,0.06
26,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2417220440,10825,2.96,1.23,0.28,1.44,6.63,0.06
27,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,6267,1.71,1.66,0.51,2.37,-7.35,0.08
28,M&MFIN,Mahindra & Mahindra Financial Services Ltd.,FINANCE,1137529920,8043,2.2,1,0.14,2.13,4.71,0.09
29,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2101270990,2933,0.8,0.38,0.04,1.25,-5.66,0.11
30,OIL,Oil India Ltd.,OIL EXPLORATION/PRODUCTION,6011359550,6583,1.8,0.82,0.2,1.1,1.96,0.08
31,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,420488755,6520,1.78,0.25,0.03,0.8,-3.34,0.11
32,PETRONET,Petronet LNG Ltd.,GAS,7500000440,3971,1.08,0.69,0.21,1.61,6.52,0.1
33,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13200368310,5522,1.51,1.57,0.38,3.15,18.42,0.08
34,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,4244,1.16,1.82,0.55,2.43,1.78,0.08
35,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,9210,2.52,1.79,0.29,2.48,-5.68,0.08
36,RPOWER,Reliance Power Ltd.,POWER,28051264660,5045,1.38,1.38,0.38,1.98,-1.71,0.08
37,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,7437,2.03,1.42,0.38,1.98,16.78,0.09
38,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2268827360,9938,2.71,0.93,0.18,2.76,-3.29,0.1
39,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,712239770,5481,1.5,1.04,0.23,2.96,5.75,0.1
40,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41305252890,5623,1.54,1.05,0.27,1.41,10.29,0.08
41,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,4881,1.33,0.59,0.2,1.12,3.73,0.1
42,TATAGLOBAL,Tata Global Beverages Ltd.,TEA AND COFFEE,618398570,5976,1.63,0.75,0.18,2.09,-9.21,0.08
43,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,2324456250,25071,6.85,0.3,0.03,2.23,9.45,0.05
44,TITAN,Titan Industries Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,9546,2.61,1.07,0.2,1.57,-14.28,0.08
45,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,885208548,5261,1.44,0.76,0.13,1.75,1.58,0.08
46,UNIONBANK,Union Bank of India,BANKS,5967942090,3022,0.83,1.92,0.43,3.39,-2.67,0.08
47,UBL,United Breweries Ltd.,BREW/DISTILLERIES,264405149,5279,1.44,0.89,0.08,3.14,-14.28,0.08
48,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,21028,5.74,0.83,0.14,2.19,1.6,0.06
49,YESBANK,Yes Bank Ltd.,BANKS,3604967590,9889,2.7,2.21,0.45,2.67,-0.04,0.06
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,960213050,14163,3.87,0.76,0.14,2.35,-2.57,0.09
,,,,Total,366168,,,,,,0.09
,,,,,,,,,,,
* Beta & R2 are calculated for the period 30-Nov-2012 to 29-Nov-2013,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Nov-2013 to 29-Nov-2013,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 29-Nov-2013,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Jr. is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Jr. is the weightage average impact cost,,,,,,,,,,,
