Annexure II-  CNX Nifty Index : November  2013,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for November 2013,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost November 2013
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,"1,881,915,760.00","10,257.38",0.508343092,0.839877112,0.320962843,-0.153399108,-3.370489492,0.07
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,"3,090,277,472.00","14,174.00",0.702446256,0.878819745,0.237448517,-0.06640029,-1.5927794,0.07
3,ASIANPAINT,Asian Paints Ltd.,PAINTS,"959,197,790.00","22,807.97",1.13033534,0.873826496,0.291641649,-0.331447802,-6.636388915,0.07
4,AXISBANK,Axis Bank Ltd.,BANKS,"4,691,955,450.00","35,828.74",1.775628708,1.641748007,0.492268499,-0.243217151,-5.459229574,0.07
5,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,"2,893,670,200.00","26,497.13",1.313165366,0.778449785,0.282353329,-0.370601343,-7.298464717,0.08
6,BANKBARODA,Bank of Baroda,BANKS,"4,212,563,030.00","12,108.40",0.600077726,1.514449347,0.383824913,0.057961064,0.264426816,0.08
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,"19,987,000,510.00","38,913.85",1.928523192,1.1707122,0.311600986,-0.567448658,-10.9234541,0.07
8,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,"4,895,200,000.00","12,352.41",0.612170411,1.405576693,0.28720172,0.540628223,10.80793763,0.06
9,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,"7,230,842,480.00","8,786.51",0.435448651,1.243750378,0.309607734,-0.243328466,-5.437352246,0.07
10,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,"19,106,244,030.00","19,158.92",0.949492617,0.476820189,0.111560131,0.12857034,2.403542062,0.04
