Annexure II- CNX Nifty Jr. Index : October 2013,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Oct. 2013,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Oct 2013
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,5709,1.57,1.49,0.29,3.05,47.53,0.11
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4140103240,7530,2.07,0.8,0.11,2.68,5.4,0.1
3,ABIRLANUVO,Aditya Birla Nuvo Ltd.,DIVERSIFIED,1202597390,6654,1.83,1.08,0.36,1.98,-1.16,0.11
4,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,6929,1.91,0.59,0.07,2.4,-2.24,0.1
5,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795759305,3809,1.05,0.52,0.12,1.68,5.39,0.12
6,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,5066,1.39,0.27,0.04,1.52,6.37,0.08
7,BANKINDIA,Bank of India,BANKS,5959023270,4490,1.23,1.82,0.38,3.22,32.89,0.09
8,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,4038,1.11,0.82,0.16,2.23,19.48,0.09
9,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,7959,2.19,0.16,0.03,1.03,-2.8,0.12
10,CANBK,Canara Bank,BANKS,4430000000,3693,1.02,1.73,0.42,2.93,16.62,0.07
11,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,8257,2.27,0.51,0.11,1.66,-0.07,0.07
12,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1949741910,5448,1.5,0.34,0.06,1.51,5.55,0.24
13,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1261840432,3885,1.07,1.16,0.24,2.57,22.72,0.09
14,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,5365,1.48,0.4,0.09,1.42,-3.25,0.1
15,DABUR,Dabur India Ltd.,PERSONAL CARE,1743813073,9771,2.69,0.52,0.12,1.64,5.4,0.09
