Annexure II- CNX Nifty Jr. Index : September 2013,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Sep. 2013,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Sep 2013
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,3870,1.16,1.52,0.31,3.32,-0.53,0.12
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4140103240,7144,2.14,0.85,0.12,2.54,8.76,0.12
3,ABIRLANUVO,Aditya Birla Nuvo Ltd.,DIVERSIFIED,1202597390,6732,2.02,1.13,0.38,2.51,8.55,0.12
4,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,7088,2.12,0.57,0.06,1.72,7,0.09
5,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795759305,3614,1.08,0.61,0.14,1.61,2.54,0.14
6,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,4762,1.43,0.28,0.04,1.43,-3.71,0.13
7,BANKINDIA,Bank of India,BANKS,5959023270,3378,1.01,1.75,0.45,4.48,9.91,0.11
8,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,3380,1.01,0.78,0.15,1.38,3.83,0.1
9,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,8189,2.45,0.19,0.04,1.17,8.81,0.18
10,CANBK,Canara Bank,BANKS,4430000000,3167,0.95,1.68,0.42,3.72,8.42,0.1
11,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,8262,2.48,0.5,0.11,1.96,2.95,0.08
12,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1949741910,5162,1.55,0.31,0.05,1.36,3.15,0.17
13,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1261840432,3166,0.95,1.14,0.22,3.09,5.75,0.1
14,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,5545,1.66,0.43,0.1,1.17,3.64,0.13
15,DABUR,Dabur India Ltd.,PERSONAL CARE,1743813073,9271,2.78,0.51,0.11,1.92,3.78,0.1
16,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,265468580,6163,1.85,0.53,0.13,1.44,-2.46,0.1
17,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,5938,1.78,0.65,0.13,1.85,3.17,0.09
