Annexure II- CNX Nifty Index : September 2013,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for September 2013,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost September 2013
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1877452660,10376,0.555618227,0.805855672,0.546638945,0.735788265,15.33554611,0.1
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3089823072,13947,0.746830662,0.86937617,0.465099068,0.336901914,6.381118881,0.09
3,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,20799,1.113699522,0.86569452,0.540230975,0.474216783,9.098467752,0.09
4,AXISBANK,Axis Bank Ltd.,BANKS,4691372190,31242,1.672897442,1.557922489,0.683598815,1.080149428,20.99765892,0.08
5,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,26672,1.428180885,0.777033141,0.513532315,0.405643858,8.189983669,0.06
6,BANKBARODA,Bank of Baroda,BANKS,4212563030,9271,0.49643465,1.407440092,0.615277604,0.425236538,7.107204861,0.1
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,19987000510,37920,2.030508262,1.159733402,0.528942938,0.368753616,6.536275493,0.09
8,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,10855,0.581265981,1.423763964,0.520832216,0.821748507,15.46218487,0.09
9,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,7230842480,8560,0.458382094,1.240000432,0.560676113,1.025447513,21.33699634,0.09
10,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,19105349420,18859,1.009850543,0.443308932,0.312302327,-0.02153831,-0.576863112,0.05
11,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605842714,21947,1.175170724,0.590673846,0.410728612,0.198623402,3.729463965,0.07
12,COALINDIA,Coal India Ltd.,MINING,63163644000,18599,0.99589401,0.631103987,0.414418333,0.824424402,17.12410501,0.08
13,DLF,DLF Ltd.,CONSTRUCTION,3561637522,5701,0.305283428,1.806373227,0.617445503,0.057112669,-1.348228043,0.09
14,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,850498675,30163,1.615133639,0.528539963,0.399656412,0.201847286,3.848837716,0.08
15,GAIL,GAIL (India) Ltd.,GAS,12684774000,14724,0.788436482,0.682612156,0.432353614,0.53284381,10.94939922,0.09
16,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,918069210,16821,0.900729509,0.835065996,0.601500796,0.83232087,17.07667802,0.1
17,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,1395590938,28888,1.546850648,0.374635064,0.233456459,0.246386572,4.493248114,0.08
18,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,3114150100,118999,6.372052971,1.313061248,0.708182598,0.349898351,6.345230641,0.1
19,HDFCBANK,HDFC Bank Ltd.,BANKS,4780703060,109522,5.864590266,1.21361255,0.757315109,0.035412307,-0.15993266,0.11
20,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,19174,1.026702117,0.643948792,0.416733281,-0.052996693,-1.820180796,0.06
21,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,1914583068,14393,0.770704216,1.300572057,0.567854874,0.353841333,6.520704426,0.08
22,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2162569017,44391,2.376999452,0.684666482,0.366041784,0.000707505,-0.633462665,0.08
23,ICICIBANK,ICICI Bank Ltd.,BANKS,11541329640,101985,5.460979063,1.430068146,0.766038827,0.552247021,9.940902022,0.07
24,IDFC,IDFC Ltd.,FINANCIAL INSTITUTION,15161259910,10896,0.583465679,1.691349159,0.675528156,0.508631706,9.378881988,0.08
25,INDUSINDBK,IndusInd Bank Ltd.,BANKS,5241158620,15650,0.838005403,1.566481707,0.668819143,0.266295622,3.36370007,0.09
26,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,2871180830,145272,7.778872622,0.463154086,0.221283887,-0.139106919,-2.989519777,0.05
27,ITC,I T C Ltd.,CIGARETTES,7916414660,187182,10.02301784,0.927639847,0.624274984,0.524893961,10.26886945,0.08
28,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,934845568,8999,0.481854032,1.210125963,0.478701814,0.323243282,6.15280595,0.09
29,JPASSOCIAT,Jaiprakash Associates Ltd.,CONSTRUCTION,4438167118,4250,0.227571304,2.307790894,0.689515217,0.42006879,5.438066465,0.11
30,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,3840325770,25712,1.376780438,1.225546946,0.692341938,0.201320435,2.804730139,0.1
31,LT,Larsen & Toubro Ltd.,ENGINEERING,1850151146,64155,3.435324703,1.42083692,0.76722123,0.476211032,8.860672141,0.07
32,LUPIN,Lupin Ltd.,PHARMACEUTICALS,895970090,20392,1.09194572,0.461747017,0.307364668,0.379778941,7.491836222,0.06
33,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,3079461920,38041,2.036969892,0.858273966,0.535182448,0.293560662,5.643153527,0.07
34,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1510400300,17972,0.96237142,0.818244951,0.487895647,0.473603821,9.247718226,0.08
35,NMDC,NMDC Ltd.,MINING,3964716000,9521,0.509828272,0.983069076,0.531569286,0.068984185,0.924369748,0.08
36,NTPC,NTPC Ltd.,POWER,82454644000,30395,1.627549818,0.747858746,0.507912157,0.613712109,12.64323911,0.09
37,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,42777450600,47394,2.537798657,1.217356174,0.612583199,0.40697477,7.505518764,0.1
38,PNB,Punjab National Bank,BANKS,3534733960,6871,0.367924555,1.539040564,0.683582048,0.450565391,7.351401652,0.09
39,POWERGRID,Power Grid Corporation of India Ltd.,POWER,46297253530,13881,0.743281611,0.593345145,0.39875633,0.03669867,0.409626216,0.07
40,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2115647545,5100,0.273080152,1.257843382,0.357663611,-0.71164486,-19.01434351,0.08
41,RELIANCE,Reliance Industries Ltd.,REFINERIES,32306443630,135093,7.233834297,1.080537826,0.69341198,-0.16330256,-3.683316742,0.08
42,SBIN,State Bank of India,BANKS,6840339710,41631,2.229207058,1.148847817,0.647251691,0.365520869,6.316863623,0.07
43,SESAGOA,Sesa Goa Ltd.,MINING,2964674487,22341,1.196292078,1.300889742,0.499182297,-0.174725792,-4.238410596,0.09
44,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2071163910,44628,2.389716172,0.616894743,0.382706942,0.665388896,13.83346124,0.09
45,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5473411434,59739,3.198817957,1.067472257,0.512239633,0.5694616,11.11111111,0.08
46,TATAPOWER,Tata Power Co. Ltd.,POWER,2373072360,13005,0.696354905,0.982024532,0.500662395,0.372083656,6.98747528,0.08
47,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,9712152290,18104,0.969426553,1.298482856,0.610880792,0.012836675,-0.894160584,0.08
48,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1957220996,98255,5.261229091,0.424409206,0.315507841,-0.252572083,-5.183946488,0.06
49,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2742104990,18376,0.983952716,0.817732464,0.490967918,1.067667432,22.67688239,0.12
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,4929887674,30858,1.652332264,0.251282808,0.14303476,-0.095519985,-2.181555004,0.07
,,,,,1867522,,,,,,0.08
,,,,,,,,,,,
* Beta & R2 are calculated for the period 30-Sep-2012 to 30-Sep-2013,,,,,,,,,,,
