Annexure II-  CNX Nifty Index : March 2014,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for March 2014,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost March 2014
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1881915760,13091.10913,0.582958905,0.931675587,0.375395118,1.789009184,26.66757173,0.06
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3091720572,15479.45642,0.689314165,0.96159922,0.28649439,1.883334826,20.35714286,0.08
3,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,24814.11208,1.104994807,0.841108484,0.286802094,1.142114776,15.84566596,0.07
4,AXISBANK,Axis Bank Ltd.,BANKS,4693590630,45327.79293,2.018487529,1.721354789,0.522708363,1.931100072,15.26774792,0.05
5,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,27961.91872,1.245169477,0.780786665,0.323868971,1.171845475,7.051660801,0.07
6,BANKBARODA,Bank of Baroda,BANKS,4294150870,13801.04855,0.614573148,1.605421448,0.424377374,2.461594675,30.77202214,0.06
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,19987000510,37813.07648,1.683850423,1.1408821,0.345961763,1.765391072,10.48331015,0.07
8,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,15488.90214,0.689734791,1.391375292,0.273480326,2.409028917,16.87034277,0.07
9,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,7230842480,11888.92009,0.529424342,1.187530973,0.307925912,2.202812732,21.70634921,0.07
10,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,19076943300,19678.58106,0.876304975,0.397681777,0.094717907,0.779040067,2.714373843,0.04
11,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605842714,19424.61397,0.864995592,0.463660323,0.131032665,1.064862154,-0.390320062,0.06
12,COALINDIA,Coal India Ltd.,MINING,63163644000,18238.50221,0.812176964,0.678399086,0.151819737,1.59093257,18.34016393,0.06
13,DLF,DLF Ltd.,CONSTRUCTION,3562860154,7880.682527,0.350933906,1.812328653,0.414648604,3.238314583,25.00885583,0.07
14,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,850544340,32481.7285,1.446440686,0.468762498,0.126821189,1.529696018,-11.4522535,0.05
15,GAIL,GAIL (India) Ltd.,GAS,12684774000,16891.52931,0.752195045,0.686071343,0.218749752,1.896694506,1.429534727,0.08
16,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,918249990,18365.82757,0.817846878,0.852015206,0.374497891,1.455462945,13.66695529,0.08
17,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,1398463866,37197.85851,1.656454212,0.334580564,0.041958319,1.556486682,-11.7324109,0.05
18,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,3119215270,137853.7189,6.138750519,1.290553218,0.546151246,1.057408167,7.88477969,0.06
19,HDFCBANK,HDFC Bank Ltd.,BANKS,4794654890,138789.4298,6.180418571,1.284935063,0.610330552,1.570702624,11.82795699,0.08
20,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,27291.92338,1.21533398,0.717968684,0.22799157,1.309743768,15.63937676,0.07
21,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2064583068,18232.50175,0.811909758,1.198879196,0.271203613,3.134158458,34.55149502,0.07
22,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2162641092,42851.13744,1.908199825,0.60664121,0.131039381,0.959664407,10.25034137,0.06
23,ICICIBANK,ICICI Bank Ltd.,BANKS,11545303590,143744.8023,6.401085783,1.560050591,0.601846725,1.882095274,19.27480002,0.05
24,IDFC,IDFC Ltd.,FINANCIAL INSTITUTION,15162183660,15340.14725,0.683110602,1.670414371,0.457890829,2.474560721,29.98405104,0.07
25,INDUSINDBK,IndusInd Bank Ltd.,BANKS,5253540140,21381.32036,0.952129493,1.742162291,0.511265415,2.184925396,26.25157233,0.07
26,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,2871180830,158470.0094,7.056812544,0.4717031,0.068311677,2.005377448,-14.17179759,0.04
27,ITC,I T C Ltd.,CIGARETTES,7945957990,195115.5848,8.688673089,0.901387925,0.390281935,0.997166866,7.691133832,0.06
28,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,914885984,10791.0051,0.480533196,1.071218082,0.20124309,1.752826668,22.1850846,0.07
29,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,3848986305,29755.86996,1.325055745,1.310982009,0.523892444,1.838780531,14.10518627,0.07
30,LT,Larsen & Toubro Ltd.,ENGINEERING,1853056020,103642.8778,4.61531089,1.456533368,0.577738067,1.634813701,14.62172757,0.06
31,LUPIN,Lupin Ltd.,PHARMACEUTICALS,896710684,22273.86283,0.991875215,0.380351389,0.067985313,1.095059339,-6.258476066,0.06
32,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,3079461920,45155.88602,2.010832359,0.842315351,0.280150234,1.667482613,0.636223704,0.07
33,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1510400300,26084.62249,1.161571782,0.877691257,0.247582692,2.159700177,24.0874764,0.06
34,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,20890.48528,0.930272164,0.727085758,0.122543853,1.565458275,10.89957064,0.05
35,NMDC,NMDC Ltd.,MINING,3964716000,11039.30488,0.49159021,0.918184159,0.2542869,1.666993385,9.215686275,0.06
36,NTPC,NTPC Ltd.,POWER,82454644000,24715.77954,1.10061597,0.732870103,0.180613497,1.299795689,6.672597865,0.05
37,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,42777450600,56391.4409,2.511161759,1.214489245,0.416644308,1.990464223,9.387334821,0.07
38,PNB,Punjab National Bank,BANKS,3620699260,11076.81838,0.49326072,1.647648817,0.485653151,2.39125572,34.71568272,0.06
39,POWERGRID,Power Grid Corporation of India Ltd.,POWER,52315896480,23128.93369,1.029952292,0.598737922,0.182436323,1.46400341,11.11111111,0.06
40,RELIANCE,Reliance Industries Ltd.,REFINERIES,32316660290,153021.3358,6.814178191,1.075951299,0.508216969,1.70400473,16.35102194,0.04
41,SBIN,State Bank of India,BANKS,7465730920,59278.66957,2.639732657,1.149270213,0.422781851,1.725032187,25.07418881,0.05
42,SSLT,Sesa Sterlite Ltd.,MINING,2964674487,23305.4968,1.037814807,1.137087821,0.199637976,2.089198662,6.135660006,0.07
43,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2071163910,43268.47409,1.926784203,0.607088575,0.134857533,2.000113676,-10.85000776,0.06
44,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5473425794,71643.60688,3.190354475,1.027397954,0.287936415,1.502183621,-4.389015469,0.06
45,TATAPOWER,Tata Power Co. Ltd.,POWER,2705302490,15555.97492,0.692721603,0.977972575,0.229501953,1.850734993,11.97563873,0.07
46,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,9712152290,26264.6625,1.169589126,1.258360264,0.313706344,2.198627938,14.58696917,0.05
47,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1958727979,109065.1361,4.856768948,0.506756362,0.109997989,1.662966312,-6.266066132,0.05
48,TECHM,Tech Mahindra Ltd.,SOFTWARE - TELECOM,2333000130,26662.60335,1.187309791,0.270941764,0.026552773,1.557152023,-3.850582407,0.05
49,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2742407390,22219.9269,0.989473399,0.924374954,0.318058707,1.545870671,18.90767725,0.06
50,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,4931704306,35502.54766,1.58096049,0.258500298,0.024337826,1.534812898,-9.049811637,0.05
,,,,,2245631.557,,,,,,0.06
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Apr-2013 to 31-Mar-2014,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Mar-2014 to 31-Mar-2014,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-Mar-2014,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty is for a portfolio of Rs. 50 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty is the weightage average impact cost,,,,,,,,,,,
