Annexure II- CNX Nifty Jr. Index : August 2014,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ABIRLANUVO,Aditya Birla Nuvo Ltd.,DIVERSIFIED,1300849720,7881.81,1.71,1.09,0.32,1.78,0.12,0.09
2,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,13167.48,2.85,1.48,0.17,2.02,0.45,0.07
3,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4140103240,14637.85,3.17,1.27,0.21,1.86,0.37,0.07
4,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,8944.81,1.94,0.37,0.04,2.34,0.73,0.07
5,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795759305,6287.31,1.36,0.52,0.11,1.40,0.58,0.12
6,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,8194.26,1.77,0.29,0.03,1.55,0.04,0.17
7,BANKINDIA,Bank of India,BANKS,6422630130,5934.53,1.28,2.16,0.37,2.32,-0.04,0.07
8,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,9815.22,2.13,0.72,0.12,1.37,0.48,0.06
9,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,13402.18,2.90,0.22,0.02,1.13,0.52,0.10
10,CANBK,Canara Bank,BANKS,4612588370,5407.54,1.17,2.03,0.39,2.12,-0.28,0.07
11,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,10236.03,2.22,0.40,0.08,1.11,-0.14,0.07
12,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1949741910,9836.94,2.13,0.64,0.12,1.17,0.05,0.11
13,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1253492284,6997.27,1.52,1.59,0.26,2.63,0.02,0.08
14,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,9382.96,2.03,0.62,0.11,2.24,0.52,0.10
15,DABUR,Dabur India Ltd.,PERSONAL CARE,1756248783,13006.51,2.82,0.34,0.05,1.76,0.77,0.06
16,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,265468580,9952.38,2.15,0.30,0.03,1.12,0.25,0.07
17,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,7477.84,1.62,0.80,0.17,1.77,-0.11,0.08
18,FEDERALBNK,Federal Bank Ltd.,BANKS,1712439130,10338.85,2.24,1.68,0.37,2.19,0.07,0.09
19,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,5269.90,1.14,0.07,0.00,0.43,-0.01,0.10
20,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,271230003,10055.44,2.18,0.16,0.01,1.86,0.43,0.07
21,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,340425914,12317.46,2.67,0.43,0.04,1.99,0.80,0.11
22,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,6177.03,1.34,0.69,0.16,1.32,0.46,0.11
23,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,7582.21,1.64,1.34,0.24,2.78,0.85,0.06
24,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,35961547440,16973.68,3.68,0.85,0.14,1.85,0.18,0.06
25,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,18900400090,9091.69,1.97,0.43,0.04,2.50,0.25,0.08
26,INGVYSYABK,ING Vysya Bank Ltd.,BANKS,1899589680,6809.63,1.47,0.93,0.24,1.32,0.16,0.16
27,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2417220440,13966.67,3.02,1.17,0.28,2.20,0.27,0.07
28,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,9116.45,1.97,1.63,0.50,1.42,0.27,0.06
29,M&MFIN,Mahindra & Mahindra Financial Services Ltd.,FINANCE,1137529920,7611.46,1.65,0.87,0.12,1.82,0.89,0.07
30,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2101357530,3699.79,0.80,0.20,0.01,1.57,-0.09,0.10
31,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,420754520,7609.41,1.65,0.29,0.05,1.16,0.43,0.08
32,OIL,Oil India Ltd.,OIL EXPLORATION/PRODUCTION,6011359550,8677.33,1.88,0.90,0.24,1.21,0.42,0.07
33,PETRONET,Petronet LNG Ltd.,GAS,7500000440,5523.00,1.20,0.56,0.08,2.10,0.05,0.07
34,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13200407040,8980.73,1.94,1.93,0.33,2.14,-0.24,0.08
35,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2120066695,9941.76,2.15,0.72,0.05,1.76,0.46,0.06
36,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,12011565390,11634.85,2.52,1.50,0.34,1.59,-0.74,0.09
37,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,9104.87,1.97,1.62,0.34,1.99,-0.71,0.08
38,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,5956.95,1.29,1.85,0.44,1.77,-0.52,0.06
39,RPOWER,Reliance Power Ltd.,POWER,28051264660,5231.40,1.13,1.40,0.38,2.26,-1.13,0.08
40,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41305252890,6696.62,1.45,1.16,0.22,1.93,-0.35,0.07
41,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,712239770,7071.65,1.53,1.50,0.36,1.56,-0.53,0.08
42,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2268827360,15169.79,3.28,1.23,0.22,1.64,-0.04,0.10
43,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,6620.39,1.43,0.76,0.17,1.84,0.51,0.08
44,TATAGLOBAL,Tata Global Beverages Ltd.,TEA AND COFFEE,618398570,6039.80,1.31,0.81,0.19,1.19,-0.07,0.07
45,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,15145.72,3.28,0.78,0.15,2.14,0.32,0.07
46,UBL,United Breweries Ltd.,BREW/DISTILLERIES,264405149,4708.21,1.02,0.72,0.11,1.40,0.02,0.07
47,UNIONBANK,Union Bank of India,BANKS,6303062730,5250.38,1.14,2.20,0.40,3.14,0.43,0.07
48,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,857208548,9510.69,2.06,0.67,0.07,2.38,-0.10,0.07
49,YESBANK,Yes Bank Ltd.,BANKS,4147103730,18452.50,4.00,2.44,0.49,1.62,0.28,0.05
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,960448720,14965.33,3.24,0.65,0.11,1.54,-0.36,0.08
,,,,,461864.54,,,,,,0.08
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Sep-2013 to 31-Aug-2014,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Aug-2014 to 31-Aug-2014,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 28-Aug-2014,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Jr. is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Jr. is the weightage average impact cost,,,,,,,,,,,
