Annexure II- CNX Nifty Jr. Index : December 2014,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ABIRLANUVO,Aditya Birla Nuvo Ltd.,DIVERSIFIED,1301193130,9164,1.75,1.17,0.48,1.88,-5.89,0.09
2,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,13371,2.56,1.52,0.32,1.70,5.96,0.08
3,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4140103240,16511,3.16,1.60,0.45,2.76,9.92,0.09
4,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,8613,1.65,0.52,0.10,1.42,-3.12,0.10
5,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMACEUTICALS,291464721,15193,2.91,0.49,0.05,2.10,4.11,0.06
6,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795773465,7806,1.49,0.53,0.12,2.53,13.65,0.09
7,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,8616,1.65,0.43,0.08,1.84,-1.81,0.13
8,BANKINDIA,Bank of India,BANKS,6422630130,6455,1.24,1.86,0.54,2.09,4.50,0.08
9,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,11707,2.24,0.95,0.24,2.19,-2.15,0.10
10,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,17610,3.37,0.59,0.15,2.19,2.85,0.09
11,CANBK,Canara Bank,BANKS,4612588370,6416,1.23,1.89,0.55,2.34,8.83,0.07
12,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,11898,2.28,0.29,0.05,1.53,-4.07,0.05
13,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1949741910,10078,1.93,0.89,0.26,1.60,0.42,0.13
14,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1253492284,6757,1.29,1.77,0.42,2.07,-1.36,0.08
15,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,11874,2.27,0.67,0.15,1.61,1.43,0.09
16,DABUR,Dabur India Ltd.,PERSONAL CARE,1756361314,13073,2.50,0.30,0.05,1.75,-2.97,0.09
17,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,265468580,10960,2.10,0.42,0.10,1.41,-0.26,0.07
18,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,8162,1.56,1.03,0.33,2.33,7.08,0.08
19,FEDERALBNK,Federal Bank Ltd.,BANKS,1713370780,12996,2.49,1.51,0.53,2.00,-0.07,0.09
20,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,6773,1.30,0.19,0.03,2.15,9.02,0.13
21,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,271280353,10800,2.07,0.13,0.01,1.94,-6.02,0.08
22,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,340443706,12155,2.33,0.79,0.14,2.55,1.93,0.12
23,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,6793,1.30,0.46,0.11,1.27,3.61,0.11
24,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,9063,1.74,1.22,0.28,1.88,-8.23,0.06
25,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,35971473790,17211,3.30,0.82,0.16,1.87,-3.09,0.07
26,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,18905245850,14496,2.78,0.29,0.02,2.51,12.24,0.09
27,INGVYSYABK,ING Vysya Bank Ltd.,BANKS,1909341870,9499,1.82,0.60,0.15,1.37,6.13,0.07
28,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2417220440,11571,2.22,1.26,0.41,1.78,-12.75,0.08
29,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,13133,2.52,1.38,0.53,2.87,3.22,0.06
30,M&MFIN,Mahindra & Mahindra Financial Services Ltd.,FINANCE,1137529920,8988,1.72,1.10,0.27,2.70,6.20,0.10
31,MOTHERSUMI,Motherson Sumi Systems Ltd.,AUTO ANCILLARIES,881919360,13883,2.66,0.68,0.10,2.27,6.87,0.08
