Annexure II-  CNX Nifty Index : December 2014,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital (In Rs.),Free Float Market Capitalisation (Rs. Crores),Weightage (%),Beta,R2,Volatility (%),Monthly Return,Avg. Impact Cost (%)
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1881915760,13097,0.47,1.25,0.37,1.10,-5.10,0.06
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3098001372,17586,0.63,1.50,0.41,1.55,-0.46,0.07
3,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,34066,1.22,0.83,0.16,2.32,1.02,0.06
4,AXISBANK,Axis Bank Ltd.,BANKS,4723546488,84393,3.01,1.44,0.43,1.06,4.41,0.06
5,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,32643,1.17,0.62,0.14,0.92,-7.89,0.05
6,BANKBARODA,Bank of Baroda,BANKS,4294150870,20360,0.73,1.70,0.36,1.80,-0.30,0.07
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,19987000510,48820,1.74,0.70,0.12,1.60,-7.74,0.05
8,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,23983,0.86,1.86,0.31,2.14,-6.54,0.07
9,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,7230842480,16694,0.60,1.51,0.30,1.72,-13.43,0.07
10,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,18748321820,13662,0.49,0.97,0.22,2.00,-7.64,0.06
11,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605842714,31786,1.14,0.55,0.07,1.44,-1.38,0.06
12,COALINDIA,Coal India Ltd.,MINING,63163644000,25091,0.90,1.34,0.25,1.61,8.13,0.06
13,DLF,DLF Ltd.,CONSTRUCTION,3563861394,6144,0.22,2.02,0.19,2.41,-7.85,0.08
14,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,851829195,41210,1.47,0.19,0.01,1.88,-9.98,0.05
15,GAIL,GAIL (India) Ltd.,GAS,12684774000,20677,0.74,1.17,0.24,1.95,-8.89,0.07
16,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,918473550,21534,0.77,1.09,0.28,1.10,-4.80,0.07
17,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,1403241274,43105,1.54,0.41,0.03,1.83,-3.94,0.06
18,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,3143085820,178512,6.38,1.14,0.34,1.84,-2.13,0.07
19,HDFCBANK,HDFC Bank Ltd.,BANKS,4832313550,178190,6.37,1.01,0.42,0.99,-0.58,0.06
20,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,37272,1.33,0.87,0.19,1.32,-1.29,0.05
21,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2064916388,20270,0.72,1.82,0.30,2.33,-9.48,0.07
22,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2163199721,53850,1.92,0.25,0.02,1.24,-3.31,0.06
23,ICICIBANK,ICICI Bank Ltd.,BANKS,11577396960,204399,7.30,1.59,0.55,1.62,0.63,0.06
24,IDFC,IDFC Ltd.,FINANCIAL INSTITUTION,15905832820,20914,0.75,1.69,0.36,1.53,-1.29,0.06
25,INDUSINDBK,IndusInd Bank Ltd.,BANKS,5283621110,34620,1.24,1.22,0.34,1.18,6.93,0.07
26,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,5742361660,190481,6.80,0.43,0.04,1.46,-9.51,0.04
27,ITC,I T C Ltd.,CIGARETTES,7986774741,205363,7.34,0.44,0.07,1.67,1.53,0.05
28,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,914903800,5490,0.20,1.79,0.21,3.55,7.92,0.07
29,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,3856886150,54280,1.94,1.08,0.26,1.52,5.11,0.06
30,LT,Larsen & Toubro Ltd.,ENGINEERING,1857336866,122114,4.36,1.49,0.45,1.22,-8.83,0.05
31,LUPIN,Lupin Ltd.,PHARMACEUTICALS,898215552,34188,1.22,0.35,0.04,1.26,-3.55,0.06
32,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,3105461920,56908,2.03,0.83,0.14,1.63,-6.75,0.07
33,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1510400300,44051,1.57,1.03,0.23,1.20,-0.49,0.04
34,NMDC,NMDC Ltd.,MINING,3964716000,11495,0.41,1.00,0.17,1.61,3.61,0.06
35,NTPC,NTPC Ltd.,POWER,82454644000,29734,1.06,1.03,0.18,1.89,0.91,0.06
36,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,42777450600,61245,2.19,1.62,0.35,2.17,-10.03,0.07
37,PNB,Punjab National Bank,BANKS,3620699260,16312,0.58,1.71,0.36,1.49,2.16,0.07
38,POWERGRID,Power Grid Corporation of India Ltd.,POWER,52315896480,30398,1.09,0.84,0.21,1.29,-3.29,0.07
39,RELIANCE,Reliance Industries Ltd.,REFINERIES,32348066120,146784,5.24,1.28,0.48,1.39,-10.13,0.05
40,SBIN,State Bank of India,BANKS,7465730920,96397,3.44,1.58,0.44,1.55,-2.97,0.05
41,SSLT,Sesa Sterlite Ltd.,MINING,2964689439,23838,0.85,1.43,0.24,2.88,-7.28,0.09
42,SUNPHARMA,Sun Pharmaceutical Industries Ltd.,PHARMACEUTICALS,2071163910,62224,2.22,0.28,0.02,1.01,-1.57,0.06
43,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILES - 4 WHEELERS,5473426244,89058,3.18,1.42,0.37,1.30,-7.11,0.07
44,TATAPOWER,Tata Power Co. Ltd.,POWER,2704625254,14878,0.53,1.60,0.34,2.01,-11.67,0.07
45,TATASTEEL,Tata Steel Ltd.,STEEL AND STEEL PRODUCTS,9712154050,26628,0.95,1.53,0.31,1.70,-15.62,0.05
46,TCS,Tata Consultancy Services Ltd.,COMPUTERS - SOFTWARE,1958727979,130805,4.67,0.44,0.05,1.61,-3.21,0.05
47,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,2355955200,39113,1.40,0.35,0.04,1.50,-1.76,0.05
48,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT AND CEMENT PRODUCTS,2744013700,27396,0.98,1.18,0.28,1.28,7.72,0.06
49,WIPRO,Wipro Ltd.,COMPUTERS - SOFTWARE,4936992920,36418,1.30,0.43,0.05,1.08,-5.22,0.05
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,960448720,20819,0.74,0.60,0.07,1.16,-0.31,0.06
,,,,,2799293,,,,,,0.06
,,,,,,,,,,,
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Jan-2014 to 31-Dec-2014,,,,,,,,,,,
,,,,,,,,,,,
