Annexure II- CNX Nifty Jr. Index : February 2014,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for February 2014,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost February 2014
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,6991,1.94,1.43,0.27,3.15,8.19,0.08
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4140103240,8655,2.4,0.78,0.12,2.64,16.19,0.08
3,ABIRLANUVO,Aditya Birla Nuvo Ltd.,DIVERSIFIED,1300818410,5890,1.63,1.07,0.38,2.01,-0.07,0.09
4,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,7017,1.95,0.53,0.07,2.26,-1.85,0.07
5,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795759305,4310,1.2,0.58,0.17,1.63,8.67,0.14
6,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,5796,1.61,0.25,0.04,1.43,1.38,0.12
7,BANKINDIA,Bank of India,BANKS,6422630130,3665,1.02,1.96,0.41,3.49,-6.01,0.06
8,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,4744,1.32,0.82,0.17,2.32,11.3,0.07
9,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,8511,2.36,0.2,0.03,1.23,5.15,0.1
10,CANBK,Canara Bank,BANKS,4612588370,3090,0.86,1.81,0.44,3.13,0.12,0.06
11,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,8753,2.43,0.46,0.12,1.53,0.12,0.07
12,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1949741910,5498,1.53,0.39,0.09,1.51,5.13,0.25
13,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1258200174,4647,1.29,1.18,0.24,2.76,14.58,0.08
