Annexure II-  CNX Nifty Index : February 2014,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for February 2014,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost February 2014
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1881915760,10335.01231,0.500175804,0.909269516,0.372452078,1.691095134,9.304051046,0.07
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3091720572,12861.26943,0.622437166,0.944261577,0.274747207,2.18292247,5.560791706,0.06
3,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,21419.97448,1.036646366,0.844745475,0.28748976,1.054412426,0.275598898,0.06
4,AXISBANK,Axis Bank Ltd.,BANKS,4693007790,39319.03333,1.90289363,1.673027584,0.513621008,1.672766105,12.83227214,0.05
5,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,26120.02327,1.264111086,0.771165482,0.295981544,1.597419923,2.358664212,0.05
6,BANKBARODA,Bank of Baroda,BANKS,4294150870,10553.51774,0.510750646,1.55585549,0.417831946,2.163759907,0.501458789,0.06
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,19987000510,34225.14806,1.656368703,1.111865353,0.31578673,1.584443153,-8.698412698,0.06
8,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,13253.06469,0.641398586,1.35865297,0.270712795,2.053544742,-2.894356006,0.06
9,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,7230842480,9768.529064,0.472760141,1.186014493,0.32100378,1.493540468,4.218362283,0.08
10,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,19109004200,19190.74453,0.928760004,0.439411766,0.103567128,1.031470107,-0.046246339,0.03
11,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605842714,19500.72923,0.943762099,0.499884976,0.149088468,2.050212823,-6.405260594,0.05
12,COALINDIA,Coal India Ltd.,MINING,63163644000,15411.92914,0.745879522,0.659780201,0.146631863,1.707910896,-1.394221055,0.04
13,DLF,DLF Ltd.,CONSTRUCTION,3562860154,6304.099398,0.305094749,1.782017152,0.400513502,1.532397642,2.654545455,0.06
14,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,850544340,36682.72743,1.77530632,0.505047575,0.158856113,1.438347483,10.95782798,0.05
15,GAIL,GAIL (India) Ltd.,GAS,12684774000,16653.46229,0.805965066,0.658356698,0.198523317,1.763380681,3.474741836,0.07
16,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,918206920,16156.82068,0.781929477,0.842609792,0.386832319,1.522528012,-0.947331488,0.07
17,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,1398154450,42132.82442,2.039070558,0.384537271,0.057212374,1.747665724,7.752017508,0.05
18,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,3118815760,127762.2876,6.183215169,1.294338489,0.537053656,1.436939401,1.34207434,0.06
19,HDFCBANK,HDFC Bank Ltd.,BANKS,4792635740,124057.5128,6.003917975,1.280134721,0.620895699,1.002427921,6.539379475,0.07
20,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,23600.8911,1.142194544,0.719860751,0.223738066,1.061885677,-0.104103189,0.06
21,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2064583068,13550.57537,0.655796987,1.193629287,0.293053376,2.405714919,-3.833865815,0.06
22,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2162630527,38866.93462,1.88101375,0.604973689,0.126293303,1.133808212,-3.657253113,0.05
23,ICICIBANK,ICICI Bank Ltd.,BANKS,11545020730,120512.6989,5.832362286,1.546350774,0.595615247,1.480980459,5.684924572,0.05
24,IDFC,IDFC Ltd.,FINANCIAL INSTITUTION,15162183660,11801.56114,0.571151262,1.69063722,0.478526179,1.70617975,0.912017167,0.06
25,INDUSINDBK,IndusInd Bank Ltd.,BANKS,5249499910,16922.46416,0.818983748,1.713136548,0.51211634,1.420532693,3.569567483,0.06
26,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,2871180830,184636.2908,8.935703449,0.492253723,0.081090427,0.990794588,3.343600551,0.05
27,ITC,I T C Ltd.,CIGARETTES,7940195100,181049.3289,8.762107959,0.88116357,0.377827392,1.19880269,0.784374039,0.05
28,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,926348064,8942.33484,0.432775442,1.096050604,0.208372336,2.085996474,-4.3747503,0.07
29,JPASSOCIAT,Jaiprakash Associates Ltd.,CONSTRUCTION,4438167118,5102.67402,0.24695027,2.297125397,0.466413032,2.584368656,4.099378882,0.09
30,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,3847982060,26070.77494,1.261727651,1.295856315,0.535732286,1.495339662,4.177764249,0.06
31,LT,Larsen & Toubro Ltd.,ENGINEERING,1851776376,90359.2264,4.373047398,1.470120131,0.583803979,1.145733946,12.55198296,0.05
