Annexure II- CNX Nifty Jr. Index : January 2014,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for Jan. 2014,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost Jan. 2014
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,6567.24,1.85,1.48,0.28,3.19,-11.13,0.09
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4140103240,7604.85,2.14,0.81,0.12,2.64,-5.98,0.09
3,ABIRLANUVO,Aditya Birla Nuvo Ltd.,DIVERSIFIED,1300818410,5979.77,1.68,1.11,0.39,2.05,-10.9,0.11
4,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,7092.11,2,0.53,0.07,2.27,-4.03,0.09
5,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795759305,4059.92,1.14,0.57,0.15,1.71,-10.52,0.17
6,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,5685.72,1.6,0.26,0.04,1.44,3.34,0.18
7,BANKINDIA,Bank of India,BANKS,6422630130,4100.38,1.15,1.94,0.41,3.49,-21.16,0.09
8,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,4299.5,1.21,0.85,0.18,2.32,5.52,0.08
9,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,8120.77,2.28,0.2,0.04,1.21,-10.35,0.08
10,CANBK,Canara Bank,BANKS,4612588370,3292.79,0.93,1.82,0.44,3.16,-22.46,0.08
11,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,8661.41,2.44,0.49,0.13,1.55,-4.49,0.08
12,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1949741910,5288.33,1.49,0.37,0.08,1.54,1.48,0.22
13,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1258200174,4190.84,1.18,1.2,0.25,2.74,-10.58,0.1
14,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,5925.47,1.67,0.43,0.1,1.56,-7.73,0.12
15,DABUR,Dabur India Ltd.,PERSONAL CARE,1743813073,9409.68,2.65,0.47,0.1,1.74,0,0.07
16,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,265468580,8357.66,2.35,0.49,0.11,1.69,7.21,0.08
17,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,4640.95,1.31,0.7,0.19,1.86,-18.34,0.07
18,FEDERALBNK,Federal Bank Ltd.,BANKS,1712263900,6784.85,1.91,1.35,0.35,2.63,-8.17,0.09
19,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,4937.48,1.39,0.71,0.09,2.68,-3.59,0.1
20,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,12469.22,3.51,0.06,0,1.94,-0.21,0.04
21,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,271124953,7837.41,2.21,0.34,0.04,1.89,5.48,0.06
22,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,340378310,9412.36,2.65,0.57,0.09,2.13,-11.4,0.11
23,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,4043.57,1.14,1.13,0.27,2.49,1.96,0.09
24,IDBI,IDBI Bank Ltd.,BANKS,16038892540,2093.73,0.59,1.32,0.5,2.16,-17.83,0.09
25,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,33181652130,11572.23,3.26,0.68,0.12,2.21,-14.61,0.07
26,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2417220440,10810.36,3.04,1.17,0.27,2.57,-9.66,0.07
27,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,5896.4,1.66,1.67,0.52,2.67,-11.71,0.06
28,M&MFIN,Mahindra & Mahindra Financial Services Ltd.,FINANCE,1137529920,6602,1.86,0.96,0.13,3.04,-24.2,0.08
29,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2101274190,2719.91,0.77,0.4,0.05,2.15,-15.59,0.08
30,OIL,Oil India Ltd.,OIL EXPLORATION/PRODUCTION,6011359550,6460.94,1.82,0.84,0.23,2.02,-1.85,0.07
31,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,420513880,6742.06,1.9,0.24,0.03,1.57,-2.17,0.11
32,PETRONET,Petronet LNG Ltd.,GAS,7500000440,3300,0.93,0.73,0.22,1.8,-10.86,0.08
33,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13200399720,4724.08,1.33,1.63,0.4,2.99,-18.13,0.09
34,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,3651.57,1.03,1.81,0.57,2.76,-11.47,0.06
35,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,8212.59,2.31,1.73,0.29,3.7,-10.7,0.08
36,RPOWER,Reliance Power Ltd.,POWER,28051264660,4357.75,1.23,1.37,0.4,2.49,-16.31,0.07
37,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,5893.14,1.66,1.46,0.41,2.63,-17.98,0.09
38,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2268827360,10508.6,2.96,0.94,0.19,2.51,-6.99,0.11
39,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,712239770,4914.9,1.38,1.09,0.25,2.52,-16.85,0.08
40,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41305252890,5300.29,1.49,1,0.27,2.22,-12.18,0.09
41,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,4612.06,1.3,0.58,0.22,1.43,-4.99,0.1
42,TATAGLOBAL,Tata Global Beverages Ltd.,TEA AND COFFEE,618398570,5658.55,1.59,0.76,0.19,1.98,-12.15,0.07
43,TECHM,Tech Mahindra Ltd.,COMPUTERS - SOFTWARE,2331521600,26471.46,7.45,0.32,0.04,1.9,-2.25,0.06
44,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,9233.72,2.6,1,0.19,2.65,-4.01,0.08
45,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,885208548,5953.77,1.68,0.8,0.15,2.37,-4.71,0.07
46,UNIONBANK,Union Bank of India,BANKS,6303062730,2719.44,0.77,1.94,0.45,3.31,-17.47,0.08
47,UBL,United Breweries Ltd.,BREW/DISTILLERIES,264405149,5553.65,1.56,0.82,0.09,3.08,8.51,0.08
48,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,19886.95,5.6,0.78,0.14,2.43,-5.16,0.06
49,YESBANK,Yes Bank Ltd.,BANKS,3605551410,8253.67,2.32,2.21,0.46,3.74,-17.84,0.06
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,960257120,14559.82,4.1,0.73,0.15,2.18,-3.81,0.08
,,,,Total,355425.8856,,,,,,0.08
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Feb-2013 to 31-Jan-2014,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Feb-2013 to 31-Jan-2014,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-Jan-2014,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Jr. is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Jr. is the weightage average impact cost,,,,,,,,,,,
