Annexure II- CNX Nifty Jr. Index : July 2014

Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for May. 2014,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost July 2014
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,11927.44,2.66,1.43,0.18,3.18,-4.67,0.10
2,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,7724.92,1.73,0.35,0.04,2.30,1.82,0.09
3,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2101355130,3358.30,0.75,0.24,0.02,2.74,7.45,0.09
4,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,8972.80,2.00,0.76,0.12,2.38,15.62,0.09
5,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,10436.61,2.33,0.41,0.10,2.27,3.82,0.11
6,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1253492284,6986.49,1.56,1.41,0.25,4.37,-3.11,0.12
7,DABUR,Dabur India Ltd.,PERSONAL CARE,1756248783,11413.11,2.55,0.40,0.07,1.30,10.53,0.07
8,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,7549.00,1.69,0.82,0.20,2.66,13.41,0.10
9,FEDERALBNK,Federal Bank Ltd.,BANKS,1712339740,10269.76,2.29,1.62,0.37,2.60,-10.28,0.12
10,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,5284.52,1.18,0.10,0.00,0.64,-0.24,0.13
11,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,6610.43,1.48,1.33,0.27,2.43,-4.06,0.10
12,ABIRLANUVO,Aditya Birla Nuvo Ltd.,DIVERSIFIED,1300849720,8003.80,1.79,1.21,0.37,2.28,6.96,0.10
13,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2417220440,13281.80,2.97,1.26,0.31,2.28,-4.56,0.10
14,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,8511.63,1.90,0.57,0.11,1.54,-3.24,0.11
15,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,8726.36,1.95,1.61,0.50,2.14,-11.50,0.07
16,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,12131.10,2.71,0.25,0.03,1.29,-1.12,0.12
17,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2119029050,8976.65,2.00,1.01,0.07,1.25,12.05,0.00
18,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,6576.53,1.47,1.81,0.46,2.85,-11.07,0.08
