Annexure II-  CNX Nifty Index : July 2014

Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for May 2014,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost July 2014
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ACC,ACC Ltd.,CEMENT AND CEMENT PRODUCTS,1881915760,13056.97,0.50,1.05,0.36,1.60,-4.99,0.08
2,AMBUJACEM,Ambuja Cements Ltd.,CEMENT AND CEMENT PRODUCTS,3094464322,15819.19,0.61,1.15,0.36,1.64,-6.44,0.08
3,ASIANPAINT,Asian Paints Ltd.,PAINTS,959197790,28466.41,1.10,0.95,0.29,1.67,5.83,0.08
4,AXISBANK,Axis Bank Ltd.,BANKS,4713700040,65040.77,2.50,1.75,0.51,1.51,2.05,0.09
5,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,2893670200,27858.58,1.07,0.77,0.29,1.19,-10.37,0.06
6,BANKBARODA,Bank of Baroda,BANKS,4294150870,16377.16,0.63,1.68,0.40,2.13,-0.52,0.08
7,BHARTIARTL,Bharti Airtel Ltd.,TELECOMMUNICATION - SERVICES,19987000510,44235.65,1.70,1.11,0.36,1.68,10.69,0.07
8,BHEL,Bharat Heavy Electricals Ltd.,ELECTRICAL EQUIPMENT,4895200000,20646.23,0.79,1.67,0.29,2.97,-8.77,0.08
9,BPCL,Bharat Petroleum Corporation Ltd.,REFINERIES,7230842480,14992.62,0.58,1.35,0.31,1.80,-3.37,0.08
10,CAIRN,Cairn India Ltd.,OIL EXPLORATION/PRODUCTION,18741965810,18607.99,0.72,0.43,0.09,1.98,-13.64,0.06
11,CIPLA,Cipla Ltd.,PHARMACEUTICALS,1605842714,23164.41,0.89,0.42,0.10,0.96,4.22,0.07
12,COALINDIA,Coal India Ltd.,MINING,63163644000,24035.60,0.93,0.93,0.19,1.93,-4.48,0.07
13,DLF,DLF Ltd.,CONSTRUCTION,3563252298,8855.69,0.34,1.89,0.34,3.66,-7.81,0.09
14,DRREDDY,Dr. Reddy's Laboratories Ltd.,PHARMACEUTICALS,851395040,35619.33,1.37,0.28,0.04,1.27,7.04,0.06
15,GAIL,GAIL (India) Ltd.,GAS,12684774000,20265.36,0.78,0.73,0.18,1.07,-5.85,0.07
16,GRASIM,Grasim Industries Ltd.,CEMENT AND CEMENT PRODUCTS,918343380,20445.92,0.79,1.02,0.35,1.53,-6.29,0.09
17,HCLTECH,HCL Technologies Ltd.,COMPUTERS - SOFTWARE,1399952762,41698.12,1.61,0.37,0.04,1.58,3.66,0.06
18,HDFC,Housing Development Finance Corporation Ltd.,FINANCE - HOUSING,3133907340,167413.33,6.45,1.26,0.50,1.53,7.64,0.08
19,HDFCBANK,HDFC Bank Ltd.,BANKS,4815392510,155334.30,5.98,1.24,0.55,1.11,1.52,0.08
20,HEROMOTOCO,Hero MotoCorp Ltd.,AUTOMOBILES - 2 AND 3 WHEELERS,399375000,31159.32,1.20,0.83,0.26,1.62,-1.42,0.05
21,HINDALCO,Hindalco Industries Ltd.,ALUMINIUM,2064639283,24658.00,0.95,1.21,0.23,2.91,16.75,0.08
22,HINDUNILVR,Hindustan Unilever Ltd.,DIVERSIFIED,2163107800,48600.61,1.87,0.59,0.17,1.36,10.68,0.07
23,ICICIBANK,ICICI Bank Ltd.,BANKS,11560281380,170080.64,6.55,1.70,0.63,1.87,3.74,0.07
24,IDFC,IDFC Ltd.,FINANCIAL INSTITUTION,15168320800,19112.52,0.74,1.76,0.43,3.37,12.69,0.07
25,INDUSINDBK,IndusInd Bank Ltd.,BANKS,5261526600,24468.92,0.94,1.66,0.50,1.26,-2.13,0.09
26,INFY,Infosys Ltd.,COMPUTERS - SOFTWARE,2871180830,162565.96,6.26,0.38,0.07,1.37,3.44,0.05
27,ITC,I T C Ltd.,CIGARETTES,7955016340,197301.01,7.60,0.79,0.30,0.65,9.54,0.05
28,JINDALSTEL,Jindal Steel & Power Ltd.,STEEL AND STEEL PRODUCTS,914885984,9951.81,0.38,1.05,0.19,2.40,-14.80,0.09
29,KOTAKBANK,Kotak Mahindra Bank Ltd.,BANKS,3852335780,36422.52,1.40,1.24,0.45,1.46,7.94,0.07
30,LT,Larsen & Toubro Ltd.,ENGINEERING,1855059328,122614.03,4.72,1.50,0.55,2.24,-11.68,0.07
31,LUPIN,Lupin Ltd.,PHARMACEUTICALS,897066450,28227.24,1.09,0.24,0.03,1.58,12.76,0.09
32,M&M,Mahindra & Mahindra Ltd.,AUTOMOBILES - 4 WHEELERS,3079461920,55292.42,2.13,0.73,0.20,1.73,4.75,0.08
33,MARUTI,Maruti Suzuki India Ltd.,AUTOMOBILES - 4 WHEELERS,1510400300,33391.09,1.29,1.01,0.31,1.75,3.47,0.06
34,MCDOWELL-N,United Spirits Ltd.,BREW/DISTILLERIES,1307949680,18180.75,0.70,0.67,0.11,1.44,-1.68,0.06
35,NMDC,NMDC Ltd.,MINING,3964716000,13481.03,0.52,0.92,0.21,2.13,-6.82,0.08
36,NTPC,NTPC Ltd.,POWER,82454644000,29900.12,1.15,0.83,0.17,1.79,-7.14,0.07
37,ONGC,Oil & Natural Gas Corporation Ltd.,OIL EXPLORATION/PRODUCTION,42777450600,70933.94,2.73,1.38,0.39,1.54,-6.94,0.07
38,PNB,Punjab National Bank,BANKS,3620699260,14246.20,0.55,1.69,0.44,1.96,-3.57,0.07
39,POWERGRID,Power Grid Corporation of India Ltd.,POWER,52315896480,29318.68,1.13,0.69,0.18,1.78,-4.38,0.08
