Annexure II- CNX Nifty Jr. Index : June 2014,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for May. 2014,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost June 2014
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,12512,2.79,1.35,0.17,2.17,-4.98,0.10
2,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,7587,1.69,0.31,0.03,1.81,9.62,0.10
3,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2101350210,3126,0.70,0.19,0.01,1.61,-3.46,0.11
4,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,7761,1.73,0.76,0.12,2.30,24.79,0.10
5,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,10052,2.24,0.40,0.10,1.34,8.78,0.10
6,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1253492284,7211,1.61,1.25,0.23,2.68,9.91,0.11
7,DABUR,Dabur India Ltd.,PERSONAL CARE,1743813073,10252,2.28,0.43,0.08,1.15,-0.50,0.08
8,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,6656,1.48,0.76,0.19,1.57,3.17,0.10
9,FEDERALBNK,Federal Bank Ltd.,BANKS,1712263900,11446,2.55,1.58,0.37,2.50,14.96,0.12
10,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,5297,1.18,0.10,0.00,0.70,2.75,0.13
11,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,6890,1.54,1.34,0.27,3.81,3.88,0.12
12,ABIRLANUVO,Aditya Birla Nuvo Ltd.,DIVERSIFIED,1300849720,7483,1.67,1.20,0.37,1.74,5.92,0.16
13,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2417220440,13917,3.10,1.25,0.31,1.63,2.10,0.09
14,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,8796,1.96,0.58,0.12,1.53,1.83,0.12
15,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,9860,2.20,1.72,0.53,1.97,2.83,0.07
16,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,12268,2.73,0.19,0.02,2.07,9.73,0.13
17,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2119029050,8011,1.79,1.07,0.08,1.75,15.48,0.09
18,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,7395,1.65,1.81,0.46,3.25,24.02,0.08
19,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,712239770,8511,1.90,1.25,0.29,2.16,10.18,0.11
20,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,5225,1.16,0.68,0.15,1.55,2.19,0.11
21,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41305252890,7845,1.75,1.14,0.23,3.21,8.51,0.09
22,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,6039,1.35,0.65,0.17,2.33,13.29,0.11
23,TATAGLOBAL,Tata Global Beverages Ltd.,TEA AND COFFEE,618398570,6933,1.54,0.72,0.16,2.84,15.86,0.09
24,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,14714,3.28,0.89,0.18,2.11,13.89,0.09
25,INGVYSYABK,ING Vysya Bank Ltd.,BANKS,1892140770,6996,1.56,1.01,0.30,1.23,3.28,0.12
26,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,960448720,16045,3.58,0.67,0.12,1.64,10.01,0.08
27,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1949741910,8857,1.97,0.52,0.11,1.42,6.40,0.14
28,BANKINDIA,Bank of India,BANKS,6422630130,6450,1.44,2.16,0.40,2.81,-2.49,0.09
29,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2268827360,15185,3.38,1.08,0.18,2.48,-4.45,0.10
30,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,271230003,7997,1.78,0.12,0.01,1.10,3.19,0.09
31,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,340378310,10295,2.29,0.54,0.07,2.88,5.77,0.10
32,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,420737470,6606,1.47,0.24,0.05,1.09,10.66,0.11
33,UNIONBANK,Union Bank of India,BANKS,6303062730,6053,1.35,2.13,0.40,3.57,16.89,0.10
34,CANBK,Canara Bank,BANKS,4612588370,6612,1.47,2.04,0.41,3.13,11.49,0.09
35,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,265468580,9281,2.07,0.33,0.05,1.74,14.43,0.08
36,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,857208548,10273,2.29,0.67,0.07,2.34,13.14,0.10
37,PETRONET,Petronet LNG Ltd.,GAS,7500000440,5274,1.18,0.67,0.13,2.56,13.16,0.11
38,YESBANK,Yes Bank Ltd.,BANKS,4144074730,17436,3.89,2.48,0.47,1.68,-4.98,0.07
39,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,9725,2.17,1.49,0.31,1.97,7.14,0.10
40,M&MFIN,Mahindra & Mahindra Financial Services Ltd.,FINANCE,1137529920,7681,1.71,0.86,0.11,2.05,-6.87,0.11
41,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13200407040,11028,2.46,1.86,0.35,3.46,5.19,0.09
42,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,35439445020,13683,3.05,0.76,0.12,2.40,-3.92,0.08
43,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4140103240,12612,2.81,0.96,0.14,2.92,7.12,0.11
44,RPOWER,Reliance Power Ltd.,POWER,28051264660,7603,1.69,1.35,0.38,2.50,14.47,0.09
45,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,12191,2.72,1.53,0.36,2.90,12.39,0.10
46,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,7802,1.74,0.30,0.05,1.14,10.16,0.19
47,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795759305,5584,1.24,0.58,0.14,1.72,9.71,0.16
48,UBL,United Breweries Ltd.,BREW/DISTILLERIES,264405149,4650,1.04,0.81,0.11,1.47,-7.46,0.09
49,OIL,Oil India Ltd.,OIL EXPLORATION/PRODUCTION,6011359550,8286,1.85,0.98,0.25,2.39,3.09,0.10
50,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,18895601160,8800,1.96,0.44,0.06,2.78,10.41,0.12
,,,,,448794,,,,,,0.10
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Jul-2013 to 30-Jun-2014,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Jun-2014 to 30-Jun-2014,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 30-Jun-2014,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Jr. is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Jr. is the weightage average impact cost,,,,,,,,,,,
