Annexure II- CNX Nifty Jr. Index : March 2014,,,,,,,,,,,
,,,,,,,,,,,
Sr. No,Security Symbol,Security Name,Industry,Equity Capital,Free Float Market Capitalisation for March 2014,Weightage,Beta,R2,Volatility,Monthly Return,Avg. Impact Cost March 2014
,,,,(In Rs.),(Rs. Crores),%,,,%,,%
1,ADANIENT,Adani Enterprises Ltd.,TRADING,1099810083,10118,2.77,1.43,0.26,3.06,44.74,0.08
2,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SHIPPING,4140103240,9701,2.65,0.78,0.11,1.88,12.08,0.11
3,ABIRLANUVO,Aditya Birla Nuvo Ltd.,DIVERSIFIED,1300849720,5916,1.62,1.07,0.37,1.37,0.45,0.08
4,APOLLOHOSP,Apollo Hospitals Enterprises Ltd.,MISCELLANEOUS,695625795,6987,1.91,0.53,0.06,1.25,-0.42,0.07
5,BAJAJFINSV,Bajaj Finserv Ltd.,FINANCE,795759305,4704,1.29,0.58,0.16,1.44,9.13,0.13
6,BAJAJHLDNG,Bajaj Holdings & Investment Ltd.,FINANCE,1112935100,6289,1.72,0.25,0.04,1.11,8.5,0.14
7,BANKINDIA,Bank of India,BANKS,6422630130,4888,1.34,1.96,0.41,2.40,33.35,0.07
8,BHARATFORG,Bharat Forge Ltd.,CASTINGS/FORGINGS,465588632,5229,1.43,0.82,0.15,2.23,10.23,0.08
9,INFRATEL,Bharti Infratel Ltd.,TELECOMMUNICATION - EQUIPMENT,18889265500,6994,1.91,0.2,0.1,2.38,13.13,0.13
10,BOSCHLTD,Bosch Ltd.,AUTO ANCILLARIES,313989000,9857,2.69,1.81,0.03,1.76,15.82,0.1
11,CANBK,Canara Bank,BANKS,4612588370,3780,1.03,0.46,0.44,2.11,22.33,0.07
12,COLPAL,Colgate Palmolive (India) Ltd.,PERSONAL CARE,135992817,9146,2.5,0.39,0.13,0.84,4.49,0.07
13,CONCOR,Container Corporation of India Ltd.,TRAVEL AND TRANSPORT,1949741910,6985,1.91,1.18,0.08,2.01,27.04,0.2
14,CROMPGREAV,Crompton Greaves Ltd.,ELECTRICAL EQUIPMENT,1253492284,5779,1.58,0.46,0.24,2.58,24.82,0.09
15,CUMMINSIND,Cummins India Ltd.,DIESEL ENGINES,554400000,8106,2.22,0.48,0.11,2.04,18.06,0.13
16,DABUR,Dabur India Ltd.,PERSONAL CARE,1743813073,9825,2.69,0.47,0.09,0.91,3.57,0.07
17,DIVISLAB,Divi's Laboratories Ltd.,PHARMACEUTICALS,265468580,8681,2.37,0.7,0.08,1.19,-4.12,0.08
18,EXIDEIND,Exide Industries Ltd.,AUTO ANCILLARIES,850000000,5561,1.52,1.37,0.19,1.36,9.39,0.08
19,FEDERALBNK,Federal Bank Ltd.,BANKS,1712263900,8197,2.24,0.73,0.35,2.02,24.67,0.1
20,GSKCONS,GlaxoSmithkline Consumer Healthcare Ltd.,FOOD AND FOOD PROCESSING,420555380,4981,1.36,0.05,0.09,1.39,-1.35,0.08
21,GLAXO,Glaxosmithkline Pharmaceuticals Ltd.,PHARMACEUTICALS,847030170,10752,2.94,0.36,0,2.44,-15.5,0.09
22,GLENMARK,Glenmark Pharmaceuticals Ltd.,PHARMACEUTICALS,271220053,7925,2.17,0.57,0.04,1.90,-0.78,0.08
23,GODREJCP,Godrej Consumer Products Ltd.,PERSONAL CARE,340378310,10732,2.93,1.12,0.09,2.52,9.61,0.1
24,HINDPETRO,Hindustan Petroleum Corporation Ltd.,REFINERIES,3386272500,5129,1.4,1.28,0.26,1.96,17.02,0.09
25,INGVYSYABK,ING Vysya Bank Ltd.,BANKS,1885480410,6801,1.86,0.71,0.28,2.09,16.24,0.13
26,IDEA,Idea Cellular Ltd.,TELECOMMUNICATION - SERVICES,33193192110,11101,3.03,1.17,0.12,1.51,6.63,0.07
27,JSWSTEEL,JSW Steel Ltd.,STEEL AND STEEL PRODUCTS,2417220440,11942,3.26,1.63,0.27,2.13,18.28,0.08
28,LICHSGFIN,LIC Housing Finance Ltd.,FINANCE - HOUSING,1009326000,7113,1.94,0.91,0.51,1.61,14.41,0.07
29,M&MFIN,Mahindra & Mahindra Financial Services Ltd.,FINANCE,1137529920,6855,1.87,0.39,0.11,2.26,1.53,0.07
30,MPHASIS,MphasiS Ltd.,COMPUTERS - SOFTWARE,2101340850,2966,0.81,0.86,0.04,2.42,4.16,0.1
31,OIL,Oil India Ltd.,OIL EXPLORATION/PRODUCTION,6011359550,6595,1.8,0.2,0.23,1.60,6.26,0.08
32,OFSS,Oracle Financial Services Software Ltd.,COMPUTERS - SOFTWARE,420644525,6505,1.78,0.67,0.02,1.04,-0.86,0.11
33,PETRONET,Petronet LNG Ltd.,GAS,7500000440,4110,1.12,1.64,0.19,1.28,13.18,0.08
34,PFC,Power Finance Corporation Ltd.,FINANCIAL INSTITUTION,13200399720,6704,1.83,1.74,0.37,2.79,17.38,0.08
35,RANBAXY,Ranbaxy Laboratories Ltd.,PHARMACEUTICALS,2118895315,5658,1.55,1.61,0.11,1.71,-0.26,0.07
36,RELCAPITAL,Reliance Capital Ltd.,FINANCE,2456328000,3897,1.07,1.33,0.56,1.49,12.25,0.06
37,RCOM,Reliance Communications Ltd.,TELECOMMUNICATION - SERVICES,10320134405,8568,2.34,1.45,0.26,1.96,14.78,0.08
38,RPOWER,Reliance Power Ltd.,POWER,28051264660,4958,1.36,0.87,0.4,1.98,14.14,0.08
39,RECLTD,Rural Electrification Corporation Ltd.,FINANCIAL INSTITUTION,9874590000,7531,2.06,1.08,0.42,2.39,18.65,0.09
40,SRTRANSFIN,Shriram Transport Finance Co. Ltd.,FINANCE,2268827360,12900,3.53,0.98,0.17,2.60,29.81,0.11
41,SIEMENS,Siemens Ltd.,ELECTRICAL EQUIPMENT,712239770,6876,1.88,0.57,0.26,1.64,24.61,0.08
42,SAIL,Steel Authority of India Ltd.,STEEL AND STEEL PRODUCTS,41305252890,5899,1.61,0.69,0.24,2.98,28.19,0.08
43,TATACHEM,Tata Chemicals Ltd.,CHEMICALS - INORGANIC,2547562780,5044,1.38,0.34,0.2,2.10,7.22,0.09
44,TATAGLOBAL,Tata Global Beverages Ltd.,TEA AND COFFEE,618398570,6022,1.65,1.01,0.17,1.52,7.41,0.07
45,TITAN,Titan Company Ltd.,"GEMS, JEWELLERY AND WATCHES",887786160,10949,2.99,0.76,0.21,1.80,8.33,0.08
46,UPL,UPL Ltd.,PESTICIDES AND AGROCHEMICALS,857208548,5624,1.54,1.91,0.12,1.16,0.9,0.08
47,UNIONBANK,Union Bank of India,BANKS,6303062730,3453,0.94,0.8,0.44,2.72,33.53,0.07
48,UBL,United Breweries Ltd.,BREW/DISTILLERIES,264405149,5485,1.5,0.78,0.09,1.22,2.68,0.09
49,YESBANK,Yes Bank Ltd.,BANKS,3606048760,11112,3.04,2.21,0.47,3.00,35.74,0.05
50,ZEEL,Zee Entertainment Enterprises Ltd.,MEDIA & ENTERTAINMENT,960419020,14833,4.06,0.71,0.13,1.71,0.99,0.07
,,,,Total,365765,,,,,,0.09
,,,,,,,,,,,
* Beta & R2 are calculated for the period 01-Apr-2013 to 31-Mar-2014,,,,,,,,,,,
,,,,,,,,,,,
* Beta measures the  degree to which any portfolio of stocks is affected as compared to the effect,,,,,,,,,,,
  on the market as a whole.,,,,,,,,,,,
,,,,,,,,,,,
* The coefficient of determination (R2) measures the strength of relationship between two variables,,,,,,,,,,,
   the return on  a security versus that of the market.,,,,,,,,,,,
,,,,,,,,,,,
* Volatility is the Std. deviation of the daily returns for the period 01-Mar-2014 to 31-Mar-2014,,,,,,,,,,,
,,,,,,,,,,,
* Last day of trading was 31-Mar-2014,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Jr. is for a portfolio of Rs. 25 Lakhs  ,,,,,,,,,,,
,,,,,,,,,,,
* Impact Cost for CNX Nifty Jr. is the weightage average impact cost,,,,,,,,,,,
